#pid
scenario,step,out,target,actual,error,P,I,D,FF,DFF,Dmod,srate,limit,pdlimit,reset,integrator
0,0,1097937715,1092616192,1075838976,1089470464,1097859072,1033476505,0,0,0,1065353216,0,0,0,1,1033476505
0,1,1098016358,1092616192,1075838976,1089470464,1097859072,1041865113,0,0,0,1065353216,1094061345,0,0,0,1041865113
0,2,1098095002,1092616192,1075838976,1089470464,1097859072,1046898278,0,0,0,1065353216,1102211334,0,0,0,1046898278
0,3,1098173645,1092616192,1075838976,1089470464,1097859072,1050253721,0,0,0,1065353216,1107502677,0,0,0,1050253721
0,4,1098252288,1092616192,1075838976,1089470464,1097859072,1052770303,0,0,0,1065353216,1110141604,0,0,0,1052770303
0,5,1098330931,1092616192,1075838976,1089470464,1097859072,1055286885,0,0,0,1065353216,1112674974,0,0,0,1055286885
0,6,1098409574,1092616192,1075838976,1089470464,1097859072,1057384038,0,0,0,1065353216,1115107009,0,0,0,1057384038
0,7,1098488218,1092616192,1075838976,1089470464,1097859072,1058642329,0,0,0,1065353216,1116563313,0,0,0,1058642329
0,8,1098566861,1092616192,1075838976,1089470464,1097859072,1059900620,0,0,0,1065353216,1117683995,0,0,0,1059900620
0,9,1098645504,1092616192,1075838976,1089470464,1097859072,1061158911,0,0,0,1065353216,1118759849,0,0,0,1061158911
0,10,1098724147,1092616192,1075838976,1089470464,1097859072,1062417202,0,0,0,1065353216,1119792669,0,0,0,1062417202
0,11,1098802790,1092616192,1075838976,1089470464,1097859072,1063675493,0,0,0,1065353216,1120784176,0,0,0,1063675493
0,12,1098881434,1092616192,1075838976,1089470464,1097859072,1064933784,0,0,0,1065353216,1121736023,0,0,0,1064933784
0,13,1098933862,1092616192,1075838976,1089470464,1097859072,1065772646,0,0,0,1065353216,1122649796,0,0,0,1065772646
0,14,1098973184,1092616192,1075838976,1089470464,1097859072,1066401792,0,0,0,1065353216,1123527018,0,0,0,1066401792
0,15,1099012506,1092616192,1075838976,1089470464,1097859072,1067030938,0,0,0,1065353216,1124221312,0,0,0,1067030938
0,16,1099051827,1092616192,1075838976,1089470464,1097859072,1067660084,0,0,0,1065353216,1124625536,0,0,0,1067660084
0,17,1099091149,1092616192,1075838976,1089470464,1097859072,1068289230,0,0,0,1065353216,1124998677,0,0,0,1068289230
0,18,1099130470,1092616192,1075838976,1089470464,1097859072,1068918376,0,0,0,1065353216,1125342277,0,0,0,1068918376
0,19,1099169792,1092616192,1075838976,1089470464,1097859072,1069547522,0,0,0,1065353216,1125657810,0,0,0,1069547522
0,20,1099209114,1092616192,1075838976,1089470464,1097859072,1070176668,0,0,0,1065353216,1125946686,0,0,0,1070176668
0,21,1099248435,1092616192,1075838976,1089470464,1097859072,1070805814,0,0,0,1065353216,1126210251,0,0,0,1070805814
0,22,1099287757,1092616192,1075838976,1089470464,1097859072,1071434960,0,0,0,1065353216,1126449792,0,0,0,1071434960
0,23,1099327079,1092616192,1075838976,1089470464,1097859072,1072064106,0,0,0,1065353216,1126666541,0,0,0,1072064106
0,24,1099366400,1092616192,1075838976,1089470464,1097859072,1072693252,0,0,0,1065353216,1126861673,0,0,0,1072693252
0,25,1099405722,1092616192,1075838976,1089470464,1097859072,1073322398,0,0,0,1065353216,1127036311,0,0,0,1073322398
0,26,1099445044,1092616192,1075838976,1089470464,1097859072,1073846684,0,0,0,1065353216,1127191530,0,0,0,1073846684
0,27,1099484365,1092616192,1075838976,1089470464,1097859072,1074161257,0,0,0,1065353216,1127328354,0,0,0,1074161257
0,28,1099523687,1092616192,1075838976,1089470464,1097859072,1074475830,0,0,0,1065353216,1127447763,0,0,0,1074475830
0,29,1099563008,1092616192,1075838976,1089470464,1097859072,1074790403,0,0,0,1065353216,1127550693,0,0,0,1074790403
0,30,3266291302,3240099840,3223322624,3236954112,3245342720,1074475830,3264610304,2147483648,2147483648,1065353216,1127638038,0,0,0,1074475830
0,31,3243140710,3240099840,3223322624,3236954112,3245342720,1074161257,0,2147483648,0,1065353216,1132696252,0,0,0,1074161257
0,32,3243219353,3240099840,3223322624,3236954112,3245342720,1073846684,0,2147483648,0,1065353216,1136195268,0,0,0,1073846684
0,33,3243297996,3240099840,3223322624,3236954112,3245342720,1073322398,0,2147483648,0,1065353216,1139554323,0,0,0,1073322398
0,34,3243376640,3240099840,3223322624,3236954112,3245342720,1072693252,0,2147483648,0,1065353216,1141814852,0,0,0,1072693252
0,35,3243455283,3240099840,3223322624,3236954112,3245342720,1072064106,0,2147483648,0,1065353216,1143362705,0,0,0,1072064106
0,36,3243533926,3240099840,3223322624,3236954112,3245342720,1071434960,0,2147483648,0,1065353216,1144848644,0,0,0,1071434960
0,37,3243612569,3240099840,3223322624,3236954112,3245342720,1070805814,0,2147483648,0,1065353216,1146275145,0,0,0,1070805814
0,38,3243691212,3240099840,3223322624,3236954112,3245342720,1070176668,0,2147483648,0,1065353216,1147644586,0,0,0,1070176668
0,39,3243769856,3240099840,3223322624,3236954112,3245342720,1069547522,0,2147483648,0,1065353216,1148959249,0,0,0,1069547522
0,40,3243848499,3240099840,3223322624,3236954112,3245342720,1068918376,0,2147483648,0,1065353216,1149730311,1,0,0,1068918376
0,41,3243927142,3240099840,3223322624,3236954112,3245342720,1068289230,0,2147483648,0,1065353216,1150336108,1,0,0,1068289230
0,42,3244005786,3240099840,3223322624,3236954112,3245342720,1067660084,0,2147483648,0,1065353216,1150917673,1,0,0,1067660084
0,43,3244084429,3240099840,3223322624,3236954112,3245342720,1067030938,0,2147483648,0,1065353216,1151475975,1,0,0,1067030938
0,44,3244163072,3240099840,3223322624,3236954112,3245342720,1066401792,0,2147483648,0,1065353216,1152011945,1,0,0,1066401792
0,45,3244241715,3240099840,3223322624,3236954112,3245342720,1065772646,0,2147483648,0,1065353216,1152526476,1,0,0,1065772646
0,46,3244320358,3240099840,3223322624,3236954112,3245342720,1064933785,0,2147483648,0,1065353216,1153020426,1,0,0,1064933785
0,47,3244399002,3240099840,3223322624,3236954112,3245342720,1063675494,0,2147483648,0,1065353216,1153481568,1,0,0,1063675494
0,48,3244477645,3240099840,3223322624,3236954112,3245342720,1062417203,0,2147483648,0,1065353216,1153905307,1,0,0,1062417203
0,49,3244556288,3240099840,3223322624,3236954112,3245342720,1061158912,0,2147483648,0,1065353216,1154293516,1,0,0,1061158912
0,50,3244634931,3240099840,3223322624,3236954112,3245342720,1059900621,0,2147483648,0,1065353216,1154647989,0,0,0,1059900621
0,51,3244713574,3240099840,3223322624,3236954112,3245342720,1058642330,0,2147483648,0,1065353216,1154970440,0,0,0,1058642330
0,52,3244792218,3240099840,3223322624,3236954112,3245342720,1057384039,0,2147483648,0,1065353216,1155262506,0,0,0,1057384039
0,53,3244870861,3240099840,3223322624,3236954112,3245342720,1055286888,0,2147483648,0,1065353216,1155525752,0,0,0,1055286888
0,54,3244949504,3240099840,3223322624,3236954112,3245342720,1052770306,0,2147483648,0,1065353216,1155761673,0,0,0,1052770306
0,55,3245028147,3240099840,3223322624,3236954112,3245342720,1050253724,0,2147483648,0,1065353216,1155971699,0,0,0,1050253724
0,56,3245106790,3240099840,3223322624,3236954112,3245342720,1046898284,0,2147483648,0,1065353216,1156157195,0,0,0,1046898284
0,57,3245185434,3240099840,3223322624,3236954112,3245342720,1041865120,0,2147483648,0,1065353216,1156319464,0,0,0,1041865120
