#agl
idx,rf_ok,rf_value,initialised,terrain_ok,terrain_value,loc_alt_cm,out
0,0,3223322624,1,0,3217031168,-450,3230662656
1,0,3223322624,0,0,3217031168,0,0
2,0,3223322624,1,0,3217031168,37,1052602532
3,0,3223322624,1,0,3217031168,1200,1094713344
4,0,3223322624,1,0,3217031168,250000,1159479296
5,0,3223322624,1,0,0,-450,3230662656
6,0,3223322624,0,0,0,0,0
7,0,3223322624,1,0,0,37,1052602532
8,0,3223322624,1,0,0,1200,1094713344
9,0,3223322624,1,0,0,250000,1159479296
10,0,3223322624,1,0,1095237632,-450,3230662656
11,0,3223322624,0,0,1095237632,0,0
12,0,3223322624,1,0,1095237632,37,1052602532
13,0,3223322624,1,0,1095237632,1200,1094713344
14,0,3223322624,1,0,1095237632,250000,1159479296
15,0,3223322624,1,1,3217031168,-450,3217031168
16,0,3223322624,0,1,3217031168,0,0
17,0,3223322624,1,1,3217031168,37,3217031168
18,0,3223322624,1,1,3217031168,1200,3217031168
19,0,3223322624,1,1,3217031168,250000,3217031168
20,0,3223322624,1,1,0,-450,0
21,0,3223322624,0,1,0,0,0
22,0,3223322624,1,1,0,37,0
23,0,3223322624,1,1,0,1200,0
24,0,3223322624,1,1,0,250000,0
25,0,3223322624,1,1,1095237632,-450,1095237632
26,0,3223322624,0,1,1095237632,0,0
27,0,3223322624,1,1,1095237632,37,1095237632
28,0,3223322624,1,1,1095237632,1200,1095237632
29,0,3223322624,1,1,1095237632,250000,1095237632
30,0,3223322624,1,0,3217031168,-450,3230662656
31,0,3223322624,1,0,3217031168,0,0
32,0,3223322624,1,0,3217031168,37,1052602532
33,0,3223322624,1,0,3217031168,1200,1094713344
34,0,3223322624,1,0,3217031168,250000,1159479296
35,0,3223322624,1,0,0,-450,3230662656
36,0,3223322624,1,0,0,0,0
37,0,3223322624,1,0,0,37,1052602532
38,0,3223322624,1,0,0,1200,1094713344
39,0,3223322624,1,0,0,250000,1159479296
40,0,3223322624,1,0,1095237632,-450,3230662656
41,0,3223322624,1,0,1095237632,0,0
42,0,3223322624,1,0,1095237632,37,1052602532
43,0,3223322624,1,0,1095237632,1200,1094713344
44,0,3223322624,1,0,1095237632,250000,1159479296
45,0,3223322624,1,1,3217031168,-450,3217031168
46,0,3223322624,1,1,3217031168,0,3217031168
47,0,3223322624,1,1,3217031168,37,3217031168
48,0,3223322624,1,1,3217031168,1200,3217031168
49,0,3223322624,1,1,3217031168,250000,3217031168
50,0,3223322624,1,1,0,-450,0
51,0,3223322624,1,1,0,0,0
52,0,3223322624,1,1,0,37,0
53,0,3223322624,1,1,0,1200,0
54,0,3223322624,1,1,0,250000,0
55,0,3223322624,1,1,1095237632,-450,1095237632
56,0,3223322624,1,1,1095237632,0,1095237632
57,0,3223322624,1,1,1095237632,37,1095237632
58,0,3223322624,1,1,1095237632,1200,1095237632
59,0,3223322624,1,1,1095237632,250000,1095237632
60,0,0,1,0,3217031168,-450,3230662656
61,0,0,0,0,3217031168,0,0
62,0,0,1,0,3217031168,37,1052602532
63,0,0,1,0,3217031168,1200,1094713344
64,0,0,1,0,3217031168,250000,1159479296
65,0,0,1,0,0,-450,3230662656
66,0,0,0,0,0,0,0
67,0,0,1,0,0,37,1052602532
68,0,0,1,0,0,1200,1094713344
69,0,0,1,0,0,250000,1159479296
