#alt_hold
idx,armed,spool,takeoff_running,auto_armed,land_complete,using_interlock,motor_interlock,rate,state,desired,commanded
0,0,0,0,0,0,0,0,3223322624,0,0,1
1,0,0,0,0,0,0,0,3129152111,0,0,1
2,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,981668463,0,0,1
4,0,0,0,0,0,0,0,1075838976,0,0,1
5,0,1,0,0,0,0,0,3223322624,2,0,1
6,0,1,0,0,0,0,0,3129152111,2,0,1
7,0,1,0,0,0,0,0,0,2,0,1
8,0,1,0,0,0,0,0,981668463,2,0,1
9,0,1,0,0,0,0,0,1075838976,2,0,1
10,0,2,0,0,0,0,0,3223322624,3,0,1
11,0,2,0,0,0,0,0,3129152111,3,0,1
12,0,2,0,0,0,0,0,0,3,0,1
13,0,2,0,0,0,0,0,981668463,3,0,1
14,0,2,0,0,0,0,0,1075838976,3,0,1
15,0,3,0,0,0,0,0,3223322624,3,0,1
16,0,3,0,0,0,0,0,3129152111,3,0,1
17,0,3,0,0,0,0,0,0,3,0,1
18,0,3,0,0,0,0,0,981668463,3,0,1
19,0,3,0,0,0,0,0,1075838976,3,0,1
20,0,4,0,0,0,0,0,3223322624,3,0,1
21,0,4,0,0,0,0,0,3129152111,3,0,1
22,0,4,0,0,0,0,0,0,3,0,1
23,0,4,0,0,0,0,0,981668463,3,0,1
24,0,4,0,0,0,0,0,1075838976,3,0,1
25,1,0,0,0,0,0,0,3223322624,3,0,1
26,1,0,0,0,0,0,0,3129152111,3,0,1
27,1,0,0,0,0,0,0,0,3,0,1
28,1,0,0,0,0,0,0,981668463,3,0,1
29,1,0,0,0,0,0,0,1075838976,3,0,1
30,1,1,0,0,0,0,0,3223322624,2,0,1
31,1,1,0,0,0,0,0,3129152111,2,0,1
32,1,1,0,0,0,0,0,0,2,0,1
33,1,1,0,0,0,0,0,981668463,2,0,1
34,1,1,0,0,0,0,0,1075838976,2,0,1
35,1,2,0,0,0,0,0,3223322624,3,0,1
36,1,2,0,0,0,0,0,3129152111,3,0,1
37,1,2,0,0,0,0,0,0,3,0,1
38,1,2,0,0,0,0,0,981668463,3,0,1
39,1,2,0,0,0,0,0,1075838976,3,0,1
40,1,3,0,0,0,0,0,3223322624,3,0,1
41,1,3,0,0,0,0,0,3129152111,3,0,1
42,1,3,0,0,0,0,0,0,3,0,1
43,1,3,0,0,0,0,0,981668463,3,0,1
