#atmosphere
kind,input,a,b
geo2pot,3315146752,3315154493,0
pot2geo,3315146752,3315139022,0
geo2pot,3313106944,3313117261,0
pot2geo,3313106944,3313096641,0
geo2pot,3296329728,3296332306,0
pot2geo,3296329728,3296327152,0
geo2pot,3284664320,3284665145,0
pot2geo,3284664320,3284663495,0
geo2pot,3267887104,3267887310,0
pot2geo,3267887104,3267886898,0
geo2pot,0,0,0
pot2geo,0,0,0
geo2pot,1120403456,1120403250,0
pot2geo,1120403456,1120403662,0
geo2pot,1140457472,1140456184,0
pot2geo,1140457472,1140458761,0
geo2pot,1148846080,1148843504,0
pot2geo,1148846080,1148848658,0
geo2pot,1157234688,1157229535,0
pot2geo,1157234688,1157239845,0
geo2pot,1167867904,1167859856,0
pot2geo,1167867904,1167875965,0
geo2pot,1174011904,1173991311,0
pot2geo,1174011904,1174032550,0
geo2pot,1176256512,1176240428,0
pot2geo,1176256512,1176272646,0
geo2pot,1177178112,1177159005,0
pot2geo,1177178112,1177197283,0
geo2pot,1177280512,1177261055,0
pot2geo,1177280512,1177300038,0
geo2pot,1177382912,1177363099,0
pot2geo,1177382912,1177402795,0
geo2pot,1181376512,1181340352,0
pot2geo,1181376512,1181412842,0
geo2pot,1184593920,1184562123,0
pot2geo,1184593920,1184625916,0
geo2pot,1184645120,1184613003,0
pot2geo,1184645120,1184677439,0
geo2pot,1184696320,1184663882,0
pot2geo,1184696320,1184728964,0
geo2pot,1187205120,1187154977,0
pot2geo,1187205120,1187255659,0
geo2pot,1190737920,1190656367,0
pot2geo,1190737920,1190820296,0
geo2pot,1190789120,1190707056,0
pot2geo,1190789120,1190872015,0
geo2pot,1190840320,1190757743,0
pot2geo,1190840320,1190923734,0
geo2pot,1193033728,1192969695,0
pot2geo,1193033728,1193098571,0
geo2pot,1194800128,1194712195,0
pot2geo,1194800128,1194889370,0
geo2pot,1194825728,1194737420,0
pot2geo,1194825728,1194915352,0
geo2pot,1194851328,1194762645,0
pot2geo,1194851328,1194941335,0
geo2pot,1195593728,1195493833,0
pot2geo,1195593728,1195695206,0
geo2pot,1195824128,1195720620,0
pot2geo,1195824128,1195929307,0
geo2pot,1195849728,1195745814,0
pot2geo,1195849728,1195955322,0
geo2pot,1195875328,1195771008,0
pot2geo,1195875328,1195981340,0
geo2pot,1198153728,1198010104,0
pot2geo,1198153728,1198300089,0
geo2pot,1200257536,1200157433,0
pot2geo,1200257536,1200359898,0
geo2pot,1200270336,1200169951,0
pot2geo,1200270336,1200372988,0
geo2pot,1200283136,1200182470,0
pot2geo,1200283136,1200386079,0
geo2pot,1201422336,1201295067,0
pot2geo,1201422336,1201552849,0
geo2pot,1201934336,1201794109,0
pot2geo,1201934336,1202078319,0
geo2pot,1202043392,1201900325,0
pot2geo,1202043392,1202190330,0
geo2pot,1202702336,1202541512,0
pot2geo,1202702336,1202867781,0
pt,3315146752,1210826814,1134560037
density,3315146752,1073024538,0
eas2tas_sitl,3315146752,1061996264,0
temp_from_alt,3315146752,1134560037,0
pt,3313106944,1209785222,1134368075
density,3313106944,1071810145,0
eas2tas_sitl,3313106944,1062534378,0
temp_from_alt,3313106944,1134368075,0
pt,3296329728,1205765522,1133728596
density,3296329728,1068264190,0
eas2tas_sitl,3296329728,1064575327,0
temp_from_alt,3296329728,1133728596,0
pt,3284664320,1204778976,1133600773
density,3284664320,1067641123,0
eas2tas_sitl,3284664320,1065035557,0
temp_from_alt,3284664320,1133600773,0
pt,3267887104,1204306443,1133536870
density,3267887104,1067339665,0
eas2tas_sitl,3267887104,1065272969,0
temp_from_alt,3267887104,1133536870,0
pt,0,1204151937,1133515571
density,0,1067240651,0
eas2tas_sitl,0,1065353217,0
temp_from_alt,0,1133515571,0
pt,1120403456,1203998908,1133494272
density,1120403456,1067142361,0
eas2tas_sitl,1120403456,1065393625,0
temp_from_alt,1120403456,1133494272,0
pt,1140457472,1203401381,1133409083
density,1140457472,1066756404,0
eas2tas_sitl,1140457472,1065558140,0
temp_from_alt,1140457472,1133409083,0
pt,1148846080,1202686497,1133302612
density,1148846080,1066289881,0
eas2tas_sitl,1148846080,1065770475,0
temp_from_alt,1148846080,1133302612,0
pt,1157234688,1201358519,1133089721
density,1157234688,1065408193,0
eas2tas_sitl,1157234688,1066218820,0
temp_from_alt,1157234688,1133089721,0
pt,1167867904,1196630093,1132440816
density,1167867904,1060931226,0
eas2tas_sitl,1167867904,1067783743,0
temp_from_alt,1167867904,1132440816,0
pt,1174011904,1191920543,1131165473
density,1174011904,1057397227,0
eas2tas_sitl,1174011904,1069768836,0
temp_from_alt,1174011904,1131165473,0
pt,1176256512,1187973069,1130315913
density,1176256512,1054062507,0
eas2tas_sitl,1176256512,1071402859,0
temp_from_alt,1176256512,1130315913,0
pt,1177178112,1186211203,1129933785
density,1177178112,1052584537,0
eas2tas_sitl,1177178112,1072239286,0
temp_from_alt,1177178112,1129933785,0
pt,1177280512,1186027500,1129891332
density,1177280512,1052428106,0
eas2tas_sitl,1177280512,1072336578,0
temp_from_alt,1177280512,1129891332,0
pt,1177382912,1185846319,1129883238
density,1177382912,1052244140,0
eas2tas_sitl,1177382912,1072453409,0
temp_from_alt,1177382912,1129883238,0
pt,1181376512,1178419042,1129883238
density,1181376512,1044868583,0
eas2tas_sitl,1181376512,1075872434,0
temp_from_alt,1181376512,1129883238,0
pt,1184593920,1169130802,1129883238
density,1184593920,1035531942,0
eas2tas_sitl,1184593920,1080800422,0
temp_from_alt,1184593920,1129883238,0
pt,1184645120,1168951953,1129883238
density,1184645120,1035343470,0
eas2tas_sitl,1184645120,1080921929,0
temp_from_alt,1184645120,1129883238,0
pt,1184696320,1168775874,1129885640
density,1184696320,1035155952,0
eas2tas_sitl,1184696320,1081045713,0
temp_from_alt,1184696320,1129885640,0
pt,1187205120,1159680922,1130204500
density,1187205120,1025781522,0
eas2tas_sitl,1187205120,1085335274,0
temp_from_alt,1187205120,1130204500,0
pt,1190737920,1147245800,1130652678
density,1190737920,1013022614,0
eas2tas_sitl,1190737920,1092022936,0
temp_from_alt,1190737920,1130652678,0
pt,1190789120,1147028490,1130659166
density,1190789120,1012799074,0
eas2tas_sitl,1190789120,1092098614,0
temp_from_alt,1190789120,1130659166,0
pt,1190840320,1146814523,1130665654
density,1190840320,1012579069,0
eas2tas_sitl,1190840320,1092174817,0
temp_from_alt,1190840320,1130665654,0
pt,1193033728,1133482605,1132091778
density,1193033728,998436395,0
eas2tas_sitl,1193033728,1099699042,0
temp_from_alt,1193033728,1132091778,0
pt,1194800128,1122671915,1132901441
density,1194800128,986108410,0
eas2tas_sitl,1194800128,1105418230,0
temp_from_alt,1194800128,1132901441,0
pt,1194825728,1122481107,1132910481
density,1194825728,985933549,0
eas2tas_sitl,1194825728,1105519221,0
temp_from_alt,1194825728,1132910481,0
pt,1194851328,1122292822,1132919522
density,1194851328,985761176,0
eas2tas_sitl,1194851328,1105620813,0
temp_from_alt,1194851328,1132919522,0
pt,1195593728,1117753036,1132942131
density,1195593728,981899330,0
eas2tas_sitl,1195593728,1107961822,0
temp_from_alt,1195593728,1132942131,0
pt,1195824128,1116646741,1132942131
density,1195824128,980465097,0
eas2tas_sitl,1195824128,1108482471,0
temp_from_alt,1195824128,1132942131,0
pt,1195849728,1116531303,1132942131
density,1195849728,980270343,0
eas2tas_sitl,1195849728,1108542128,0
temp_from_alt,1195849728,1132942131,0
pt,1195875328,1116417291,1132942131
density,1195875328,980077993,0
eas2tas_sitl,1195875328,1108602156,0
temp_from_alt,1195875328,1132942131,0
pt,1198153728,1102031708,1131873624
density,1198153728,966941772,0
eas2tas_sitl,1198153728,1115395068,0
temp_from_alt,1198153728,1131873624,0
pt,1200257536,1083281930,1129914024
density,1200257536,949555736,0
eas2tas_sitl,1200257536,1124175045,0
temp_from_alt,1200257536,1129914024,0
pt,1200270336,1083136154,1129896078
density,1200270336,949414924,0
eas2tas_sitl,1200270336,1124235267,0
temp_from_alt,1200270336,1129896078,0
pt,1200283136,1082992426,1129878131
density,1200283136,949275914,0
eas2tas_sitl,1200283136,1124295993,0
temp_from_alt,1200283136,1129878131,0
pt,1201422336,1065793393,1128702841
density,1201422336,932894290,0
