#biquad_params
scenario,cutoff_freq,sample_freq,a1,a2,b0,b1,b2
ins_gyro,1128005632,1174011904,3219479259,1062191499,1000438427,1008827035,1000438427
ins_accel,1101004800,1148846080,3219738130,1062621579,997022142,1005410750,997022142
loop_rate,1092616192,1137180672,3219368500,1062011238,1001758640,1010147248,1001758640
slow,1084227584,1112014848,3214036271,1054038717,1032463870,1040852478,1032463870
clamped,1137180672,1148846080,1066552625,1054038717,1059295728,1067684336,1059295728
at_boundary,1137180672,1148846080,1066552625,1054038717,1059295728,1067684336,1059295728
zero_cutoff,0,1148846080,0,0,0,0,0
zero_rate,0,0,0,0,0,0,0
neg_cutoff,3248488448,1148846080,0,0,0,0,0
sub_epsilon,841731191,1148846080,0,0,0,0,0
reset,1101004800,1148846080,3219738130,1062621579,997022142,1005410750,997022142
reset_to,1101004800,1148846080,3219738130,1062621579,997022142,1005410750,997022142
retune,1114636288,1148846080,3216825483,1058422875,1021590062,1029978670,1021590062
retune_to_zero,0,1148846080,3219738130,1062621579,997022142,1005410750,997022142
