#biquad
scenario,step,in,out_f,out_x,out_y,out_z
ins_gyro,0,0,0,0,0,0
ins_gyro,1,1043304525,979205035,979205035,987593643,3126688683
ins_gyro,2,1050995571,1000144386,1000144386,1008532994,3147628034
ins_gyro,3,1054740338,1013336783,1013336783,1021725391,3160820431
ins_gyro,4,1056720495,1022517803,1022517803,1030906411,3170001451
ins_gyro,5,1069480352,1030042001,1030042001,1038430609,3177525649
ins_gyro,6,1068973779,1036890868,1036890868,1045279476,3184374516
ins_gyro,7,1068028195,1042705396,1042705396,1051094004,3190189044
ins_gyro,8,1066758258,1047603405,1047603405,1055992013,3195087053
ins_gyro,9,1065282692,1050690259,1050690259,1059078867,3198173907
ins_gyro,10,1062410633,1053252424,1053252424,1061641032,3200736072
ins_gyro,11,1059895378,1055623132,1055623132,1064011740,3203106780
ins_gyro,12,1058041910,1057330094,1057330094,1065718702,3204813742
ins_gyro,13,1057074970,1058189438,1058189438,1066578046,3205673086
ins_gyro,14,1057111806,1058869813,1058869813,1067258421,3206353461
ins_gyro,15,1058147951,1059392240,1059392240,1067780848,3206875888
ins_gyro,16,1060057767,1059795993,1059795993,1068184601,3207279641
ins_gyro,17,1062609680,1060131981,1060131981,1068520589,3207615629
ins_gyro,18,1065423737,1060455130,1060455130,1068843738,3207938778
ins_gyro,19,1066857478,1060816627,1060816627,1069205235,3208300275
ins_gyro,20,1068108818,1061256928,1061256928,1069645536,3208740576
ins_gyro,21,1069026028,1061800338,1061800338,1070188946,3209283986
ins_gyro,22,1069497894,1062451782,1062451782,1070840390,3209935430
ins_gyro,23,1069467198,1063196096,1063196096,1071584704,3210679744
ins_gyro,24,1068937664,1063999933,1063999933,1072388541,3211483581
ins_gyro,25,1067973498,1064815990,1064815990,1073204598,3212299638
ins_gyro,26,1066691614,1065471116,1065471116,1073859724,3212954764
ins_gyro,27,1065141662,1065808048,1065808048,1074196656,3213291696
ins_gyro,28,1062278965,1066070496,1066070496,1074459104,3213554144
ins_gyro,29,1059789041,1066239966,1066239966,1074628574,3213723614
ins_gyro,30,1093203554,1066720227,1066720227,1075108835,3214203875
ins_gyro,31,1057053337,1067839282,1067839282,1076227890,3215322930
ins_gyro,32,1057139278,1069032506,1069032506,1077421114,3216516154
ins_gyro,33,1058221198,1069849836,1069849836,1078238444,3217333484
ins_gyro,34,1060167904,1070356342,1070356342,1078744950,3217839990
ins_gyro,35,1062743358,1070619217,1070619217,1079007825,3218102865
ins_gyro,36,1065494239,1070703808,1070703808,1079092416,3218187456
ins_gyro,37,1066923095,1070669682,1070669682,1079058290,3218153330
ins_gyro,38,1068161596,1070567199,1070567199,1078955807,3218050847
ins_gyro,39,1069059565,1070434931,1070434931,1078823539,3217918579
ins_gyro,40,1069508124,1070298263,1070298263,1078686871,3217781911
ins_gyro,41,1069452882,1070169291,1070169291,1078557899,3217652939
ins_gyro,42,1068900536,1070048054,1070048054,1078436662,3217531702
ins_gyro,43,1067918060,1069924925,1069924925,1078313533,3217408573
ins_gyro,44,1066624588,1069783909,1069783909,1078172517,3217267557
ins_gyro,45,1065000690,1069606432,1069606432,1077995040,3217090080
ins_gyro,46,1062148166,1069375193,1069375193,1077763801,3216858841
ins_gyro,47,1059684281,1069077619,1069077619,1077466227,3216561267
ins_gyro,48,1057907767,1068708530,1068708530,1077097138,3216192178
ins_gyro,49,1057034050,1068271701,1068271701,1076660309,3215755349
ins_gyro,50,1057169072,1067780158,1067780158,1076168766,3215263806
ins_gyro,51,1058296461,1067255192,1067255192,1075643800,3214738840
ins_gyro,52,1060279503,1066724223,1066724223,1075112831,3214207871
ins_gyro,53,1062877766,1066217802,1066217802,1074606410,3213701450
ins_gyro,54,1065564702,1065766117,1065766117,1074154725,3213249765
ins_gyro,55,1066988270,1065395457,1065395457,1073784065,3212879105
ins_gyro,56,1068213580,1064896922,1064896922,1073285530,3212380570
ins_gyro,57,1069092053,1064576400,1064576400,1072965008,3212060048
ins_gyro,58,1069517180,1064474522,1064474522,1072863130,3211958170
ins_gyro,59,1069437406,1064568347,1064568347,1072956955,3212051995
ins_gyro,60,1059788680,1064754085,1064754085,1073142693,3212237733
ins_gyro,61,1073947588,1064988772,1064988772,1073377380,3212472420
ins_gyro,62,1053391964,1065282320,1065282320,1073670928,3212765968
ins_gyro,63,1071397977,1065460592,1065460592,1073849200,3212944240
ins_gyro,64,1028771456,1065569669,1065569669,1073958277,3213053317
ins_gyro,65,1068758620,1065622050,1065622050,1074010658,3213105698
ins_gyro,66,3192542728,1065604095,1065604095,1073992703,3213087743
ins_gyro,67,1067476622,1065512810,1065512810,1073901418,3212996458
ins_gyro,68,3195113368,1065355913,1065355913,1073744521,3212839561
ins_gyro,69,1068154921,1064948024,1064948024,1073336632,3212431672
ins_gyro,70,3174767008,1064489394,1064489394,1072878002,3211973042
ins_gyro,71,1070474508,1064039404,1064039404,1072428012,3211523052
ins_gyro,72,1049703544,1063655379,1063655379,1072043987,3211139027
ins_gyro,73,1073344436,1063387967,1063387967,1071776575,3210871615
ins_gyro,74,1058593376,1063274668,1063274668,1071663276,3210758316
ins_gyro,75,1074578384,1063334996,1063334996,1071723604,3210818644
ins_gyro,76,1061113990,1063567871,1063567871,1071956479,3211051519
ins_gyro,77,1074727028,1063951538,1063951538,1072340146,3211435186
ins_gyro,78,1059710436,1064446029,1064446029,1072834637,3211929677
ins_gyro,79,1073919154,1064997870,1064997870,1073386478,3212481518
ins_gyro,80,1053121044,1065449833,1065449833,1073838441,3212933481
ins_gyro,81,1071327606,1065692246,1065692246,1074080854,3213175894
ins_gyro,82,1026708384,1065876231,1065876231,1074264839,3213359879
ins_gyro,83,1068707857,1065982128,1065982128,1074370736,3213465776
ins_gyro,84,3192789920,1065999537,1065999537,1074388145,3213483185
ins_gyro,85,1067469332,1065928565,1065928565,1074317173,3213412213
ins_gyro,86,3194975704,1065779818,1065779818,1074168426,3213263466
ins_gyro,87,1068194535,1065573112,1065573112,1073961720,3213056760
ins_gyro,88,3172936032,1065316944,1065316944,1073705552,3212800592
ins_gyro,89,1070542394,1064838679,1064838679,1073227287,3212322327
ins_gyro,90,1049984856,1064418547,1064418547,1072807155,3211902195
ins_gyro,91,1073408672,1064109478,1064109478,1072498086,3211593126
ins_gyro,92,1058694088,1063950606,1063950606,1072339214,3211434254
ins_gyro,93,1074593566,1063962549,1063962549,1072351157,3211446197
ins_gyro,94,1061127386,1064144948,1064144948,1072533556,3211628596
ins_gyro,95,1074718137,1064476530,1064476530,1072865138,3211960178
ins_gyro,96,1059630232,1064917722,1064917722,1073306330,3212401370
ins_gyro,97,1073890369,1065384347,1065384347,1073772955,3212867995
ins_gyro,98,1052848872,1065631474,1065631474,1074020082,3213115122
ins_gyro,99,1071257342,1065846961,1065846961,1074235569,3213330609
ins_accel,0,0,0,0,0,0
ins_accel,1,1043304525,975357475,975357475,983746083,3122841123
ins_accel,2,1050995571,996672244,996672244,1005060852,3144155892
ins_accel,3,1054740338,1009473274,1009473274,1017861882,3156956922
ins_accel,4,1056720495,1018546170,1018546170,1026934778,3166029818
ins_accel,5,1069480352,1026358668,1026358668,1034747276,3173842316
ins_accel,6,1068973779,1033634736,1033634736,1042023344,3181118384
ins_accel,7,1068028195,1040058960,1040058960,1048447568,3187542608
ins_accel,8,1066758258,1043964508,1043964508,1052353116,3191448156
ins_accel,9,1065282692,1048134247,1048134247,1056522855,3195617895
ins_accel,10,1062410633,1050466327,1050466327,1058854935,3197949975
ins_accel,11,1059895378,1052488300,1052488300,1060876908,3199971948
ins_accel,12,1058041910,1054335615,1054335615,1062724223,3201819263
ins_accel,13,1057074970,1055957871,1055957871,1064346479,3203441519
ins_accel,14,1057111806,1057152828,1057152828,1065541436,3204636476
ins_accel,15,1058147951,1057734838,1057734838,1066123446,3205218486
ins_accel,16,1060057767,1058231236,1058231236,1066619844,3205714884
ins_accel,17,1062609680,1058675597,1058675597,1067064205,3206159245
ins_accel,18,1065423737,1059105804,1059105804,1067494412,3206589452
ins_accel,19,1066857478,1059558452,1059558452,1067947060,3207042100
ins_accel,20,1068108818,1060063609,1060063609,1068452217,3207547257
ins_accel,21,1069026028,1060640566,1060640566,1069029174,3208124214
ins_accel,22,1069497894,1061295042,1061295042,1069683650,3208778690
ins_accel,23,1069467198,1062018194,1062018194,1070406802,3209501842
ins_accel,24,1068937664,1062787500,1062787500,1071176108,3210271148
ins_accel,25,1067973498,1063569424,1063569424,1071958032,3211053072
ins_accel,26,1066691614,1064323496,1064323496,1072712104,3211807144
ins_accel,27,1065141662,1065007310,1065007310,1073395918,3212490958
ins_accel,28,1062278965,1065467521,1065467521,1073856129,3212951169
ins_accel,29,1059789041,1065684758,1065684758,1074073366,3213168406
ins_accel,30,1093203554,1066126550,1066126550,1074515158,3213610198
ins_accel,31,1057053337,1067040993,1067040993,1075429601,3214524641
ins_accel,32,1057139278,1068027611,1068027611,1076416219,3215511259
ins_accel,33,1058221198,1068757154,1068757154,1077145762,3216240802
ins_accel,34,1060167904,1069268507,1069268507,1077657115,3216752155
ins_accel,35,1062743358,1069603463,1069603463,1077992071,3217087111
ins_accel,36,1065494239,1069803980,1069803980,1078192588,3217287628
ins_accel,37,1066923095,1069909353,1069909353,1078297961,3217393001
ins_accel,38,1068161596,1069953619,1069953619,1078342227,3217437267
ins_accel,39,1069059565,1069963484,1069963484,1078352092,3217447132
ins_accel,40,1069508124,1069957021,1069957021,1078345629,3217440669
ins_accel,41,1069452882,1069943282,1069943282,1078331890,3217426930
ins_accel,42,1068900536,1069922877,1069922877,1078311485,3217406525
ins_accel,43,1067918060,1069889428,1069889428,1078278036,3217373076
ins_accel,44,1066624588,1069831739,1069831739,1078220347,3217315387
ins_accel,45,1065000690,1069736425,1069736425,1078125033,3217220073
ins_accel,46,1062148166,1069590656,1069590656,1077979264,3217074304
ins_accel,47,1059684281,1069384722,1069384722,1077773330,3216868370
ins_accel,48,1057907767,1069114098,1069114098,1077502706,3216597746
ins_accel,49,1057034050,1068780757,1068780757,1077169365,3216264405
