#common
kind,a,b,c,out
f16_get,0,0,0,0
f16_get,1,0,0,864026624
f16_get,2,0,0,872415232
f16_get,3,0,0,876609536
f16_get,4,0,0,880803840
f16_get,5,0,0,882900992
f16_get,6,0,0,884998144
f16_get,7,0,0,887095296
f16_get,8,0,0,889192448
f16_get,9,0,0,890241024
f16_get,10,0,0,891289600
f16_get,11,0,0,892338176
f16_get,12,0,0,893386752
f16_get,13,0,0,894435328
f16_get,14,0,0,895483904
f16_get,15,0,0,896532480
f16_get,16,0,0,897581056
f16_get,17,0,0,898105344
f16_get,18,0,0,898629632
f16_get,19,0,0,899153920
f16_get,20,0,0,899678208
f16_get,21,0,0,900202496
f16_get,22,0,0,900726784
f16_get,23,0,0,901251072
f16_get,24,0,0,901775360
f16_get,25,0,0,902299648
f16_get,26,0,0,902823936
f16_get,27,0,0,903348224
f16_get,28,0,0,903872512
f16_get,29,0,0,904396800
f16_get,30,0,0,904921088
f16_get,31,0,0,905445376
f16_get,32,0,0,905969664
f16_get,33,0,0,906231808
f16_get,34,0,0,906493952
f16_get,35,0,0,906756096
f16_get,36,0,0,907018240
f16_get,37,0,0,907280384
f16_get,38,0,0,907542528
f16_get,39,0,0,907804672
f16_get,40,0,0,908066816
f16_get,41,0,0,908328960
f16_get,42,0,0,908591104
f16_get,43,0,0,908853248
f16_get,44,0,0,909115392
f16_get,45,0,0,909377536
f16_get,46,0,0,909639680
f16_get,47,0,0,909901824
f16_get,48,0,0,910163968
f16_get,49,0,0,910426112
f16_get,50,0,0,910688256
f16_get,51,0,0,910950400
f16_get,52,0,0,911212544
f16_get,53,0,0,911474688
f16_get,54,0,0,911736832
f16_get,55,0,0,911998976
f16_get,56,0,0,912261120
f16_get,57,0,0,912523264
f16_get,58,0,0,912785408
f16_get,59,0,0,913047552
f16_get,60,0,0,913309696
f16_get,61,0,0,913571840
f16_get,62,0,0,913833984
f16_get,63,0,0,914096128
f16_get,64,0,0,914358272
f16_get,65,0,0,914489344
f16_get,66,0,0,914620416
f16_get,67,0,0,914751488
f16_get,68,0,0,914882560
f16_get,69,0,0,915013632
f16_get,70,0,0,915144704
f16_get,71,0,0,915275776
f16_get,72,0,0,915406848
f16_get,73,0,0,915537920
f16_get,74,0,0,915668992
f16_get,75,0,0,915800064
f16_get,76,0,0,915931136
f16_get,77,0,0,916062208
f16_get,78,0,0,916193280
f16_get,79,0,0,916324352
f16_get,80,0,0,916455424
f16_get,81,0,0,916586496
f16_get,82,0,0,916717568
f16_get,83,0,0,916848640
f16_get,84,0,0,916979712
f16_get,85,0,0,917110784
f16_get,86,0,0,917241856
f16_get,87,0,0,917372928
f16_get,88,0,0,917504000
f16_get,89,0,0,917635072
f16_get,90,0,0,917766144
f16_get,91,0,0,917897216
f16_get,92,0,0,918028288
f16_get,93,0,0,918159360
f16_get,94,0,0,918290432
f16_get,95,0,0,918421504
f16_get,96,0,0,918552576
f16_get,97,0,0,918683648
f16_get,98,0,0,918814720
f16_get,99,0,0,918945792
f16_get,100,0,0,919076864
f16_get,101,0,0,919207936
f16_get,102,0,0,919339008
f16_get,103,0,0,919470080
f16_get,104,0,0,919601152
f16_get,105,0,0,919732224
f16_get,106,0,0,919863296
f16_get,107,0,0,919994368
f16_get,108,0,0,920125440
f16_get,109,0,0,920256512
f16_get,110,0,0,920387584
f16_get,111,0,0,920518656
f16_get,112,0,0,920649728
f16_get,113,0,0,920780800
f16_get,114,0,0,920911872
f16_get,115,0,0,921042944
f16_get,116,0,0,921174016
f16_get,117,0,0,921305088
f16_get,118,0,0,921436160
f16_get,119,0,0,921567232
f16_get,120,0,0,921698304
f16_get,121,0,0,921829376
f16_get,122,0,0,921960448
f16_get,123,0,0,922091520
f16_get,124,0,0,922222592
f16_get,125,0,0,922353664
f16_get,126,0,0,922484736
f16_get,127,0,0,922615808
f16_get,128,0,0,922746880
f16_get,129,0,0,922812416
f16_get,130,0,0,922877952
f16_get,131,0,0,922943488
f16_get,132,0,0,923009024
f16_get,133,0,0,923074560
f16_get,134,0,0,923140096
f16_get,135,0,0,923205632
f16_get,136,0,0,923271168
f16_get,137,0,0,923336704
f16_get,138,0,0,923402240
f16_get,139,0,0,923467776
f16_get,140,0,0,923533312
f16_get,141,0,0,923598848
f16_get,142,0,0,923664384
f16_get,143,0,0,923729920
f16_get,144,0,0,923795456
f16_get,145,0,0,923860992
f16_get,146,0,0,923926528
f16_get,147,0,0,923992064
f16_get,148,0,0,924057600
f16_get,149,0,0,924123136
f16_get,150,0,0,924188672
f16_get,151,0,0,924254208
f16_get,152,0,0,924319744
f16_get,153,0,0,924385280
f16_get,154,0,0,924450816
f16_get,155,0,0,924516352
f16_get,156,0,0,924581888
f16_get,157,0,0,924647424
f16_get,158,0,0,924712960
f16_get,159,0,0,924778496
f16_get,160,0,0,924844032
f16_get,161,0,0,924909568
f16_get,162,0,0,924975104
f16_get,163,0,0,925040640
f16_get,164,0,0,925106176
f16_get,165,0,0,925171712
f16_get,166,0,0,925237248
f16_get,167,0,0,925302784
f16_get,168,0,0,925368320
f16_get,169,0,0,925433856
f16_get,170,0,0,925499392
f16_get,171,0,0,925564928
f16_get,172,0,0,925630464
f16_get,173,0,0,925696000
f16_get,174,0,0,925761536
f16_get,175,0,0,925827072
f16_get,176,0,0,925892608
f16_get,177,0,0,925958144
f16_get,178,0,0,926023680
f16_get,179,0,0,926089216
f16_get,180,0,0,926154752
f16_get,181,0,0,926220288
f16_get,182,0,0,926285824
f16_get,183,0,0,926351360
f16_get,184,0,0,926416896
f16_get,185,0,0,926482432
f16_get,186,0,0,926547968
f16_get,187,0,0,926613504
f16_get,188,0,0,926679040
f16_get,189,0,0,926744576
f16_get,190,0,0,926810112
f16_get,191,0,0,926875648
f16_get,192,0,0,926941184
f16_get,193,0,0,927006720
f16_get,194,0,0,927072256
f16_get,195,0,0,927137792
f16_get,196,0,0,927203328
f16_get,197,0,0,927268864
f16_get,198,0,0,927334400
f16_get,199,0,0,927399936
f16_get,200,0,0,927465472
f16_get,201,0,0,927531008
f16_get,202,0,0,927596544
f16_get,203,0,0,927662080
f16_get,204,0,0,927727616
f16_get,205,0,0,927793152
f16_get,206,0,0,927858688
f16_get,207,0,0,927924224
f16_get,208,0,0,927989760
f16_get,209,0,0,928055296
f16_get,210,0,0,928120832
f16_get,211,0,0,928186368
f16_get,212,0,0,928251904
f16_get,213,0,0,928317440
f16_get,214,0,0,928382976
f16_get,215,0,0,928448512
