#control
kind,a,b,c,d,e,f,out1,out2
sqrt,3245342720,0,3212836864,0,0,0,2147483648,0
sqrt,3245080576,0,3212836864,0,0,0,2147483648,0
sqrt,3244818432,0,3212836864,0,0,0,2147483648,0
sqrt,3244556288,0,3212836864,0,0,0,2147483648,0
sqrt,3244294144,0,3212836864,0,0,0,2147483648,0
sqrt,3244032000,0,3212836864,0,0,0,2147483648,0
sqrt,3243769856,0,3212836864,0,0,0,2147483648,0
sqrt,3243507712,0,3212836864,0,0,0,2147483648,0
sqrt,3243245568,0,3212836864,0,0,0,2147483648,0
sqrt,3242983424,0,3212836864,0,0,0,2147483648,0
sqrt,3242721280,0,3212836864,0,0,0,2147483648,0
sqrt,3242459136,0,3212836864,0,0,0,2147483648,0
sqrt,3242196992,0,3212836864,0,0,0,2147483648,0
sqrt,3241934848,0,3212836864,0,0,0,2147483648,0
sqrt,3241672704,0,3212836864,0,0,0,2147483648,0
sqrt,3241410560,0,3212836864,0,0,0,2147483648,0
sqrt,3241148416,0,3212836864,0,0,0,2147483648,0
sqrt,3240886272,0,3212836864,0,0,0,2147483648,0
sqrt,3240624128,0,3212836864,0,0,0,2147483648,0
sqrt,3240361984,0,3212836864,0,0,0,2147483648,0
sqrt,3240099840,0,3212836864,0,0,0,2147483648,0
sqrt,3239837696,0,3212836864,0,0,0,2147483648,0
sqrt,3239575552,0,3212836864,0,0,0,2147483648,0
sqrt,3239313408,0,3212836864,0,0,0,2147483648,0
sqrt,3239051264,0,3212836864,0,0,0,2147483648,0
sqrt,3238789120,0,3212836864,0,0,0,2147483648,0
sqrt,3238526976,0,3212836864,0,0,0,2147483648,0
sqrt,3238264832,0,3212836864,0,0,0,2147483648,0
sqrt,3238002688,0,3212836864,0,0,0,2147483648,0
sqrt,3237478400,0,3212836864,0,0,0,2147483648,0
sqrt,3236954112,0,3212836864,0,0,0,2147483648,0
sqrt,3236429824,0,3212836864,0,0,0,2147483648,0
sqrt,3235905536,0,3212836864,0,0,0,2147483648,0
sqrt,3235381248,0,3212836864,0,0,0,2147483648,0
sqrt,3234856960,0,3212836864,0,0,0,2147483648,0
sqrt,3234332672,0,3212836864,0,0,0,2147483648,0
sqrt,3233808384,0,3212836864,0,0,0,2147483648,0
sqrt,3233284096,0,3212836864,0,0,0,2147483648,0
sqrt,3232759808,0,3212836864,0,0,0,2147483648,0
sqrt,3232235520,0,3212836864,0,0,0,2147483648,0
sqrt,3231711232,0,3212836864,0,0,0,2147483648,0
sqrt,3231186944,0,3212836864,0,0,0,2147483648,0
sqrt,3230662656,0,3212836864,0,0,0,2147483648,0
sqrt,3230138368,0,3212836864,0,0,0,2147483648,0
sqrt,3229614080,0,3212836864,0,0,0,2147483648,0
sqrt,3228565504,0,3212836864,0,0,0,2147483648,0
sqrt,3227516928,0,3212836864,0,0,0,2147483648,0
sqrt,3226468352,0,3212836864,0,0,0,2147483648,0
sqrt,3225419776,0,3212836864,0,0,0,2147483648,0
sqrt,3224371200,0,3212836864,0,0,0,2147483648,0
sqrt,3223322624,0,3212836864,0,0,0,2147483648,0
sqrt,3222274048,0,3212836864,0,0,0,2147483648,0
sqrt,3221225472,0,3212836864,0,0,0,2147483648,0
sqrt,3219128320,0,3212836864,0,0,0,2147483648,0
sqrt,3217031168,0,3212836864,0,0,0,2147483648,0
