#limits
idx,vel_x,vel_y,acc_x,acc_y,accel_max,plain_x,plain_y,plain_ret,corner_x,corner_y,corner_ret
0,0,0,1056964608,0,0,1056964608,0,0,1056964608,0,0
1,0,0,1054716887,1048576000,0,1054716887,1048576000,0,1054716887,1048576000,0
2,0,0,1048575999,1054716888,0,1048575999,1054716888,0,1048575999,1054716888,0
3,0,0,2998648110,1056964608,0,2998648110,1056964608,0,2998648110,1056964608,0
4,0,0,3196059649,1054716887,0,3196059649,1054716887,0,3196059649,1054716887,0
5,0,0,3202200535,1048576001,0,3202200535,1048576001,0,3202200535,1048576001,0
6,0,0,3204448256,3007036718,0,3204448256,3007036718,0,3204448256,3007036718,0
7,0,0,3202200533,3196059651,0,3202200533,3196059651,0,3202200533,3196059651,0
8,0,0,3196059645,3202200536,0,3196059645,3202200536,0,3196059645,3202200536,0
9,0,0,835509806,3204448256,0,835509806,3204448256,0,835509806,3204448256,0
10,0,0,1048575997,3202200536,0,1048575997,3202200536,0,1048575997,3202200536,0
11,0,0,1054716890,3196059640,0,1054716890,3196059640,0,1054716890,3196059640,0
12,0,0,1056964608,0,1077936128,1056964608,0,0,1056964608,0,0
13,0,0,1054716887,1048576000,1077936128,1054716887,1048576000,0,1054716887,1048576000,0
14,0,0,1048575999,1054716888,1077936128,1048575999,1054716888,0,1048575999,1054716888,0
15,0,0,2998648110,1056964608,1077936128,2998648110,1056964608,0,2998648110,1056964608,0
16,0,0,3196059649,1054716887,1077936128,3196059649,1054716887,0,3196059649,1054716887,0
17,0,0,3202200535,1048576001,1077936128,3202200535,1048576001,0,3202200535,1048576001,0
18,0,0,3204448256,3007036718,1077936128,3204448256,3007036718,0,3204448256,3007036718,0
19,0,0,3202200533,3196059651,1077936128,3202200533,3196059651,0,3202200533,3196059651,0
20,0,0,3196059645,3202200536,1077936128,3196059645,3202200536,0,3196059645,3202200536,0
21,0,0,835509806,3204448256,1077936128,835509806,3204448256,0,835509806,3204448256,0
22,0,0,1048575997,3202200536,1077936128,1048575997,3202200536,0,1048575997,3202200536,0
23,0,0,1054716890,3196059640,1077936128,1054716890,3196059640,0,1054716890,3196059640,0
