#arm_checks
idx,mode,method,ahrs_healthy,skip_all,ins_enabled,rc_enabled,adsb,throttle_in,mode_allows_arming,passed,first
0,0,0,0,0,1,1,0,0,1,0,AHRS not healthy
1,0,0,0,0,1,1,0,400,1,0,AHRS not healthy
2,0,0,0,0,1,1,1,0,1,0,AHRS not healthy
3,0,0,0,0,1,1,1,400,1,0,AHRS not healthy
4,0,0,0,1,0,0,0,0,1,0,AHRS not healthy
5,0,0,0,1,0,0,0,400,1,0,AHRS not healthy
6,0,0,0,1,0,0,1,0,1,0,AHRS not healthy
7,0,0,0,1,0,0,1,400,1,0,AHRS not healthy
8,0,0,1,0,1,1,0,0,1,0,Safety Switch
9,0,0,1,0,1,1,0,400,1,0,Throttle too high
10,0,0,1,0,1,1,1,0,1,0,ADSB threat detected
11,0,0,1,0,1,1,1,400,1,0,ADSB threat detected
12,0,0,1,1,0,0,0,0,1,1,-
13,0,0,1,1,0,0,0,400,1,1,-
14,0,0,1,1,0,0,1,0,1,1,-
15,0,0,1,1,0,0,1,400,1,1,-
16,0,1,0,0,1,1,0,0,1,0,AHRS not healthy
17,0,1,0,0,1,1,0,400,1,0,AHRS not healthy
18,0,1,0,0,1,1,1,0,1,0,AHRS not healthy
19,0,1,0,0,1,1,1,400,1,0,AHRS not healthy
20,0,1,0,1,0,0,0,0,1,0,AHRS not healthy
21,0,1,0,1,0,0,0,400,1,0,AHRS not healthy
22,0,1,0,1,0,0,1,0,1,0,AHRS not healthy
23,0,1,0,1,0,0,1,400,1,0,AHRS not healthy
24,0,1,1,0,1,1,0,0,1,0,Safety Switch
25,0,1,1,0,1,1,0,400,1,0,Throttle too high
26,0,1,1,0,1,1,1,0,1,0,ADSB threat detected
27,0,1,1,0,1,1,1,400,1,0,ADSB threat detected
28,0,1,1,1,0,0,0,0,1,1,-
29,0,1,1,1,0,0,0,400,1,1,-
30,0,1,1,1,0,0,1,0,1,1,-
31,0,1,1,1,0,0,1,400,1,1,-
32,0,4,0,0,1,1,0,0,1,0,AHRS not healthy
33,0,4,0,0,1,1,0,400,1,0,AHRS not healthy
34,0,4,0,0,1,1,1,0,1,0,AHRS not healthy
35,0,4,0,0,1,1,1,400,1,0,AHRS not healthy
36,0,4,0,1,0,0,0,0,1,0,AHRS not healthy
37,0,4,0,1,0,0,0,400,1,0,AHRS not healthy
38,0,4,0,1,0,0,1,0,1,0,AHRS not healthy
39,0,4,0,1,0,0,1,400,1,0,AHRS not healthy
40,0,4,1,0,1,1,0,0,1,0,Safety Switch
41,0,4,1,0,1,1,0,400,1,0,Throttle too high
42,0,4,1,0,1,1,1,0,1,0,ADSB threat detected
43,0,4,1,0,1,1,1,400,1,0,ADSB threat detected
44,0,4,1,1,0,0,0,0,1,1,-
45,0,4,1,1,0,0,0,400,1,1,-
46,0,4,1,1,0,0,1,0,1,1,-
47,0,4,1,1,0,0,1,400,1,1,-
48,5,0,0,0,1,1,0,0,1,0,AHRS not healthy
49,5,0,0,0,1,1,0,400,1,0,AHRS not healthy
50,5,0,0,0,1,1,1,0,1,0,AHRS not healthy
51,5,0,0,0,1,1,1,400,1,0,AHRS not healthy
52,5,0,0,1,0,0,0,0,1,0,AHRS not healthy
53,5,0,0,1,0,0,0,400,1,0,AHRS not healthy
54,5,0,0,1,0,0,1,0,1,0,AHRS not healthy
55,5,0,0,1,0,0,1,400,1,0,AHRS not healthy
56,5,0,1,0,1,1,0,0,1,0,Safety Switch
57,5,0,1,0,1,1,0,400,1,0,Safety Switch
58,5,0,1,0,1,1,1,0,1,0,ADSB threat detected
59,5,0,1,0,1,1,1,400,1,0,ADSB threat detected
60,5,0,1,1,0,0,0,0,1,1,-
61,5,0,1,1,0,0,0,400,1,1,-
62,5,0,1,1,0,0,1,0,1,1,-
63,5,0,1,1,0,0,1,400,1,1,-
64,5,1,0,0,1,1,0,0,1,0,AHRS not healthy
65,5,1,0,0,1,1,0,400,1,0,AHRS not healthy
66,5,1,0,0,1,1,1,0,1,0,AHRS not healthy
67,5,1,0,0,1,1,1,400,1,0,AHRS not healthy
68,5,1,0,1,0,0,0,0,1,0,AHRS not healthy
69,5,1,0,1,0,0,0,400,1,0,AHRS not healthy
70,5,1,0,1,0,0,1,0,1,0,AHRS not healthy
71,5,1,0,1,0,0,1,400,1,0,AHRS not healthy
72,5,1,1,0,1,1,0,0,1,0,Safety Switch
73,5,1,1,0,1,1,0,400,1,0,Safety Switch
74,5,1,1,0,1,1,1,0,1,0,ADSB threat detected
75,5,1,1,0,1,1,1,400,1,0,ADSB threat detected
76,5,1,1,1,0,0,0,0,1,1,-
77,5,1,1,1,0,0,0,400,1,1,-
78,5,1,1,1,0,0,1,0,1,1,-
79,5,1,1,1,0,0,1,400,1,1,-
80,5,4,0,0,1,1,0,0,1,0,AHRS not healthy
81,5,4,0,0,1,1,0,400,1,0,AHRS not healthy
82,5,4,0,0,1,1,1,0,1,0,AHRS not healthy
83,5,4,0,0,1,1,1,400,1,0,AHRS not healthy
84,5,4,0,1,0,0,0,0,1,0,AHRS not healthy
85,5,4,0,1,0,0,0,400,1,0,AHRS not healthy
86,5,4,0,1,0,0,1,0,1,0,AHRS not healthy
87,5,4,0,1,0,0,1,400,1,0,AHRS not healthy
88,5,4,1,0,1,1,0,0,1,0,Safety Switch
89,5,4,1,0,1,1,0,400,1,0,Safety Switch
90,5,4,1,0,1,1,1,0,1,0,ADSB threat detected
91,5,4,1,0,1,1,1,400,1,0,ADSB threat detected
92,5,4,1,1,0,0,0,0,1,1,-
93,5,4,1,1,0,0,0,400,1,1,-
94,5,4,1,1,0,0,1,0,1,1,-
95,5,4,1,1,0,0,1,400,1,1,-
96,9,0,0,0,1,1,0,0,0,0,AHRS not healthy
97,9,0,0,0,1,1,0,400,0,0,AHRS not healthy
98,9,0,0,0,1,1,1,0,0,0,AHRS not healthy
99,9,0,0,0,1,1,1,400,0,0,AHRS not healthy
100,9,0,0,1,0,0,0,0,0,0,AHRS not healthy
101,9,0,0,1,0,0,0,400,0,0,AHRS not healthy
102,9,0,0,1,0,0,1,0,0,0,AHRS not healthy
103,9,0,0,1,0,0,1,400,0,0,AHRS not healthy
104,9,0,1,0,1,1,0,0,0,0,Land mode not armable
105,9,0,1,0,1,1,0,400,0,0,Land mode not armable
106,9,0,1,0,1,1,1,0,0,0,Land mode not armable
107,9,0,1,0,1,1,1,400,0,0,Land mode not armable
108,9,0,1,1,0,0,0,0,0,0,Land mode not armable
109,9,0,1,1,0,0,0,400,0,0,Land mode not armable
110,9,0,1,1,0,0,1,0,0,0,Land mode not armable
111,9,0,1,1,0,0,1,400,0,0,Land mode not armable
112,9,1,0,0,1,1,0,0,0,0,AHRS not healthy
113,9,1,0,0,1,1,0,400,0,0,AHRS not healthy
114,9,1,0,0,1,1,1,0,0,0,AHRS not healthy
115,9,1,0,0,1,1,1,400,0,0,AHRS not healthy
116,9,1,0,1,0,0,0,0,0,0,AHRS not healthy
117,9,1,0,1,0,0,0,400,0,0,AHRS not healthy
118,9,1,0,1,0,0,1,0,0,0,AHRS not healthy
119,9,1,0,1,0,0,1,400,0,0,AHRS not healthy
120,9,1,1,0,1,1,0,0,0,0,Land mode not armable
121,9,1,1,0,1,1,0,400,0,0,Land mode not armable
122,9,1,1,0,1,1,1,0,0,0,Land mode not armable
123,9,1,1,0,1,1,1,400,0,0,Land mode not armable
124,9,1,1,1,0,0,0,0,0,0,Land mode not armable
125,9,1,1,1,0,0,0,400,0,0,Land mode not armable
126,9,1,1,1,0,0,1,0,0,0,Land mode not armable
127,9,1,1,1,0,0,1,400,0,0,Land mode not armable
128,9,4,0,0,1,1,0,0,0,0,AHRS not healthy
129,9,4,0,0,1,1,0,400,0,0,AHRS not healthy
130,9,4,0,0,1,1,1,0,0,0,AHRS not healthy
131,9,4,0,0,1,1,1,400,0,0,AHRS not healthy
132,9,4,0,1,0,0,0,0,0,0,AHRS not healthy
133,9,4,0,1,0,0,0,400,0,0,AHRS not healthy
134,9,4,0,1,0,0,1,0,0,0,AHRS not healthy
135,9,4,0,1,0,0,1,400,0,0,AHRS not healthy
136,9,4,1,0,1,1,0,0,0,0,Land mode not armable
137,9,4,1,0,1,1,0,400,0,0,Land mode not armable
138,9,4,1,0,1,1,1,0,0,0,Land mode not armable
139,9,4,1,0,1,1,1,400,0,0,Land mode not armable
140,9,4,1,1,0,0,0,0,0,0,Land mode not armable
141,9,4,1,1,0,0,0,400,0,0,Land mode not armable
142,9,4,1,1,0,0,1,0,0,0,Land mode not armable
143,9,4,1,1,0,0,1,400,0,0,Land mode not armable
