#rc_failsafe
idx,rc_check_enabled,fs_thr,had_receiver,had_override,radio_in,fs_thr_value,passed,reason
0,0,0,0,0,0,975,1,-
1,0,0,0,0,0,1100,1,-
2,0,0,0,0,900,975,1,-
3,0,0,0,0,900,1100,1,-
4,0,0,0,0,975,975,1,-
5,0,0,0,0,975,1100,1,-
6,0,0,0,0,1000,975,1,-
7,0,0,0,0,1000,1100,1,-
8,0,0,0,0,1500,975,1,-
9,0,0,0,0,1500,1100,1,-
10,0,0,0,1,0,975,1,-
11,0,0,0,1,0,1100,1,-
12,0,0,0,1,900,975,1,-
13,0,0,0,1,900,1100,1,-
14,0,0,0,1,975,975,1,-
15,0,0,0,1,975,1100,1,-
16,0,0,0,1,1000,975,1,-
17,0,0,0,1,1000,1100,1,-
18,0,0,0,1,1500,975,1,-
19,0,0,0,1,1500,1100,1,-
20,0,0,1,0,0,975,1,-
21,0,0,1,0,0,1100,1,-
22,0,0,1,0,900,975,1,-
23,0,0,1,0,900,1100,1,-
24,0,0,1,0,975,975,1,-
25,0,0,1,0,975,1100,1,-
26,0,0,1,0,1000,975,1,-
27,0,0,1,0,1000,1100,1,-
28,0,0,1,0,1500,975,1,-
29,0,0,1,0,1500,1100,1,-
30,0,0,1,1,0,975,1,-
31,0,0,1,1,0,1100,1,-
32,0,0,1,1,900,975,1,-
33,0,0,1,1,900,1100,1,-
34,0,0,1,1,975,975,1,-
35,0,0,1,1,975,1100,1,-
36,0,0,1,1,1000,975,1,-
37,0,0,1,1,1000,1100,1,-
38,0,0,1,1,1500,975,1,-
39,0,0,1,1,1500,1100,1,-
40,0,1,0,0,0,975,1,-
41,0,1,0,0,0,1100,1,-
42,0,1,0,0,900,975,1,-
43,0,1,0,0,900,1100,1,-
44,0,1,0,0,975,975,1,-
45,0,1,0,0,975,1100,1,-
46,0,1,0,0,1000,975,1,-
47,0,1,0,0,1000,1100,1,-
48,0,1,0,0,1500,975,1,-
49,0,1,0,0,1500,1100,1,-
50,0,1,0,1,0,975,1,-
51,0,1,0,1,0,1100,1,-
52,0,1,0,1,900,975,1,-
53,0,1,0,1,900,1100,1,-
54,0,1,0,1,975,975,1,-
55,0,1,0,1,975,1100,1,-
56,0,1,0,1,1000,975,1,-
57,0,1,0,1,1000,1100,1,-
58,0,1,0,1,1500,975,1,-
59,0,1,0,1,1500,1100,1,-
60,0,1,1,0,0,975,1,-
61,0,1,1,0,0,1100,1,-
62,0,1,1,0,900,975,1,-
63,0,1,1,0,900,1100,1,-
64,0,1,1,0,975,975,1,-
65,0,1,1,0,975,1100,1,-
66,0,1,1,0,1000,975,1,-
67,0,1,1,0,1000,1100,1,-
68,0,1,1,0,1500,975,1,-
69,0,1,1,0,1500,1100,1,-
