#heading_mode
mode,mode_after,heading_mode,wp_yaw_behavior
0,0,2,0
1,1,1,0
2,2,1,0
3,3,1,0
4,4,1,0
5,5,1,0
6,6,1,0
7,7,2,0
8,8,1,0
9,0,2,0
10,0,2,0
#fixed_slew
idx,angle_in,offset_in,slew_rads,dt_ms,angle_out,offset_out
0,1048576000,0,0,0,1048576000,0
1,1048576000,0,0,20,1048576000,0
2,1048576000,0,0,250,1048576000,0
3,1048576000,0,1036831949,0,1048576000,0
4,1048576000,0,1036831949,20,1048576000,0
5,1048576000,0,1036831949,250,1048576000,0
6,1048576000,0,1073741824,0,1048576000,0
7,1048576000,0,1073741824,20,1048576000,0
8,1048576000,0,1073741824,250,1048576000,0
9,1048576000,1028443341,0,0,1048576000,1028443341
10,1048576000,1028443341,0,20,1048576000,1028443341
11,1048576000,1028443341,0,250,1048576000,1028443341
12,1048576000,1028443341,1036831949,0,1048576000,1028443341
13,1048576000,1028443341,1036831949,20,1048643109,1027906470
14,1048576000,1028443341,1036831949,250,1049414861,1020054733
15,1048576000,1028443341,1073741824,0,1048576000,1028443341
16,1048576000,1028443341,1073741824,20,1049918177,1008981768
17,1048576000,1028443341,1073741824,250,1050253722,0
18,1048576000,3175926989,0,0,1048576000,3175926989
19,1048576000,3175926989,0,20,1048576000,3175926989
20,1048576000,3175926989,0,250,1048576000,3175926989
21,1048576000,3175926989,1036831949,0,1048576000,3175926989
22,1048576000,3175926989,1036831949,20,1048441782,3175390118
23,1048576000,3175926989,1036831949,250,1046898278,3167538381
24,1048576000,3175926989,1073741824,0,1048576000,3175926989
25,1048576000,3175926989,1073741824,20,1045891645,3156465416
26,1048576000,3175926989,1073741824,250,1045220557,0
27,1048576000,1069547520,0,0,1048576000,1069547520
28,1048576000,1069547520,0,20,1048576000,1069547520
29,1048576000,1069547520,0,250,1048576000,1069547520
30,1048576000,1069547520,1036831949,0,1048576000,1069547520
31,1048576000,1069547520,1036831949,20,1048643109,1069530743
32,1048576000,1069547520,1036831949,250,1049414861,1069337805
33,1048576000,1069547520,1073741824,0,1048576000,1069547520
34,1048576000,1069547520,1073741824,20,1049918177,1069211976
35,1048576000,1069547520,1073741824,250,1061158912,1065353216
36,1048576000,3217031168,0,0,1048576000,3217031168
37,1048576000,3217031168,0,20,1048576000,3217031168
38,1048576000,3217031168,0,250,1048576000,3217031168
39,1048576000,3217031168,1036831949,0,1048576000,3217031168
40,1048576000,3217031168,1036831949,20,1048441782,3217014391
41,1048576000,3217031168,1036831949,250,1046898278,3216821453
42,1048576000,3217031168,1073741824,0,1048576000,3217031168
43,1048576000,3217031168,1073741824,20,1045891645,3216695624
44,1048576000,3217031168,1073741824,250,3196059648,3212836864
#angle_rate
idx,angle_in,rate_in,dt_ms,angle_out
0,3204448256,0,0,3204448256
1,3204448256,0,20,3204448256
2,3204448256,0,250,3204448256
3,3204448256,1051931443,0,3204448256
4,3204448256,1051931443,20,3204213375
5,3204448256,1051931443,250,3201512243
6,3204448256,3199415091,0,3204448256
7,3204448256,3199415091,20,3204565697
8,3204448256,3199415091,250,3205916262
9,3204448256,1077936128,0,3204448256
10,3204448256,1077936128,20,3202434990
11,3204448256,1077936128,250,1048576000
