#fixed_yaw
idx,angle,current,direction,relative,mode_before,slew_req,slew_max,offset_out,slew_out,angle_out
0,0,0,-1,0,2,3212836864,1065749138,0,1065749138,0
1,0,0,-1,0,2,0,1065749138,0,1065749138,0
2,0,0,-1,0,2,1028443341,1065749138,0,1028443341,0
3,0,0,-1,0,2,1120403456,1065749138,0,1065749138,0
4,0,0,-1,1,2,3212836864,1065749138,2147483648,1065749138,0
5,0,0,-1,1,2,0,1065749138,2147483648,1065749138,0
6,0,0,-1,1,2,1028443341,1065749138,2147483648,1028443341,0
7,0,0,-1,1,2,1120403456,1065749138,2147483648,1065749138,0
8,0,0,0,0,2,3212836864,1065749138,0,1065749138,0
9,0,0,0,0,2,0,1065749138,0,1065749138,0
10,0,0,0,0,2,1028443341,1065749138,0,1028443341,0
11,0,0,0,0,2,1120403456,1065749138,0,1065749138,0
12,0,0,0,1,2,3212836864,1065749138,0,1065749138,0
13,0,0,0,1,2,0,1065749138,0,1065749138,0
14,0,0,0,1,2,1028443341,1065749138,0,1028443341,0
15,0,0,0,1,2,1120403456,1065749138,0,1065749138,0
16,0,0,1,0,2,3212836864,1065749138,0,1065749138,0
17,0,0,1,0,2,0,1065749138,0,1065749138,0
18,0,0,1,0,2,1028443341,1065749138,0,1028443341,0
19,0,0,1,0,2,1120403456,1065749138,0,1065749138,0
20,0,0,1,1,2,3212836864,1065749138,0,1065749138,0
21,0,0,1,1,2,0,1065749138,0,1065749138,0
22,0,0,1,1,2,1028443341,1065749138,0,1028443341,0
23,0,0,1,1,2,1120403456,1065749138,0,1065749138,0
24,0,1069547520,-1,0,2,3212836864,1065749138,3217031168,1065749138,1069547520
25,0,1069547520,-1,0,2,0,1065749138,3217031168,1065749138,1069547520
26,0,1069547520,-1,0,2,1028443341,1065749138,3217031168,1028443341,1069547520
27,0,1069547520,-1,0,2,1120403456,1065749138,3217031168,1065749138,1069547520
28,0,1069547520,-1,1,2,3212836864,1065749138,2147483648,1065749138,1069547520
29,0,1069547520,-1,1,2,0,1065749138,2147483648,1065749138,1069547520
30,0,1069547520,-1,1,2,1028443341,1065749138,2147483648,1028443341,1069547520
31,0,1069547520,-1,1,2,1120403456,1065749138,2147483648,1065749138,1069547520
32,0,1069547520,0,0,2,3212836864,1065749138,3217031168,1065749138,1069547520
33,0,1069547520,0,0,2,0,1065749138,3217031168,1065749138,1069547520
34,0,1069547520,0,0,2,1028443341,1065749138,3217031168,1028443341,1069547520
35,0,1069547520,0,0,2,1120403456,1065749138,3217031168,1065749138,1069547520
36,0,1069547520,0,1,2,3212836864,1065749138,0,1065749138,1069547520
37,0,1069547520,0,1,2,0,1065749138,0,1065749138,1069547520
38,0,1069547520,0,1,2,1028443341,1065749138,0,1028443341,1069547520
39,0,1069547520,0,1,2,1120403456,1065749138,0,1065749138,1069547520
40,0,1069547520,1,0,2,3212836864,1065749138,1083772891,1065749138,1069547520
41,0,1069547520,1,0,2,0,1065749138,1083772891,1065749138,1069547520
42,0,1069547520,1,0,2,1028443341,1065749138,1083772891,1028443341,1069547520
43,0,1069547520,1,0,2,1120403456,1065749138,1083772891,1065749138,1069547520
44,0,1069547520,1,1,2,3212836864,1065749138,0,1065749138,1069547520
45,0,1069547520,1,1,2,0,1065749138,0,1065749138,1069547520
46,0,1069547520,1,1,2,1028443341,1065749138,0,1028443341,1069547520
47,0,1069547520,1,1,2,1120403456,1065749138,0,1065749138,1069547520
48,0,3223322624,-1,0,2,3212836864,1065749138,3228704694,1065749138,3223322624
49,0,3223322624,-1,0,2,0,1065749138,3228704694,1065749138,3223322624
50,0,3223322624,-1,0,2,1028443341,1065749138,3228704694,1028443341,3223322624
51,0,3223322624,-1,0,2,1120403456,1065749138,3228704694,1065749138,3223322624
52,0,3223322624,-1,1,2,3212836864,1065749138,2147483648,1065749138,3223322624
53,0,3223322624,-1,1,2,0,1065749138,2147483648,1065749138,3223322624
54,0,3223322624,-1,1,2,1028443341,1065749138,2147483648,1028443341,3223322624
55,0,3223322624,-1,1,2,1120403456,1065749138,2147483648,1065749138,3223322624
56,0,3223322624,0,0,2,3212836864,1065749138,1075838976,1065749138,3223322624
57,0,3223322624,0,0,2,0,1065749138,1075838976,1065749138,3223322624
58,0,3223322624,0,0,2,1028443341,1065749138,1075838976,1028443341,3223322624
59,0,3223322624,0,0,2,1120403456,1065749138,1075838976,1065749138,3223322624
60,0,3223322624,0,1,2,3212836864,1065749138,0,1065749138,3223322624
61,0,3223322624,0,1,2,0,1065749138,0,1065749138,3223322624
62,0,3223322624,0,1,2,1028443341,1065749138,0,1028443341,3223322624
63,0,3223322624,0,1,2,1120403456,1065749138,0,1065749138,3223322624
64,0,3223322624,1,0,2,3212836864,1065749138,1075838976,1065749138,3223322624
65,0,3223322624,1,0,2,0,1065749138,1075838976,1065749138,3223322624
66,0,3223322624,1,0,2,1028443341,1065749138,1075838976,1028443341,3223322624
67,0,3223322624,1,0,2,1120403456,1065749138,1075838976,1065749138,3223322624
68,0,3223322624,1,1,2,3212836864,1065749138,0,1065749138,3223322624
69,0,3223322624,1,1,2,0,1065749138,0,1065749138,3223322624
70,0,3223322624,1,1,2,1028443341,1065749138,0,1028443341,3223322624
71,0,3223322624,1,1,2,1120403456,1065749138,0,1065749138,3223322624
72,1056964608,0,-1,0,2,3212836864,1065749138,3233353691,1065749138,0
73,1056964608,0,-1,0,2,0,1065749138,3233353691,1065749138,0
74,1056964608,0,-1,0,2,1028443341,1065749138,3233353691,1028443341,0
75,1056964608,0,-1,0,2,1120403456,1065749138,3233353691,1065749138,0
76,1056964608,0,-1,1,2,3212836864,1065749138,3204448256,1065749138,0
77,1056964608,0,-1,1,2,0,1065749138,3204448256,1065749138,0
78,1056964608,0,-1,1,2,1028443341,1065749138,3204448256,1028443341,0
