#position
idx,mode,requires_position,require_location,position_ok,ahrs_ok,glitching,thresh_tenths,var_index,passed,calls,first
0,0,0,0,0,0,0,0,0,0,1,AHRS: EKF3 not started
1,0,0,0,0,0,0,0,1,0,1,AHRS: EKF3 not started
2,0,0,0,0,0,0,0,2,0,1,AHRS: EKF3 not started
3,0,0,0,0,0,0,0,3,0,1,AHRS: EKF3 not started
4,0,0,0,0,0,0,0,4,0,1,AHRS: EKF3 not started
5,0,0,0,0,0,1,0,0,0,1,AHRS: EKF3 not started
6,0,0,0,0,0,1,0,1,0,1,AHRS: EKF3 not started
7,0,0,0,0,0,1,0,2,0,1,AHRS: EKF3 not started
8,0,0,0,0,0,1,0,3,0,1,AHRS: EKF3 not started
9,0,0,0,0,0,1,0,4,0,1,AHRS: EKF3 not started
10,0,0,0,0,1,0,0,0,1,0,-
11,0,0,0,0,1,0,0,1,1,0,-
12,0,0,0,0,1,0,0,2,1,0,-
13,0,0,0,0,1,0,0,3,1,0,-
14,0,0,0,0,1,0,0,4,1,0,-
15,0,0,0,0,1,1,0,0,1,0,-
16,0,0,0,0,1,1,0,1,1,0,-
17,0,0,0,0,1,1,0,2,1,0,-
18,0,0,0,0,1,1,0,3,1,0,-
19,0,0,0,0,1,1,0,4,1,0,-
20,0,0,0,0,0,0,8,0,0,1,AHRS: EKF3 not started
21,0,0,0,0,0,0,8,1,0,1,AHRS: EKF3 not started
22,0,0,0,0,0,0,8,2,0,1,AHRS: EKF3 not started
23,0,0,0,0,0,0,8,3,0,1,AHRS: EKF3 not started
24,0,0,0,0,0,0,8,4,0,1,AHRS: EKF3 not started
25,0,0,0,0,0,1,8,0,0,1,AHRS: EKF3 not started
26,0,0,0,0,0,1,8,1,0,1,AHRS: EKF3 not started
27,0,0,0,0,0,1,8,2,0,1,AHRS: EKF3 not started
28,0,0,0,0,0,1,8,3,0,1,AHRS: EKF3 not started
29,0,0,0,0,0,1,8,4,0,1,AHRS: EKF3 not started
30,0,0,0,0,1,0,8,0,1,0,-
31,0,0,0,0,1,0,8,1,1,0,-
32,0,0,0,0,1,0,8,2,1,0,-
33,0,0,0,0,1,0,8,3,1,0,-
34,0,0,0,0,1,0,8,4,1,0,-
35,0,0,0,0,1,1,8,0,1,0,-
36,0,0,0,0,1,1,8,1,1,0,-
37,0,0,0,0,1,1,8,2,1,0,-
38,0,0,0,0,1,1,8,3,1,0,-
