#rc_calibration
idx,enabled,roll_min,roll_max,pitch_min,pitch_max,throttle_min,throttle_max,yaw_min,yaw_max,passed,calls,first
0,0,1000,2000,1000,2000,1000,2000,1000,2000,1,0,-
1,0,1000,2000,1000,2000,1000,1700,1000,2000,1,0,-
2,0,1000,2000,1000,2000,1000,1699,1000,2000,1,0,-
3,0,1000,2000,1300,2000,1000,2000,1000,2000,1,0,-
4,0,1000,2000,1300,2000,1000,1700,1000,2000,1,0,-
5,0,1000,2000,1300,2000,1000,1699,1000,2000,1,0,-
6,0,1000,2000,1301,2000,1000,2000,1000,2000,1,0,-
7,0,1000,2000,1301,2000,1000,1700,1000,2000,1,0,-
8,0,1000,2000,1301,2000,1000,1699,1000,2000,1,0,-
9,0,1000,1700,1000,2000,1000,2000,1000,2000,1,0,-
10,0,1000,1700,1000,2000,1000,1700,1000,2000,1,0,-
11,0,1000,1700,1000,2000,1000,1699,1000,2000,1,0,-
12,0,1000,1700,1300,2000,1000,2000,1000,2000,1,0,-
13,0,1000,1700,1300,2000,1000,1700,1000,2000,1,0,-
14,0,1000,1700,1300,2000,1000,1699,1000,2000,1,0,-
15,0,1000,1700,1301,2000,1000,2000,1000,2000,1,0,-
16,0,1000,1700,1301,2000,1000,1700,1000,2000,1,0,-
17,0,1000,1700,1301,2000,1000,1699,1000,2000,1,0,-
18,0,1000,1699,1000,2000,1000,2000,1000,2000,1,0,-
19,0,1000,1699,1000,2000,1000,1700,1000,2000,1,0,-
20,0,1000,1699,1000,2000,1000,1699,1000,2000,1,0,-
21,0,1000,1699,1300,2000,1000,2000,1000,2000,1,0,-
22,0,1000,1699,1300,2000,1000,1700,1000,2000,1,0,-
23,0,1000,1699,1300,2000,1000,1699,1000,2000,1,0,-
24,0,1000,1699,1301,2000,1000,2000,1000,2000,1,0,-
25,0,1000,1699,1301,2000,1000,1700,1000,2000,1,0,-
26,0,1000,1699,1301,2000,1000,1699,1000,2000,1,0,-
27,0,1300,2000,1000,2000,1000,2000,1000,2000,1,0,-
28,0,1300,2000,1000,2000,1000,1700,1000,2000,1,0,-
29,0,1300,2000,1000,2000,1000,1699,1000,2000,1,0,-
30,0,1300,2000,1300,2000,1000,2000,1000,2000,1,0,-
31,0,1300,2000,1300,2000,1000,1700,1000,2000,1,0,-
32,0,1300,2000,1300,2000,1000,1699,1000,2000,1,0,-
33,0,1300,2000,1301,2000,1000,2000,1000,2000,1,0,-
