#buffers
name,hex
empty,
check,313233343536373839
allbytes,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f404142434445464748494a4b4c4d4e4f505152535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f808182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1c2c3c4c5c6c7c8c9cacbcccdcecfd0d1d2d3d4d5d6d7d8d9dadbdcdddedfe0e1e2e3e4e5e6e7e8e9eaebecedeeeff0f1f2f3f4f5f6f7f8f9fafbfcfdfeff
pseudo,dc0465aa1fad1d5adae5ac1b1e5f1370796cfd10ff19af601d04acb41d022b4678733af2df5faeb70859d1ee3910cb4895b5cc892911ff06b6622edf3cf935fd
#cases
fn,buf,seed,seed2,out
crc_crc8,empty,,,0
crc_sum8_with_carry,empty,,,255
crc8_maxim,empty,,,0
crc8_sae,empty,,,0
crc8_rds02uf,empty,,,0
crc_xor_of_bytes,empty,,,0
crc_xmodem,empty,,,0
calc_crc_modbus,empty,,,65535
crc_fletcher16,empty,,,0
crc_crc24,empty,,,0
crc_sum_of_bytes,empty,,,0
crc_sum_of_bytes_16,empty,,,0
crc_crc32,empty,0,,0
crc32_small,empty,0,,0
crc_crc32,empty,4294967295,,4294967295
crc32_small,empty,4294967295,,4294967295
crc_crc32,empty,305419896,,305419896
crc32_small,empty,305419896,,305419896
crc16_ccitt,empty,0,,0
crc16_ccitt_GDL90,empty,0,,0
crc16_ccitt_r,empty,0,,65535
crc_crc16_ibm,empty,0,,0
crc16_ccitt,empty,65535,,65535
crc16_ccitt_GDL90,empty,65535,,65535
crc16_ccitt_r,empty,65535,,0
crc_crc16_ibm,empty,65535,,65535
crc16_ccitt,empty,4660,,4660
crc16_ccitt_GDL90,empty,4660,,4660
crc16_ccitt_r,empty,4660,,60875
crc_crc16_ibm,empty,4660,,4660
crc8_dvb_s2_update,empty,0,,0
crc8_dvb_update,empty,0,,0
crc8_generic_07,empty,0,,0
crc8_generic_d5,empty,0,,0
crc8_dvb_s2_update,empty,255,,255
crc8_dvb_update,empty,255,,255
crc8_generic_07,empty,255,,255
crc8_generic_d5,empty,255,,255
crc8_dvb_s2_update,empty,90,,90
crc8_dvb_update,empty,90,,90
crc8_generic_07,empty,90,,90
crc8_generic_d5,empty,90,,90
hash_fnv_1a,empty,,,14695981039346656037
crc_crc8,check,,,244
crc_sum8_with_carry,check,,,33
crc8_maxim,check,,,161
crc8_sae,check,,,75
crc8_rds02uf,check,,,7
crc_xor_of_bytes,check,,,49
crc_xmodem,check,,,12739
calc_crc_modbus,check,,,19255
crc_fletcher16,check,,,7902
crc_crc24,check,,,13494019
crc_sum_of_bytes,check,,,221
crc_sum_of_bytes_16,check,,,477
crc_crc32,check,0,,771566984
crc32_small,check,0,,771566984
crc_crc32,check,4294967295,,873187033
crc32_small,check,4294967295,,873187033
crc_crc32,check,305419896,,3892155605
crc32_small,check,305419896,,3892155605
crc16_ccitt,check,0,,12739
crc16_ccitt_GDL90,check,0,,48879
crc16_ccitt_r,check,0,,56950
crc_crc16_ibm,check,0,,65256
crc16_ccitt,check,65535,,10673
crc16_ccitt_GDL90,check,65535,,42653
crc16_ccitt_r,check,65535,,36974
crc_crc16_ibm,check,65535,,44775
crc16_ccitt,check,4660,,60907
crc16_ccitt_GDL90,check,4660,,25287
crc16_ccitt_r,check,4660,,47401
crc_crc16_ibm,check,4660,,54426
crc8_dvb_s2_update,check,0,,188
crc8_dvb_update,check,0,,244
crc8_generic_07,check,0,,244
crc8_generic_d5,check,0,,188
crc8_dvb_s2_update,check,255,,124
crc8_dvb_update,check,255,,251
crc8_generic_07,check,255,,251
crc8_generic_d5,check,255,,124
crc8_dvb_s2_update,check,90,,167
crc8_dvb_update,check,90,,88
crc8_generic_07,check,90,,88
crc8_generic_d5,check,90,,167
hash_fnv_1a,check,,,492395637191921148
crc8_maxim,allbytes,,,24
crc8_sae,allbytes,,,5
crc8_rds02uf,allbytes,,,55
crc_xor_of_bytes,allbytes,,,0
crc_xmodem,allbytes,,,32341
calc_crc_modbus,allbytes,,,56940
crc_fletcher16,allbytes,,,21760
crc_crc24,allbytes,,,13980831
crc_sum_of_bytes,allbytes,,,128
crc_sum_of_bytes_16,allbytes,,,32640
crc_crc32,allbytes,0,,613615915
crc32_small,allbytes,0,,613615915
crc_crc32,allbytes,4294967295,,3606737804
crc32_small,allbytes,4294967295,,3606737804
crc_crc32,allbytes,305419896,,2298928341
crc32_small,allbytes,305419896,,2298928341
crc16_ccitt,allbytes,0,,32341
crc16_ccitt_GDL90,allbytes,0,,13308
crc16_ccitt_r,allbytes,0,,10174
crc_crc16_ibm,allbytes,0,,15226
crc16_ccitt,allbytes,65535,,16317
crc16_ccitt_GDL90,allbytes,65535,,29204
crc16_ccitt_r,allbytes,65535,,12348
crc_crc16_ibm,allbytes,65535,,50780
crc16_ccitt,allbytes,4660,,32965
crc16_ccitt_GDL90,allbytes,4660,,52588
crc16_ccitt_r,allbytes,4660,,4921
crc_crc16_ibm,allbytes,4660,,58499
crc8_dvb_s2_update,allbytes,0,,202
crc8_dvb_update,allbytes,0,,20
crc8_generic_07,allbytes,0,,20
crc8_generic_d5,allbytes,0,,202
crc8_dvb_s2_update,allbytes,255,,156
crc8_dvb_update,allbytes,255,,195
crc8_generic_07,allbytes,255,,195
crc8_generic_d5,allbytes,255,,156
crc8_dvb_s2_update,allbytes,90,,119
crc8_dvb_update,allbytes,90,,154
crc8_generic_07,allbytes,90,,154
crc8_generic_d5,allbytes,90,,119
