#derivative
scenario,size,step,sample,timestamp,slope
line,5,0,0,0,0
line,7,0,0,0,0
line,9,0,0,0,0
line,11,0,0,0,0
line,5,1,1073741824,1000,0
line,7,1,1073741824,1000,0
line,9,1,1073741824,1000,0
line,11,1,1073741824,1000,0
line,5,2,1082130432,2000,0
line,7,2,1082130432,2000,0
line,9,2,1082130432,2000,0
line,11,2,1082130432,2000,0
line,5,3,1086324736,3000,0
line,7,3,1086324736,3000,0
line,9,3,1086324736,3000,0
line,11,3,1086324736,3000,0
line,5,4,1090519040,4000,990057071
line,7,4,1090519040,4000,0
line,9,4,1090519040,4000,0
line,11,4,1090519040,4000,0
line,5,5,1092616192,5000,990057071
line,7,5,1092616192,5000,0
line,9,5,1092616192,5000,0
line,11,5,1092616192,5000,0
line,5,6,1094713344,6000,990057071
line,7,6,1094713344,6000,990057071
line,9,6,1094713344,6000,0
line,11,6,1094713344,6000,0
line,5,7,1096810496,7000,990057071
line,7,7,1096810496,7000,990057071
line,9,7,1096810496,7000,0
line,11,7,1096810496,7000,0
line,5,8,1098907648,8000,990057071
line,7,8,1098907648,8000,990057071
line,9,8,1098907648,8000,990057071
line,11,8,1098907648,8000,0
line,5,9,1099956224,9000,990057071
line,7,9,1099956224,9000,990057071
line,9,9,1099956224,9000,990057071
line,11,9,1099956224,9000,0
line,5,10,1101004800,10000,990057071
line,7,10,1101004800,10000,990057071
line,9,10,1101004800,10000,990057071
line,11,10,1101004800,10000,990057070
line,5,11,1102053376,11000,990057071
line,7,11,1102053376,11000,990057071
line,9,11,1102053376,11000,990057071
line,11,11,1102053376,11000,990057070
line,5,12,1103101952,12000,990057071
line,7,12,1103101952,12000,990057071
line,9,12,1103101952,12000,990057071
line,11,12,1103101952,12000,990057070
line,5,13,1104150528,13000,990057071
line,7,13,1104150528,13000,990057071
line,9,13,1104150528,13000,990057071
line,11,13,1104150528,13000,990057070
line,5,14,1105199104,14000,990057071
line,7,14,1105199104,14000,990057071
line,9,14,1105199104,14000,990057071
line,11,14,1105199104,14000,990057070
line,5,15,1106247680,15000,990057071
line,7,15,1106247680,15000,990057071
line,9,15,1106247680,15000,990057071
line,11,15,1106247680,15000,990057070
line,5,16,1107296256,16000,990057071
line,7,16,1107296256,16000,990057071
line,9,16,1107296256,16000,990057071
line,11,16,1107296256,16000,990057070
line,5,17,1107820544,17000,990057071
line,7,17,1107820544,17000,990057071
line,9,17,1107820544,17000,990057071
line,11,17,1107820544,17000,990057070
line,5,18,1108344832,18000,990057071
line,7,18,1108344832,18000,990057071
line,9,18,1108344832,18000,990057071
line,11,18,1108344832,18000,990057070
line,5,19,1108869120,19000,990057071
line,7,19,1108869120,19000,990057071
line,9,19,1108869120,19000,990057071
line,11,19,1108869120,19000,990057070
line,5,20,1109393408,20000,990057071
line,7,20,1109393408,20000,990057071
line,9,20,1109393408,20000,990057071
line,11,20,1109393408,20000,990057070
line,5,21,1109917696,21000,990057071
line,7,21,1109917696,21000,990057071
line,9,21,1109917696,21000,990057071
line,11,21,1109917696,21000,990057070
line,5,22,1110441984,22000,990057071
line,7,22,1110441984,22000,990057071
line,9,22,1110441984,22000,990057071
line,11,22,1110441984,22000,990057070
line,5,23,1110966272,23000,990057071
line,7,23,1110966272,23000,990057071
line,9,23,1110966272,23000,990057071
line,11,23,1110966272,23000,990057070
line,5,24,1111490560,24000,990057071
line,7,24,1111490560,24000,990057071
line,9,24,1111490560,24000,990057071
line,11,24,1111490560,24000,990057070
line,5,25,1112014848,25000,990057071
line,7,25,1112014848,25000,990057071
line,9,25,1112014848,25000,990057071
line,11,25,1112014848,25000,990057070
line,5,26,1112539136,26000,990057071
line,7,26,1112539136,26000,990057071
line,9,26,1112539136,26000,990057071
line,11,26,1112539136,26000,990057070
line,5,27,1113063424,27000,990057071
line,7,27,1113063424,27000,990057071
line,9,27,1113063424,27000,990057071
line,11,27,1113063424,27000,990057070
line,5,28,1113587712,28000,990057071
line,7,28,1113587712,28000,990057071
line,9,28,1113587712,28000,990057071
line,11,28,1113587712,28000,990057070
line,5,29,1114112000,29000,990057071
line,7,29,1114112000,29000,990057071
line,9,29,1114112000,29000,990057071
line,11,29,1114112000,29000,990057070
line,5,30,1114636288,30000,990057071
line,7,30,1114636288,30000,990057071
line,9,30,1114636288,30000,990057071
line,11,30,1114636288,30000,990057070
line,5,31,1115160576,31000,990057071
line,7,31,1115160576,31000,990057071
line,9,31,1115160576,31000,990057071
line,11,31,1115160576,31000,990057070
line,5,32,1115684864,32000,990057071
line,7,32,1115684864,32000,990057071
line,9,32,1115684864,32000,990057071
line,11,32,1115684864,32000,990057070
line,5,33,1115947008,33000,990057071
line,7,33,1115947008,33000,990057071
line,9,33,1115947008,33000,990057071
line,11,33,1115947008,33000,990057070
line,5,34,1116209152,34000,990057071
line,7,34,1116209152,34000,990057071
line,9,34,1116209152,34000,990057071
line,11,34,1116209152,34000,990057070
line,5,35,1116471296,35000,990057071
line,7,35,1116471296,35000,990057071
line,9,35,1116471296,35000,990057071
line,11,35,1116471296,35000,990057070
line,5,36,1116733440,36000,990057071
line,7,36,1116733440,36000,990057071
line,9,36,1116733440,36000,990057071
line,11,36,1116733440,36000,990057070
line,5,37,1116995584,37000,990057071
line,7,37,1116995584,37000,990057071
line,9,37,1116995584,37000,990057071
line,11,37,1116995584,37000,990057070
line,5,38,1117257728,38000,990057071
line,7,38,1117257728,38000,990057071
line,9,38,1117257728,38000,990057071
line,11,38,1117257728,38000,990057070
line,5,39,1117519872,39000,990057071
line,7,39,1117519872,39000,990057071
line,9,39,1117519872,39000,990057071
line,11,39,1117519872,39000,990057070
irregular,5,0,1157234688,1000,0
irregular,7,0,1157234688,1000,0
irregular,9,0,1157234688,1000,0
irregular,11,0,1157234688,1000,0
irregular,5,1,1171963904,3500,0
irregular,7,1,1171963904,3500,0
irregular,9,1,1171963904,3500,0
irregular,11,1,1171963904,3500,0
irregular,5,2,1174618112,4200,0
irregular,7,2,1174618112,4200,0
irregular,9,2,1174618112,4200,0
irregular,11,2,1174618112,4200,0
irregular,5,3,1178304512,6000,1073741824
irregular,7,3,1178304512,6000,0
irregular,9,3,1178304512,6000,0
irregular,11,3,1178304512,6000,0
irregular,5,4,1180147712,6900,1073741824
irregular,7,4,1180147712,6900,0
irregular,9,4,1180147712,6900,0
irregular,11,4,1180147712,6900,0
irregular,5,5,1184542720,9900,1073741824
irregular,7,5,1184542720,9900,1073741824
irregular,9,5,1184542720,9900,0
irregular,11,5,1184542720,9900,0
irregular,5,6,1185771520,11100,1073741824
irregular,7,6,1185771520,11100,1073741824
irregular,9,6,1185771520,11100,0
irregular,11,6,1185771520,11100,0
irregular,5,7,1186795520,12100,1073741824
irregular,7,7,1186795520,12100,1073741824
irregular,9,7,1186795520,12100,1073741824
irregular,11,7,1186795520,12100,0
irregular,5,8,1189355520,14600,1073741824
irregular,7,8,1189355520,14600,1073741824
irregular,9,8,1189355520,14600,1073741824
irregular,11,8,1189355520,14600,0
irregular,5,9,1190072320,15300,1073741824
irregular,7,9,1190072320,15300,1073741824
irregular,9,9,1190072320,15300,1073741824
irregular,11,9,1190072320,15300,1073741824
irregular,5,10,1191548928,17100,1073741824
irregular,7,10,1191548928,17100,1073741824
irregular,9,10,1191548928,17100,1073741824
irregular,11,10,1191548928,17100,1073741824
irregular,5,11,1192009728,18000,1073741824
irregular,7,11,1192009728,18000,1073741824
irregular,9,11,1192009728,18000,1073741824
irregular,11,11,1192009728,18000,1073741824
irregular,5,12,1193545728,21000,1073741824
irregular,7,12,1193545728,21000,1073741824
irregular,9,12,1193545728,21000,1073741824
irregular,11,12,1193545728,21000,1073741824
irregular,5,13,1194160128,22200,1073741824
irregular,7,13,1194160128,22200,1073741824
irregular,9,13,1194160128,22200,1073741824
irregular,11,13,1194160128,22200,1073741824
irregular,5,14,1194672128,23200,1073741824
irregular,7,14,1194672128,23200,1073741824
irregular,9,14,1194672128,23200,1073741824
irregular,11,14,1194672128,23200,1073741824
irregular,5,15,1195952128,25700,1073741824
irregular,7,15,1195952128,25700,1073741824
irregular,9,15,1195952128,25700,1073741824
irregular,11,15,1195952128,25700,1073741824
irregular,5,16,1196310528,26400,1073741824
irregular,7,16,1196310528,26400,1073741824
irregular,9,16,1196310528,26400,1073741824
irregular,11,16,1196310528,26400,1073741824
irregular,5,17,1197232128,28200,1073741824
irregular,7,17,1197232128,28200,1073741824
irregular,9,17,1197232128,28200,1073741824
irregular,11,17,1197232128,28200,1073741824
irregular,5,18,1197692928,29100,1073741824
irregular,7,18,1197692928,29100,1073741824
irregular,9,18,1197692928,29100,1073741824
irregular,11,18,1197692928,29100,1073741824
irregular,5,19,1199228928,32100,1073741824
irregular,7,19,1199228928,32100,1073741824
irregular,9,19,1199228928,32100,1073741824
irregular,11,19,1199228928,32100,1073741824
irregular,5,20,1199707136,33300,1073741824
irregular,7,20,1199707136,33300,1073741824
irregular,9,20,1199707136,33300,1073741824
irregular,11,20,1199707136,33300,1073741824
irregular,5,21,1199963136,34300,1073741824
irregular,7,21,1199963136,34300,1073741824
irregular,9,21,1199963136,34300,1073741824
irregular,11,21,1199963136,34300,1073741824
irregular,5,22,1200603136,36800,1073741824
irregular,7,22,1200603136,36800,1073741824
irregular,9,22,1200603136,36800,1073741824
irregular,11,22,1200603136,36800,1073741824
irregular,5,23,1200782336,37500,1073741824
irregular,7,23,1200782336,37500,1073741824
irregular,9,23,1200782336,37500,1073741824
irregular,11,23,1200782336,37500,1073741824
irregular,5,24,1201243136,39300,1073741824
irregular,7,24,1201243136,39300,1073741824
irregular,9,24,1201243136,39300,1073741824
irregular,11,24,1201243136,39300,1073741824
irregular,5,25,1201473536,40200,1073741824
irregular,7,25,1201473536,40200,1073741824
irregular,9,25,1201473536,40200,1073741824
irregular,11,25,1201473536,40200,1073741824
irregular,5,26,1202241536,43200,1073741824
irregular,7,26,1202241536,43200,1073741824
irregular,9,26,1202241536,43200,1073741824
irregular,11,26,1202241536,43200,1073741824
irregular,5,27,1202548736,44400,1073741824
irregular,7,27,1202548736,44400,1073741824
irregular,9,27,1202548736,44400,1073741824
irregular,11,27,1202548736,44400,1073741824
irregular,5,28,1202804736,45400,1073741824
irregular,7,28,1202804736,45400,1073741824
irregular,9,28,1202804736,45400,1073741824
irregular,11,28,1202804736,45400,1073741824
irregular,5,29,1203444736,47900,1073741824
irregular,7,29,1203444736,47900,1073741824
irregular,9,29,1203444736,47900,1073741824
irregular,11,29,1203444736,47900,1073741824
irregular,5,30,1203623936,48600,1073741824
irregular,7,30,1203623936,48600,1073741824
irregular,9,30,1203623936,48600,1073741824
irregular,11,30,1203623936,48600,1073741824
irregular,5,31,1204084736,50400,1073741824
irregular,7,31,1204084736,50400,1073741824
irregular,9,31,1204084736,50400,1073741824
irregular,11,31,1204084736,50400,1073741824
irregular,5,32,1204315136,51300,1073741824
irregular,7,32,1204315136,51300,1073741824
irregular,9,32,1204315136,51300,1073741824
irregular,11,32,1204315136,51300,1073741824
irregular,5,33,1205083136,54300,1073741824
irregular,7,33,1205083136,54300,1073741824
irregular,9,33,1205083136,54300,1073741824
irregular,11,33,1205083136,54300,1073741824
irregular,5,34,1205390336,55500,1073741824
irregular,7,34,1205390336,55500,1073741824
irregular,9,34,1205390336,55500,1073741824
irregular,11,34,1205390336,55500,1073741824
irregular,5,35,1205646336,56500,1073741824
irregular,7,35,1205646336,56500,1073741824
irregular,9,35,1205646336,56500,1073741824
irregular,11,35,1205646336,56500,1073741824
irregular,5,36,1206286336,59000,1073741824
irregular,7,36,1206286336,59000,1073741824
irregular,9,36,1206286336,59000,1073741824
irregular,11,36,1206286336,59000,1073741824
irregular,5,37,1206465536,59700,1073741824
irregular,7,37,1206465536,59700,1073741824
irregular,9,37,1206465536,59700,1073741824
irregular,11,37,1206465536,59700,1073741824
irregular,5,38,1206926336,61500,1073741824
irregular,7,38,1206926336,61500,1073741824
irregular,9,38,1206926336,61500,1073741824
irregular,11,38,1206926336,61500,1073741824
irregular,5,39,1207156736,62400,1073741824
irregular,7,39,1207156736,62400,1073741824
irregular,9,39,1207156736,62400,1073741824
irregular,11,39,1207156736,62400,1073741824
zigzag,5,0,1065353216,0,0
zigzag,7,0,1065353216,0,0
zigzag,9,0,1065353216,0,0
zigzag,11,0,1065353216,0,0
zigzag,5,1,3204448256,1000,0
zigzag,7,1,3204448256,1000,0
zigzag,9,1,3204448256,1000,0
zigzag,11,1,3204448256,1000,0
zigzag,5,2,1073741824,2000,0
zigzag,7,2,1073741824,2000,0
zigzag,9,2,1073741824,2000,0
zigzag,11,2,1073741824,2000,0
zigzag,5,3,1056964608,3000,0
zigzag,7,3,1056964608,3000,0
zigzag,9,3,1056964608,3000,0
zigzag,11,3,1056964608,3000,0
zigzag,5,4,1077936128,4000,975427338
zigzag,7,4,1077936128,4000,0
zigzag,9,4,1077936128,4000,0
zigzag,11,4,1077936128,4000,0
zigzag,5,5,1069547520,5000,973279855
zigzag,7,5,1069547520,5000,0
zigzag,9,5,1069547520,5000,0
zigzag,11,5,1069547520,5000,0
zigzag,5,6,1082130432,6000,973279855
zigzag,7,6,1082130432,6000,973816726
zigzag,9,6,1082130432,6000,0
zigzag,11,6,1082130432,6000,0
zigzag,5,7,1075838976,7000,973279855
zigzag,7,7,1075838976,7000,973279855
zigzag,9,7,1075838976,7000,0
zigzag,11,7,1075838976,7000,0
zigzag,5,8,1084227584,8000,973279855
zigzag,7,8,1084227584,8000,973279855
zigzag,9,8,1084227584,8000,973414073
zigzag,11,8,1084227584,8000,0
zigzag,5,9,1080033280,9000,973279855
zigzag,7,9,1080033280,9000,973279855
zigzag,9,9,1080033280,9000,973279855
zigzag,11,9,1080033280,9000,0
zigzag,5,10,1086324736,10000,973279855
zigzag,7,10,1086324736,10000,973279855
zigzag,9,10,1086324736,10000,973279855
zigzag,11,10,1086324736,10000,973313409
zigzag,5,11,1083179008,11000,973279855
zigzag,7,11,1083179008,11000,973279855
zigzag,9,11,1083179008,11000,973279855
zigzag,11,11,1083179008,11000,973279854
zigzag,5,12,1088421888,12000,973279855
zigzag,7,12,1088421888,12000,973279855
zigzag,9,12,1088421888,12000,973279855
zigzag,11,12,1088421888,12000,973279854
zigzag,5,13,1085276160,13000,973279855
zigzag,7,13,1085276160,13000,973279855
zigzag,9,13,1085276160,13000,973279855
zigzag,11,13,1085276160,13000,973279854
zigzag,5,14,1090519040,14000,973279855
zigzag,7,14,1090519040,14000,973279855
zigzag,9,14,1090519040,14000,973279855
zigzag,11,14,1090519040,14000,973279854
zigzag,5,15,1087373312,15000,973279855
zigzag,7,15,1087373312,15000,973279855
zigzag,9,15,1087373312,15000,973279855
zigzag,11,15,1087373312,15000,973279854
zigzag,5,16,1091567616,16000,973279855
zigzag,7,16,1091567616,16000,973279855
zigzag,9,16,1091567616,16000,973279855
zigzag,11,16,1091567616,16000,973279854
zigzag,5,17,1089470464,17000,973279855
zigzag,7,17,1089470464,17000,973279855
zigzag,9,17,1089470464,17000,973279855
zigzag,11,17,1089470464,17000,973279854
zigzag,5,18,1092616192,18000,973279855
zigzag,7,18,1092616192,18000,973279855
zigzag,9,18,1092616192,18000,973279855
zigzag,11,18,1092616192,18000,973279854
zigzag,5,19,1091043328,19000,973279855
zigzag,7,19,1091043328,19000,973279855
zigzag,9,19,1091043328,19000,973279855
zigzag,11,19,1091043328,19000,973279854
zigzag,5,20,1093664768,20000,973279855
zigzag,7,20,1093664768,20000,973279855
