#gps_time
kind,a,b,c,d
consts,315964782000,604800000,604800,18000
epoch_ms,0,0,315964782000,0
epoch_ms,0,1,315964782001,0
epoch_ms,1,0,316569582000,0
epoch_ms,1000,0,920764782000,0
epoch_ms,1000,604799999,921369581999,0
epoch_ms,2000,12345,1525564794345,0
epoch_ms,2300,86400000,1707091182000,0
epoch_ms,2380,302400000,1755691182000,0
epoch_ms,32767,0,20133446382000,0
epoch_ms,65535,0,39951532782000,0
epoch_ms,65535,604799999,39952137581999,0
bcd,60180,0,5217,518418000
bcd,10100,0,1042,518418000
bcd,10100,235959999,1043,17999
bcd,290224,123456789,2303,390914789
bcd,280224,123456789,2303,304514789
bcd,10324,0,2303,432018000
bcd,280225,120000000,2355,475218000
bcd,10325,0,2355,518418000
bcd,311225,235959000,2399,345617000
bcd,10126,1,2399,345618001
bcd,150625,73015500,2371,27033500
bcd,10100,86399999,1042,551097999
bcd,280200,235959999,1051,172817999
bcd,290200,0,1051,172818000
bcd,10399,0,6217,18000
bcd,311299,235959999,6260,432017999
