#harmonic
scenario,step,in,out_f,out_x,out_y,out_z
single_h1,0,0,0,0,0,2147483648
single_h1,1,1058799034,1057642702,1057642702,1066031310,3205126350
single_h1,2,1060520607,1057517101,1057517101,1065905709,3205000749
single_h1,3,1053236742,1045947060,1045947060,1054335668,3193430708
single_h1,4,1040347936,1033642580,1033642580,1042031188,3181126228
single_h1,5,1041680553,1047767737,1047767737,1056156345,3195251385
single_h1,6,1042957018,1051283863,1051283863,1059672471,3198767511
single_h1,7,3184012752,1036218366,1036218366,1044606974,3183702014
single_h1,8,3201930206,3193244381,3193244381,3201632989,1045760733
single_h1,9,3198681359,3188687746,3188687746,3197076354,1041204098
single_h1,10,1049375234,1050159092,1050159092,1058547700,3197642740
single_h1,11,1063242891,1059104233,1059104233,1067492841,3206587881
single_h1,12,1064789152,1057260212,1057260212,1065648820,3204743860
single_h1,13,1059169650,1045666966,1045666966,1054055574,3193150614
single_h1,14,1052154547,1042705012,1042705012,1051093620,3190188660
single_h1,15,1052331775,1054969334,1054969334,1063357942,3202452982
single_h1,16,1052439990,1059066899,1059066899,1067455507,3206550547
single_h1,17,1034713420,1054520210,1054520210,1062908818,3202003858
single_h1,18,3196427289,1036906456,1036906456,1045295064,3184390104
single_h1,19,3191565032,1036965460,1036965460,1045354068,3184449108
single_h1,20,1068702041,1068207397,1068207397,1076596005,3215691045
single_h1,21,1073567155,1068982753,1068982753,1077371361,3216466401
single_h1,22,1073952870,1067373914,1067373914,1075762522,3214857562
single_h1,23,1071173794,1065156314,1065156314,1073544922,3212639962
single_h1,24,1068685408,1066050350,1066050350,1074438958,3213533998
single_h1,25,1068544432,1069612528,1069612528,1078001136,3217096176
single_h1,26,1068385320,1071965103,1071965103,1080353711,3219448751
single_h1,27,1065842634,1070445311,1070445311,1078833919,3217928959
single_h1,28,1060171512,1067232277,1067232277,1075620885,3214715925
single_h1,29,1061114050,1066388973,1066388973,1074777581,3213872621
single_h1,30,1067938630,1068436546,1068436546,1076825154,3215920194
single_h1,31,1072628936,1069859545,1069859545,1078248153,3217343193
single_h1,32,1073056210,1068138186,1068138186,1076526794,3215621834
single_h1,33,1069902898,1065258030,1065258030,1073646638,3212741678
single_h1,34,1067258547,1064874310,1064874310,1073262918,3212357958
single_h1,35,1066969714,1067759818,1067759818,1076148426,3215243466
single_h1,36,1066671693,1069510908,1069510908,1077899516,3216994556
single_h1,37,1062646456,1067787584,1067787584,1076176192,3215271232
single_h1,38,1055532402,1064050400,1064050400,1072439008,3211534048
single_h1,39,1056975926,1062960752,1062960752,1071349360,3210444400
single_h1,40,1065773771,1066497910,1066497910,1074886518,3213981558
single_h1,41,1070380575,1068079613,1068079613,1076468221,3215563261
single_h1,42,1070737126,1066332576,1066332576,1074721184,3213816224
single_h1,43,1067526260,1061283320,1061283320,1069671928,3208766968
single_h1,44,1064322533,1060381502,1060381502,1068770110,3207865150
single_h1,45,1063684288,1065182695,1065182695,1073571303,3212666343
single_h1,46,1063055523,1066856854,1066856854,1075245462,3214340502
single_h1,47,1057707146,1064815875,1064815875,1073204483,3212299523
single_h1,48,1042825032,1058751534,1058751534,1067140142,3206235182
single_h1,49,1045939972,1057898191,1057898191,1066286799,3205381839
single_h1,50,1061408680,1062852836,1062852836,1071241444,3210336484
single_h1,51,1068040827,1065802296,1065802296,1074190904,3213285944
single_h1,52,1068463739,1062919735,1062919735,1071308343,3210403383
single_h1,53,1065311118,1056987385,1056987385,1065375993,3204471033
single_h1,54,1060117858,1055338394,1055338394,1063727002,3202822042
single_h1,55,1059687026,1061034324,1061034324,1069422932,3208517972
single_h1,56,1059288374,1064347323,1064347323,1072735931,3211830971
single_h1,57,1051418438,1061010010,1061010010,1069398618,3208493658
single_h1,58,3169718016,1053479478,1053479478,1061868086,3200963126
single_h1,59,1024319536,1052425636,1052425636,1060814244,3199909284
single_h1,60,1058761200,1060000906,1060000906,1068389514,3207484554
single_h1,61,1066877974,1063753166,1063753166,1072141774,3211236814
single_h1,62,1067468386,1060764915,1060764915,1069153523,3208248563
single_h1,63,1063666709,1053362580,1053362580,1061751188,3200846228
single_h1,64,1058829075,1052340902,1052340902,1060729510,3199824550
single_h1,65,1058761193,1059864642,1059864642,1068253250,3207348290
single_h1,66,1058730768,1063519458,1063519458,1071908066,3211003106
single_h1,67,1051045940,1060540777,1060540777,1068929385,3208024425
single_h1,68,3163759360,1053289092,1053289092,1061677700,3200772740
single_h1,69,1032519952,1053002048,1053002048,1061390656,3200485696
single_h1,70,1083519317,1082693819,1082693819,1091082427,3230177467
single_h1,71,1067522380,1050948954,1050948954,1059337562,3198432602
single_h1,72,1068290600,1060088920,1060088920,1068477528,3207572568
single_h1,73,1065505326,1062254550,1062254550,1070643158,3209738198
single_h1,74,1061154774,1065660701,1065660701,1074049309,3213144349
single_h1,75,1061408664,1068364484,1068364484,1076753092,3215848132
single_h1,76,1061684950,1068766306,1068766306,1077154914,3216249954
single_h1,77,1057249400,1065078156,1065078156,1073466764,3212561804
single_h1,78,1044655932,1055143860,1055143860,1063532468,3202627508
single_h1,79,1049999244,1051038450,1051038450,1059427058,3198522098
single_h1,80,1063684313,1059813656,1059813656,1068202264,3207297304
single_h1,81,1069624706,1065505398,1065505398,1073894006,3212989046
single_h1,82,1070484683,1065406435,1065406435,1073795043,3212890083
single_h1,83,1067778712,1062421769,1062421769,1070810377,3209905417
single_h1,84,1065593748,1063603142,1063603142,1071991750,3211086790
single_h1,85,1065773768,1067388553,1067388553,1075777161,3214872201
single_h1,86,1065951390,1069073494,1069073494,1077462102,3216557142
single_h1,87,1062165350,1067211199,1067211199,1075599807,3214694847
single_h1,88,1056494626,1062920704,1062920704,1071309312,3210404352
single_h1,89,1058416556,1062396860,1062396860,1070785468,3209880508
single_h1,90,1066969751,1066770803,1066770803,1075159411,3214254451
single_h1,91,1072045374,1069086576,1069086576,1077475184,3216570224
single_h1,92,1072861320,1068119150,1068119150,1076507758,3215602798
single_h1,93,1070097786,1065808922,1065808922,1074197530,3213292570
single_h1,94,1067842114,1065915238,1065915238,1074303846,3213398886
single_h1,95,1067938631,1068716219,1068716219,1077104827,3216199867
single_h1,96,1068020456,1070588230,1070588230,1078976838,3218071878
single_h1,97,1065720778,1069045159,1069045159,1077433767,3216528807
single_h1,98,1060415232,1066247941,1066247941,1074636549,3213731589
single_h1,99,1061843804,1066097672,1066097672,1074486280,3213581320
single_h1,100,1068544458,1068897706,1068897706,1077286314,3216381354
single_h1,101,1073472248,1070944896,1070944896,1079333504,3218428544
single_h1,102,1073937015,1069617759,1069617759,1078006367,3217101407
single_h1,103,1071205477,1066947483,1066947483,1075336091,3214431131
single_h1,104,1068780325,1066760666,1066760666,1075149274,3214244314
single_h1,105,1068702035,1069362318,1069362318,1077750926,3216845966
single_h1,106,1068604707,1071115992,1071115992,1079504600,3218599640
single_h1,107,1066122550,1069497010,1069497010,1077885618,3216980658
single_h1,108,1060849260,1066621353,1066621353,1075009961,3214105001
single_h1,109,1061905841,1066355747,1066355747,1074744355,3213839395
single_h1,110,1068389291,1068989249,1068989249,1077377857,3216472897
single_h1,111,1073131858,1070825059,1070825059,1079213667,3218308707
single_h1,112,1073608448,1069261795,1069261795,1077650403,3216745443
single_h1,113,1070501380,1066355281,1066355281,1074743889,3213838929
single_h1,114,1067899839,1065951838,1065951838,1074340446,3213435486
single_h1,115,1067650175,1068366438,1068366438,1076755046,3215850086
single_h1,116,1067387462,1069961918,1069961918,1078350526,3217445566
single_h1,117,1064140478,1068205308,1068205308,1076593916,3215688956
single_h1,118,1057796514,1065049928,1065049928,1073438536,3212533576
single_h1,119,1058569122,1064263654,1064263654,1072652262,3211747302
single_h12,0,0,0,0,0,2147483648
single_h12,1,1058799034,1055225526,1055225526,1063614134,3202709174
single_h12,2,1060520607,1053441420,1053441420,1061830028,3200925068
single_h12,3,1053236742,1048797182,1048797182,1057185790,3196280830
single_h12,4,1040347936,1049139593,1049139593,1057528201,3196623241
single_h12,5,1041680553,1050277398,1050277398,1058666006,3197761046
single_h12,6,1042957018,1044940760,1044940760,1053329368,3192424408
single_h12,7,3184012752,1009483776,1009483776,1017872384,3156967424
single_h12,8,3201930206,3180559850,3180559850,3188948458,1033076202
single_h12,9,3198681359,1019691730,1019691730,1028080338,3167175378
single_h12,10,1049375234,1045663291,1045663291,1054051899,3193146939
single_h12,11,1063242891,1051726318,1051726318,1060114926,3199209966
single_h12,12,1064789152,1053415844,1053415844,1061804452,3200899492
single_h12,13,1059169650,1053586714,1053586714,1061975322,3201070362
single_h12,14,1052154547,1053646273,1053646273,1062034881,3201129921
single_h12,15,1052331775,1053519439,1053519439,1061908047,3201003087
single_h12,16,1052439990,1052596959,1052596959,1060985567,3200080607
single_h12,17,1034713420,1051171555,1051171555,1059560163,3198655203
single_h12,18,3196427289,1050412426,1050412426,1058801034,3197896074
single_h12,19,3191565032,1051100208,1051100208,1059488816,3198583856
single_h12,20,1068702041,1066280969,1066280969,1074669577,3213764617
single_h12,21,1073567155,1064401437,1064401437,1072790045,3211885085
single_h12,22,1073952870,1066673428,1066673428,1075062036,3214157076
single_h12,23,1071173794,1068192610,1068192610,1076581218,3215676258
single_h12,24,1068685408,1068225453,1068225453,1076614061,3215709101
single_h12,25,1068544432,1068073868,1068073868,1076462476,3215557516
single_h12,26,1068385320,1068763866,1068763866,1077152474,3216247514
single_h12,27,1065842634,1069669656,1069669656,1078058264,3217153304
single_h12,28,1060171512,1069717946,1069717946,1078106554,3217201594
single_h12,29,1061114050,1068849014,1068849014,1077237622,3216332662
single_h12,30,1067938630,1067873998,1067873998,1076262606,3215357646
single_h12,31,1072628936,1067387963,1067387963,1075776571,3214871611
single_h12,32,1073056210,1067295076,1067295076,1075683684,3214778724
single_h12,33,1069902898,1067253988,1067253988,1075642596,3214737636
single_h12,34,1067258547,1067167798,1067167798,1075556406,3214651446
single_h12,35,1066969714,1067125104,1067125104,1075513712,3214608752
