kind,a,b,c,d,e,f,g,h
scale,0,1,,,,,,
scale,-353632621,0.81549906730651855,,,,,,
scale,-353642621,0.81548899412155151,,,,,,
scale,376194500,0.79208248853683472,,,,,,
scale,900000000,0.0099999997764825821,,,,,,
scale,-900000000,0.0099999997764825821,,,,,,
scale,0,1,,,,,,
scale,0,1,,,,,,
scale,450000000,0.7071068286895752,,,,,,
scale,450000000,0.7071068286895752,,,,,,
scale,100000,1,,,,,,
scale,-1,1,,,,,,
pair,0,0,0,0,0,0,0,1.5707963705062866,9000
pair,0,0,-353632621,1491652374,1491652374,-3936597.25,15820468,1.8146729816392728,10397
pair,0,0,-353642621,1491662374,1491662374,-3936708.75,15820531,1.8146786814990641,10397
pair,0,0,376194500,-1224280000,-1224280000,4187753.75,-12900705,5.0262722369095529,28798
pair,0,0,900000000,0,0,10018696,0,4.3711390063094768e-08,0
pair,0,0,-900000000,0,0,-10018696,0,3.1415926973011832,18000
pair,0,0,0,1799999999,1799999999,0,20037392,1.5707963705062866,9000
pair,0,0,0,-1799999999,-1799999999,0,-20037392,4.7123890240960797,27000
pair,0,0,450000000,1799999000,1799999000,5009348,18512126,1.3065270742214823,7486
pair,0,0,450000000,-1799999000,-1799999000,5009348,-18512126,4.9766584952264443,28514
pair,0,0,100000,100000,100000,1113.18848,1113.18848,0.78539820710883834,4500
pair,0,0,-1,-1,-1,-0.0111318845,-0.0111318845,3.9269908606986315,22500
pair,-353632621,1491652374,0,0,-1491652374,3936597.25,-15820468,4.9562658100746262,28397
pair,-353632621,1491652374,-353632621,1491652374,0,0,0,1.5707963705062866,9000
pair,-353632621,1491652374,-353642621,1491662374,10000,-111.318848,90.7798538,2.4574551310484258,14080
pair,-353632621,1491652374,376194500,-1224280000,884067626,8124351.5,9839431,0.88058401000573205,5045
pair,-353632621,1491652374,900000000,0,-1491652374,13955294,-14752960,5.4700092398730735,31341
pair,-353632621,1491652374,-900000000,0,-1491652374,-6082098.5,-7620561.5,4.0387974071304367,23141
pair,-353632621,1491652374,0,1799999999,308347625,3936597.25,3270335.5,0.69321287353073613,3972
pair,-353632621,1491652374,0,-1799999999,308347627,3936597.25,3270335.5,0.69321287671886456,3972
pair,-353632621,1491652374,450000000,1799999000,308346626,8945946,3420348.5,0.36518588959056042,2092
pair,-353632621,1491652374,450000000,-1799999000,308348626,8945946,3420371,0.3651880532140801,2092
pair,-353632621,1491652374,100000,100000,-1491552374,3937710.5,-15819848,4.9563412582952484,28398
pair,-353632621,1491652374,-1,-1,-1491652375,3936597.25,-15820468,4.9562658092862284,28397
pair,-353642621,1491662374,0,0,-1491662374,3936708.75,-15820531,4.9562715099344175,28397
pair,-353642621,1491662374,-353632621,1491652374,-10000,111.318848,-90.7798538,5.5990479594837792,32080
pair,-353642621,1491662374,-353642621,1491662374,0,0,0,1.5707963705062866,9000
pair,-353642621,1491662374,376194500,-1224280000,884057626,8124462.5,9839321,0.88057181671678397,5045
