#location_offset
kind,lat,lng,a,b,out1,out2
offset,0,0,0,0,0,0
offset,0,0,1065353216,0,89,0
offset,0,0,0,1065353216,0,89
offset,0,0,3212836864,3212836864,-89,-89
offset,0,0,1120403456,1120403456,8983,8983
offset,0,0,3267887104,3267887104,-8983,-8983
offset,0,0,1148846080,1167867904,89832,449160
offset,0,0,1195593728,3343077376,4491602,-4491636
offset,0,0,1212370944,0,17966409,0
offset,0,0,0,1212370944,0,17966409
offset,0,0,1028443341,1028443341,4,4
bearing,0,0,0,1120403456,8983,0
bearing,0,0,1119092736,1120403456,0,8983
bearing,0,0,1127481344,1120403456,-8983,0
bearing,0,0,1132920832,1120403456,0,-8983
bearing,0,0,1110704128,1148846080,63520,63520
bearing,0,0,1130430464,1148846080,-63520,-63520
bearing,0,0,0,3287941120,-44916,0
bearing,0,0,1108606976,3287941120,-35871,-27031
bearing,0,0,1135866675,1132068864,22457,-39
bearing,0,0,1144258560,1120403456,8983,0
bearing,0,0,3258187776,1120403456,6352,-6352
offset,515080000,-1268000,0,0,515080000,-1268000
offset,515080000,-1268000,1065353216,0,515080089,-1268000
offset,515080000,-1268000,0,1065353216,515080000,-1267856
offset,515080000,-1268000,3212836864,3212836864,515079911,-1268144
offset,515080000,-1268000,1120403456,1120403456,515088983,-1253567
offset,515080000,-1268000,3267887104,3267887104,515071017,-1282432
offset,515080000,-1268000,1148846080,1167867904,515169832,-546277
offset,515080000,-1268000,1195593728,3343077376,519571602,-8520325
offset,515080000,-1268000,1212370944,0,533046409,-1268000
offset,515080000,-1268000,0,1212370944,515080000,27598090
offset,515080000,-1268000,1028443341,1028443341,515080004,-1267993
bearing,515080000,-1268000,0,1120403456,515088983,-1268000
bearing,515080000,-1268000,1119092736,1120403456,515080000,-1253567
bearing,515080000,-1268000,1127481344,1120403456,515071017,-1268000
bearing,515080000,-1268000,1132920832,1120403456,515080000,-1282433
bearing,515080000,-1268000,1110704128,1148846080,515143520,-1165936
bearing,515080000,-1268000,1130430464,1148846080,515016480,-1370049
bearing,515080000,-1268000,0,3287941120,515035084,-1268000
bearing,515080000,-1268000,1108606976,3287941120,515044129,-1311428
bearing,515080000,-1268000,1135866675,1132068864,515102457,-1268062
bearing,515080000,-1268000,1144258560,1120403456,515088983,-1268000
bearing,515080000,-1268000,3258187776,1120403456,515086352,-1278205
offset,-353632621,1491652374,0,0,-353632621,1491652374
offset,-353632621,1491652374,1065353216,0,-353632532,1491652374
offset,-353632621,1491652374,0,1065353216,-353632621,1491652484
