#bearing
ox,oy,dx,dy,rad,cd,dist
0,0,1065353216,0,0,0,1065353216
0,0,0,1065353216,1070141403,1175232512,1065353216
0,0,3212836864,0,1078530011,1183621120,1065353216
0,0,0,3212836864,1083624420,1188229119,1065353216
0,0,1065353216,1065353216,1061752795,1166843904,1068827891
0,0,3212836864,1065353216,1075235812,1179840511,1068827891
0,0,3212836864,3212836864,1081824210,1185925120,1068827891
0,0,1065353216,3212836864,1085271520,1190533120,1068827891
1077936128,1082130432,1077936128,1082130432,0,0,0
3236954112,1074790400,1093795840,3233808384,1086044152,1191398116,1101198995
1232348160,1232348160,3379831808,3379831808,1081824210,1185925120,1244439084
0,0,841731191,841731191,1061752795,1166843904,846394821
#checkdeg
val,lat,lng
0,1,1
1110704128,1,1
3258187776,1,1
1119079629,1,1
1119092736,1,1
1119105843,0,1
3266576384,1,1
3266589491,0,1
1127474790,0,1
1127481344,0,1
1127487898,0,0
3274964992,0,1
3274971546,0,0
1315859240,0,0
3463342888,0,0
#checkint
val,lat,lng
0,1,1
450000000,1,1
-450000000,1,1
899999999,1,1
900000000,1,1
900000001,1,1
900000002,1,1
900000032,1,1
900000033,0,1
900000064,0,1
900000065,0,1
-900000000,1,1
-900000001,1,1
-900000032,1,1
-900000064,0,1
1799999999,0,1
1800000000,0,1
1800000001,0,1
1800000064,0,1
1800000128,0,0
-1800000000,0,1
-1800000001,0,1
-1800000128,0,0
2147483647,0,0
-2147483648,0,0
#cdconv
in,cd_to_rad,rad_to_cd
0,0,0
1065353216,959906516,1169362079
3212836864,3107390164,3316845727
1120403456,1016003126,1225515484
1166843904,1061752795,1271182750
1183621120,1078530011,1287959966
3331104768,3226013659,3435443614
1192009728,1086918619,1296348574
1056964608,951517908,1160973471
897988541,792716967,1002159918
1232348160,1127123054,1336590645
