#cases
kind,n,rep,ok,in,out
identity,3,0,1,1065353216 0 0 0 1065353216 0 0 0 1065353216,1065353216 0 0 0 1065353216 0 0 0 1065353216
diagonal,3,0,1,1073741824 0 0 0 1077936128 0 0 0 1082130432,1056964608 0 0 0 1051372203 0 0 0 1048576000
dominant,3,0,1,1092616192 1056964608 1051372203 1056964608 1093664768 1056964608 1051372203 1056964608 1094713344,1036873391 3146876901 3140123295 3146876901 1035661333 3144755799 3140123295 3144755799 1034625264
general,3,0,1,1073346560 3224624640 3222067712 3226567168 1080612864 3199062016 3214775296 1065558016 3216865280,3256621220 3259417600 1116394947 3255382713 3257763515 1114884258 1091272053 1093984174 3246512068
general,3,1,1,1081956864 3227744256 1042563072 3223047168 1068186624 3216420864 3208689664 3221829632 1081408512,3180849656 3203687815 3191017724 3200223378 3205283517 3191987144 3194322847 3201153773 1039625413
general,3,2,1,1075849216 1070042112 1076780544 3225533952 3188211712 3226469888 3192733696 1080022528 3227170816,3209790965 3213075685 1051115796 1059834962 1057874429 1006701581 1060903737 1059103995 3197860005
general,3,3,1,1060128768 1068023808 1077016064 3202220032 3214612480 1066096640 1065407488 3203141632 1076672000,3205295430 3212208743 1064607100 1055307955 3191833549 3200719661 1049659886 1051161101 3176531388
zero_row,3,0,0,3227621888 1063186432 1067757568 0 0 0 3228589056 3222136320 1071376384,0 0 0 0 0 0 0 0 0
zero_row,3,1,0,3214837760 1056276480 1068848128 0 0 0 3212995584 3217947648 3222344704,0 0 0 0 0 0 0 0 0
zero_row,3,2,0,3224642048 3222051328 3168403456 0 0 0 3227419648 3220109312 3222433280,0 0 0 0 0 0 0 0 0
zero_row,3,3,0,1075991040 3224527360 3208382464 0 0 0 3209052160 3227399168 1049649152,0 0 0 0 0 0 0 0 0
duplicate_row,3,0,1,1069991936 1067545600 3222391296 1069991936 1067545600 3222391296 1045651456 1065586688 3224514560,3390427706 1242944058 0 1257676962 3405160610 0 1244331143 3391814791 0
duplicate_row,3,1,1,3199135744 1081438208 3214089216 3199135744 1081438208 3214089216 3228724224 1055080448 1075831296,1252094631 3399578279 0 1244045032 3391528680 0 1256586817 3404070465 0
duplicate_row,3,2,1,1071201280 1066415104 1078363648 1071201280 1066415104 1078363648 3225361920 3228874752 3200667648,1261882132 3409365780 0 3406409913 1258926265 0 3393717058 1246233410 0
duplicate_row,3,3,0,3223965184 3215714304 3223650816 3223965184 3215714304 3223650816 1059028992 1068828672 3226145792,0 0 0 0 0 0 0 0 0
identity,4,0,1,1065353216 0 0 0 0 1065353216 0 0 0 0 1065353216 0 0 0 0 1065353216,1065353216 0 0 0 0 1065353216 0 0 0 0 1065353216 0 0 0 0 1065353216
diagonal,4,0,1,1073741824 0 0 0 0 1077936128 0 0 0 0 1082130432 0 0 0 0 1084227584,1056964608 0 0 0 0 1051372203 0 0 0 0 1048576000 0 0 0 0 1045220558
dominant,4,0,1,1092616192 1056964608 1051372203 1048576000 1056964608 1093664768 1056964608 1051372203 1051372203 1056964608 1094713344 1056964608 1048576000 1051372203 1056964608 1095761920,1036878538 3146775434 3139828577 3135334069 3146775434 1035669147 3144392614 3138052587 3139828577 3144392614 1034641747 3142169123 3135334069 3138052587 3142169123 1033762237
general,4,0,1,3223394816 3200163840 1068301312 1078536192 3229234176 1069861888 3229570048 3223819776 1068712960 1060646912 3211241472 3214885888 3223444992 3220200448 1054695424 3223597568,3207340916 3163480484 3213386469 3197375438 1076323301 3196482074 1085188178 1062419659 1074750332 3201937312 1083334650 1064686920 3210720939 1041042218 3221953652 3205233099
general,4,1,1,3226047488 1061509120 3208734720 1051242496 1071925248 3218560000 3228018688 3200167936 3228301312 3203690496 1077447680 3221488128 1070860288 1069854720 1049288704 3221517312,3192896856 3164780993 3182058562 1029566122 1048745572 3191649421 3191977652 1048988851 3193934246 3191512349 1032446903 3180163442 3134478992 3191134502 3192584329 3196197832
general,4,2,1,1067293696 1077380608 1072891904 3218308096 1080886272 1063643136 1077034496 3228566528 3217594368 1062580224 1079090176 1068565504 1080854016 3225579520 1073002496 1076000768,1048891989 3180137928 3192171888 1043323085 1056242738 3194625710 3184196973 1021481090 3186667191 1041492588 1048586301 974098873 1049699529 3197138131 3168890048 1043650795
general,4,3,1,3220797440 3225110016 1077493248 3194126336 1078918656 3213142016 1069534208 3217824768 1064466432 1072395264 3226129920 1076025344 1081802240 3223120896 3207874560 3228673024,1009300835 1050138260 1042163760 3165802596 3200327186 1034202248 3196537659 3192029090 3155631908 1050129759 3188398039 3193787392 1048822930 1045257665 1052178555 3187510496
zero_row,4,0,0,3199991808 3227618816 3219983360 1072238592 0 0 0 0 1078077952 3225400320 3227494912 3196272640 3226715136 3223741952 1078763008 1078946816,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,4,1,0,3215423488 1077937664 3226149888 3228793344 0 0 0 0 1060302848 1080403968 1079664128 3193446400 3227378176 3221998080 1077940736 1081736192,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,4,2,0,3199463424 1080281088 1076288512 1066688512 0 0 0 0 1072781312 3211522048 1077372928 3206078464 3188023296 1072544768 3194421248 3216059392,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zero_row,4,3,0,3223588864 1073715200 1063553024 3229504000 0 0 0 0 1075635712 1065682944 1068536832 1068310528 1075448832 3225016320 3208810496 1073900544,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
duplicate_row,4,0,1,3224730624 1078595072 3210160128 1051971584 3224730624 1078595072 3210160128 1051971584 3221724672 3214994432 1068867584 1081047040 1071084544 1068903424 3215066112 1078084096,3392750960 1245267312 1016010618 3165838680 3399617470 1252133822 2147483648 1031432470 3407026980 1259543332 3188660090 3180271482 1209351234 3356834882 2147483648 1032787834
