#entry
idx,mode,target_is_current,reason_is_gcs,gcs_enabled,mode_exists,armed,land_complete,new_manual_thr,new_is_drift,cur_manual_thr,pilot_thr,non_takeoff_thr,new_requires_pos,position_ok,ekf_alt_ok,in_rc_failsafe,new_allows_rc_fs,result,reason
0,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,0,0,0,0,1,-
1,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,0,0,0,0,2,-
2,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
3,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,0,0,1,0,2,-
4,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,0,1,0,0,1,-
5,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,0,1,0,0,2,-
6,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
7,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,0,1,1,0,2,-
8,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,1,0,0,0,1,-
9,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,1,0,0,0,2,-
10,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
11,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,1,0,1,0,2,-
12,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,1,1,0,0,1,-
13,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,1,1,0,0,2,-
14,STABILIZE,0,0,1,1,0,0,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
15,STABILIZE,1,0,1,1,0,0,1,0,1,0,1043542835,0,1,1,1,0,2,-
16,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,0,0,0,0,1,-
17,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
18,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,0,0,1,0,0,in RC failsafe
19,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
20,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,0,1,0,0,1,-
21,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
22,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,0,1,1,0,0,in RC failsafe
23,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
24,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,1,0,0,0,1,-
25,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
26,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,1,0,1,0,0,in RC failsafe
27,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
28,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,1,1,0,0,1,-
29,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
30,STABILIZE,0,0,1,1,0,0,1,0,0,1062584790,1043542835,0,1,1,1,0,0,in RC failsafe
31,STABILIZE,1,0,1,1,0,0,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
32,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,0,0,0,0,1,-
33,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,0,0,0,0,2,-
34,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,0,0,1,0,0,in RC failsafe
35,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,0,0,1,0,2,-
36,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,0,1,0,0,1,-
37,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,0,1,0,0,2,-
38,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,0,1,1,0,0,in RC failsafe
39,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,0,1,1,0,2,-
40,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,1,0,0,0,1,-
41,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,1,0,0,0,2,-
42,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,1,0,1,0,0,in RC failsafe
43,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,1,0,1,0,2,-
44,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,1,1,0,0,1,-
45,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,1,1,0,0,2,-
46,STABILIZE,0,0,1,1,0,1,1,0,0,0,1043542835,0,1,1,1,0,0,in RC failsafe
47,STABILIZE,1,0,1,1,0,1,1,0,1,0,1043542835,0,1,1,1,0,2,-
48,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,0,0,0,0,1,-
49,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,0,0,0,0,2,-
50,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,0,0,1,0,0,in RC failsafe
51,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,0,0,1,0,2,-
52,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,0,1,0,0,1,-
53,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,0,1,0,0,2,-
54,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,0,1,1,0,0,in RC failsafe
55,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,0,1,1,0,2,-
56,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,1,0,0,0,1,-
57,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,1,0,0,0,2,-
58,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,1,0,1,0,0,in RC failsafe
59,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,1,0,1,0,2,-
60,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,1,1,0,0,1,-
61,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,1,1,0,0,2,-
62,STABILIZE,0,0,1,1,0,1,1,0,0,1062584790,1043542835,0,1,1,1,0,0,in RC failsafe
63,STABILIZE,1,0,1,1,0,1,1,0,1,1062584790,1043542835,0,1,1,1,0,2,-
64,STABILIZE,0,0,1,1,1,0,1,0,0,0,1043542835,0,0,0,0,0,1,-
65,STABILIZE,1,0,1,1,1,0,1,0,1,0,1043542835,0,0,0,0,0,2,-
