#frames
class,type,ok,motor,roll,pitch,yaw,throttle,order
0,0,0,-1,0,0,0,0,0
0,1,0,-1,0,0,0,0,0
0,2,0,-1,0,0,0,0,0
0,3,0,-1,0,0,0,0,0
0,4,0,-1,0,0,0,0,0
0,5,0,-1,0,0,0,0,0
0,6,0,-1,0,0,0,0,0
0,7,0,-1,0,0,0,0,0
0,8,0,-1,0,0,0,0,0
0,9,0,-1,0,0,0,0,0
0,10,0,-1,0,0,0,0,0
0,11,0,-1,0,0,0,0,0
0,12,0,-1,0,0,0,0,0
0,13,0,-1,0,0,0,0,0
0,14,0,-1,0,0,0,0,0
0,15,0,-1,0,0,0,0,0
0,16,0,-1,0,0,0,0,0
0,17,0,-1,0,0,0,0,0
0,18,0,-1,0,0,0,0,0
0,19,0,-1,0,0,0,0,0
0,20,0,-1,0,0,0,0,0
0,21,0,-1,0,0,0,0,0
0,22,0,-1,0,0,0,0,0
0,23,0,-1,0,0,0,0,0
0,24,0,-1,0,0,0,0,0
0,25,0,-1,0,0,0,0,0
1,0,1,0,3204448256,2998648110,1056964608,1065353216,2
1,0,1,1,1056964608,2998648110,1056964608,1065353216,4
1,0,1,2,2998648110,1056964608,3204448256,1065353216,1
1,0,1,3,835509806,3204448256,3204448256,1065353216,3
1,1,1,0,3204448255,1056964608,1056964608,1065353216,1
1,1,1,1,1056964607,3204448256,1056964608,1065353216,3
1,1,1,2,1056964607,1056964608,3204448256,1065353216,4
1,1,1,3,3204448256,3204448256,3204448256,1065353216,2
1,2,1,0,3204448255,1056964608,1053577288,1065353216,1
1,2,1,1,1056964607,3204448256,1056964608,1065353216,3
1,2,1,2,1056964607,1056964608,3201060936,1065353216,4
1,2,1,3,3204448256,3204448256,3204448256,1065353216,2
1,3,1,0,3204448255,1056964608,3204448256,1065353216,1
1,3,1,1,1056964607,3204448256,3204448256,1065353216,3
1,3,1,2,1056964607,1056964608,1056964608,1065353216,4
1,3,1,3,3204448256,3204448256,1056964608,1065353216,2
1,4,1,0,3204448256,1049114362,0,1065353216,1
1,4,1,1,3000551493,3204448256,3204448256,1065353216,3
1,4,1,2,1056964608,1049114362,0,1065353216,4
1,4,1,3,3000551493,3204448256,1056964608,1065353216,2
1,5,1,0,3204448256,1049114362,0,1065353216,1
1,5,1,1,3000551493,3204448256,1056964608,1065353216,3
1,5,1,2,1056964608,1049114362,0,1065353216,4
1,5,1,3,3000551493,3204448256,3204448256,1065353216,2
1,6,1,0,3204448256,2998648110,3204448256,1065353216,2
