#notch_coeffs
scenario,initialised,center_freq,sample_freq,b0,b1,b2,a1,a2
plain,1,1120403456,1148846080,1063455537,3216435920,1063331598,3216435920,1061433919
serviced,1,1120403456,1148846080,1063455537,3216435920,1063331598,3216435920,1061433919
ins_rate,1,1128005632,1174011904,1064946058,3220627037,1064919466,3220627037,1064512308
narrow,1,1120403456,1148846080,1064866899,3217623896,1064857075,3217623896,1064370758
wide,1,1128792064,1148846080,1060570120,3201839673,1059507211,3201839673,1052483622
degenerate,0,0,0,0,0,0,0,0
too_high,0,0,0,0,0,0,0,0
slew_up,1,1121093309,1148846080,1063380575,3216080311,1063251739,3216080311,1061279099
slew_down,1,1119748096,1148846080,1063529201,3216766493,1063410072,3216766493,1061586056
retune_same,1,1120403456,1148846080,1063455537,3216435920,1063331598,3216435920,1061433919
retune_bad,1,1121093309,1148846080,1063380575,3216080311,1063251739,3216080311,1061279099
reset_midway,1,1120403456,1148846080,1063455537,3216435920,1063331598,3216435920,1061433919
disabled,0,1120403456,1148846080,1063455537,3216435920,1063331598,3216435920,1061433919
