#notch
scenario,step,in,out_f,out_x,out_y,out_z
plain,0,0,0,0,0,0
plain,1,1053284172,1051802789,1051802789,1060191397,3199286437
plain,2,1059407144,1057123550,1057123550,1065512158,3204607198
plain,3,1060021926,1056579940,1056579940,1064968548,3204063588
plain,4,1056961955,1051727293,1051727293,1060115901,3199210941
plain,5,1043985495,1042786598,1042786598,1051175206,3190270246
plain,6,3188566307,1021603504,1021603504,1029992112,3169087152
plain,7,3198592040,3163180152,3163180152,3171568760,1015696504
plain,8,3197630500,1024336996,1024336996,1032725604,3171820644
plain,9,3176632112,1042117712,1042117712,1050506320,3189601360
plain,10,1051045839,1050062434,1050062434,1058451042,3197546082
plain,11,1060269182,1054015938,1054015938,1062404546,3201499586
plain,12,1064221842,1056263024,1056263024,1064651632,3203746672
plain,13,1064463791,1056594737,1056594737,1064983345,3204078385
plain,14,1060992886,1055451237,1055451237,1063839845,3202934885
plain,15,1053443921,1053640891,1053640891,1062029499,3201124539
plain,16,1027514392,1051997112,1051997112,1060385720,3199480760
plain,17,3190746732,1051097084,1051097084,1059485692,3198580732
plain,18,3190945150,1051120057,1051120057,1059508665,3198603705
plain,19,1025140408,1051863118,1051863118,1060251726,3199346766
plain,20,1068544434,1067577176,1067577176,1075965784,3215060824
plain,21,1071391108,1066418135,1066418135,1074806743,3213901783
plain,22,1073080438,1066202086,1066202086,1074590694,3213685734
plain,23,1072915262,1066724664,1066724664,1075113272,3214208312
plain,24,1070897048,1067568906,1067568906,1075957514,3215052554
plain,25,1067725869,1068301218,1068301218,1076689826,3215784866
plain,26,1063714048,1068626258,1068626258,1077014866,3216109906
plain,27,1059551640,1068456496,1068456496,1076845104,3215940144
plain,28,1059012566,1067892288,1067892288,1076280896,3215375936
plain,29,1062101589,1067140684,1067140684,1075529292,3214624332
plain,30,1066390105,1066416309,1066416309,1074804917,3213899957
plain,31,1069043604,1065863822,1065863822,1074252430,3213347470
plain,32,1070560590,1065524743,1065524743,1073913351,3213008391
plain,33,1070245436,1065346831,1065346831,1073735439,3212830479
plain,34,1068100942,1065132467,1065132467,1073521075,3212616115
plain,35,1064303389,1064863778,1064863778,1073252386,3212347426
plain,36,1057767448,1064428741,1064428741,1072817349,3211912389
plain,37,1050048064,1063817378,1063817378,1072205986,3211301026
plain,38,1048879818,1063099999,1063099999,1071488607,3210583647
plain,39,1055075912,1062378082,1062378082,1070766690,3209861730
plain,40,1061408664,1061734176,1061734176,1070122784,3209217824
plain,41,1066092645,1061201733,1061201733,1069590341,3208685381
plain,42,1067694027,1060763669,1060763669,1069152277,3208247317
plain,43,1067488717,1060374563,1060374563,1068763171,3207858211
plain,44,1065478543,1059992272,1059992272,1068380880,3207475920
plain,45,1059373752,1059602843,1059602843,1067991451,3207086491
plain,46,1049428890,1059228188,1059228188,1067616796,3206711836
plain,47,1027167968,1058914219,1058914219,1067302827,3206397867
plain,48,1024806400,1058707472,1058707472,1067096080,3206191120
plain,49,1048515848,1058631451,1058631451,1067020059,3206115099
plain,50,1058642343,1058674228,1058674228,1067062836,3206157876
plain,51,1064588966,1058792556,1058792556,1067181164,3206276204
plain,52,1066844034,1058930782,1058930782,1067319390,3206414430
plain,53,1066917826,1059045564,1059045564,1067434172,3206529212
plain,54,1065030413,1059125705,1059125705,1067514313,3206609353
plain,55,1059373785,1059198339,1059198339,1067586947,3206681987
plain,56,1050575720,1059318418,1059318418,1067707026,3206802066
plain,57,1038617600,1059546398,1059546398,1067935006,3207030046
plain,58,1041044944,1059922104,1059922104,1068310712,3207405752
plain,59,1053032162,1060446956,1060446956,1068835564,3207930604
plain,60,1061408656,1061080824,1061080824,1069469432,3208564472
