name,key,idx,group_element,type,default
FORMAT_VERSION,0,0,0,2,13
AUTOTUNE_LEVEL,1,0,0,1,6
AUTOTUNE_OPTIONS,2,0,0,3,0
GCS_PID_MASK,3,0,0,2,0
KFF_RDDRMIX,4,0,0,4,0.5
KFF_THR2PTCH,5,0,0,4,0
STAB_PITCH_DOWN,6,0,0,4,2
ALT_SLOPE_MIN,7,0,0,2,15
ALT_SLOPE_MAXHGT,8,0,0,4,5
STICK_MIXING,9,0,0,1,1
TKOFF_THR_MINSPD,10,0,0,4,0
TKOFF_THR_MINACC,11,0,0,4,0
TKOFF_THR_DELAY,12,0,0,1,2
TKOFF_THR_MAX_T,13,0,0,4,4
TKOFF_THR_MIN,14,0,0,1,0
TKOFF_THR_IDLE,15,0,0,1,0
TKOFF_OPTIONS,16,0,0,3,0
TKOFF_TDRAG_ELEV,17,0,0,1,0
TKOFF_TDRAG_SPD1,18,0,0,4,0
TKOFF_ROTATE_SPD,19,0,0,4,0
TKOFF_THR_SLEW,20,0,0,1,0
TKOFF_PLIM_SEC,21,0,0,4,2
TKOFF_FLAP_PCNT,22,0,0,1,0
LEVEL_ROLL_LIMIT,23,0,0,1,5
USE_REV_THRUST,24,0,0,3,2
ALT_OFFSET,25,0,0,2,0
WP_RADIUS,26,0,0,2,90
WP_MAX_RADIUS,27,0,0,2,0
WP_LOITER_RAD,28,0,0,2,60
RTL_RADIUS,29,0,0,2,0
STALL_PREVENTION,30,0,0,1,1
AIRSPEED_CRUISE,31,0,0,4,12
AIRSPEED_MIN,32,0,0,2,9
AIRSPEED_MAX,33,0,0,2,22
AIRSPEED_STALL,34,0,0,4,0
FBWB_ELEV_REV,35,0,0,1,0
TERRAIN_FOLLOW,36,0,0,3,0
TERRAIN_LOOKAHD,37,0,0,2,2000
FBWB_CLIMB_RATE,38,0,0,1,2
THR_MIN,39,0,0,1,0
THR_MAX,40,0,0,1,100
TKOFF_THR_MAX,41,0,0,1,0
THR_SLEWRATE,42,0,0,1,100
FLAP_SLEWRATE,43,0,0,1,75
THR_SUPP_MAN,44,0,0,1,0
THR_PASS_STAB,45,0,0,1,0
THR_FAILSAFE,46,0,0,1,1
THR_FS_VALUE,47,0,0,2,950
TRIM_THROTTLE,48,0,0,1,45
THROTTLE_NUDGE,49,0,0,1,1
FS_SHORT_ACTN,50,0,0,1,0
FS_LONG_ACTN,51,0,0,1,0
FS_LONG_TIMEOUT,52,0,0,4,5
FS_GCS_ENABL,53,0,0,1,0
FLTMODE_CH,54,0,0,1,8
FLTMODE1,55,0,0,1,11
FLTMODE2,56,0,0,1,11
FLTMODE3,57,0,0,1,5
FLTMODE4,58,0,0,1,5
FLTMODE5,59,0,0,1,0
FLTMODE6,60,0,0,1,0
INITIAL_MODE,61,0,0,1,0
ROLL_LIMIT_DEG,62,0,0,4,45
PTCH_LIM_MAX_DEG,63,0,0,4,20
PTCH_LIM_MIN_DEG,64,0,0,4,-25
ACRO_ROLL_RATE,65,0,0,2,180
ACRO_PITCH_RATE,66,0,0,2,180
ACRO_YAW_RATE,67,0,0,2,0
ACRO_LOCKING,68,0,0,1,0
GROUND_STEER_ALT,69,0,0,4,0
GROUND_STEER_DPS,70,0,0,2,90
MIXING_GAIN,71,0,0,4,0.5
RUDDER_ONLY,72,0,0,1,0
MIXING_OFFSET,73,0,0,2,0
DSPOILR_RUD_RATE,74,0,0,2,100
LOG_BITMASK,75,0,0,3,65535
SCALING_SPEED,76,0,0,4,15
MIN_GROUNDSPEED,77,0,0,4,0
PTCH_TRIM_DEG,78,0,0,4,0
RTL_ALTITUDE,79,0,0,4,100
CRUISE_ALT_FLOOR,80,0,0,4,0
FLAP_1_PERCNT,81,0,0,1,0
FLAP_1_SPEED,82,0,0,1,0
FLAP_2_PERCNT,83,0,0,1,0
FLAP_2_SPEED,84,0,0,1,0
RTL_AUTOLAND,85,0,0,1,0
CRASH_ACC_THRESH,86,0,0,1,0
CRASH_DETECT,87,0,0,1,0
BARO1_GND_PRESS,88,0,2,4,0
BARO_GND_TEMP,88,0,3,4,0
BARO_ALT_OFFSET,88,0,5,4,0
BARO_PRIMARY,88,0,6,1,0
BARO_EXT_BUS,88,0,7,1,-1
