kind,name,value
const,eeprom_header_size,4
const,param_header_size,4
const,magic0,80
const,magic1,65
const,revision,6
const,sentinel_key,511
const,sentinel_type,31
const,sentinel_group,255
const,group_level_shift,6
const,group_bits,18
const,sentinel_word,4194303
type_size,0,0
type_size,1,1
type_size,2,2
type_size,3,4
type_size,4,4
type_size,5,12
type_size,6,0
is_sentinel_raw,0,0;1
is_sentinel_raw,4294967295,511;1
is_sentinel_raw,4194303,511;1
is_sentinel_raw,1,1;0
is_sentinel_raw,305419896,120;0
