key,type,group_element,word,get_key,is_sentinel
0,0,0,0,0,1
0,0,1,16384,0,0
0,0,63,1032192,0,0
0,0,64,1048576,0,0
0,0,255,4177920,0,0
0,0,4095,67092480,0,0
0,0,65535,1073725440,0,0
0,0,262143,4294950912,0,0
0,1,0,256,0,0
0,1,1,16640,0,0
0,1,63,1032448,0,0
0,1,64,1048832,0,0
0,1,255,4178176,0,0
0,1,4095,67092736,0,0
0,1,65535,1073725696,0,0
0,1,262143,4294951168,0,0
0,2,0,512,0,0
0,2,1,16896,0,0
0,2,63,1032704,0,0
0,2,64,1049088,0,0
0,2,255,4178432,0,0
0,2,4095,67092992,0,0
0,2,65535,1073725952,0,0
0,2,262143,4294951424,0,0
0,3,0,768,0,0
0,3,1,17152,0,0
0,3,63,1032960,0,0
0,3,64,1049344,0,0
0,3,255,4178688,0,0
0,3,4095,67093248,0,0
0,3,65535,1073726208,0,0
0,3,262143,4294951680,0,0
0,4,0,1024,0,0
0,4,1,17408,0,0
0,4,63,1033216,0,0
0,4,64,1049600,0,0
0,4,255,4178944,0,0
0,4,4095,67093504,0,0
0,4,65535,1073726464,0,0
0,4,262143,4294951936,0,0
0,5,0,1280,0,0
0,5,1,17664,0,0
0,5,63,1033472,0,0
0,5,64,1049856,0,0
0,5,255,4179200,0,0
0,5,4095,67093760,0,0
0,5,65535,1073726720,0,0
0,5,262143,4294952192,0,0
0,6,0,1536,0,0
0,6,1,17920,0,0
0,6,63,1033728,0,0
0,6,64,1050112,0,0
0,6,255,4179456,0,0
0,6,4095,67094016,0,0
0,6,65535,1073726976,0,0
0,6,262143,4294952448,0,0
0,31,0,7936,0,1
0,31,1,24320,0,1
0,31,63,1040128,0,1
0,31,64,1056512,0,1
0,31,255,4185856,0,1
0,31,4095,67100416,0,1
0,31,65535,1073733376,0,1
0,31,262143,4294958848,0,1
1,0,0,1,1,0
1,0,1,16385,1,0
1,0,63,1032193,1,0
1,0,64,1048577,1,0
1,0,255,4177921,1,0
1,0,4095,67092481,1,0
1,0,65535,1073725441,1,0
1,0,262143,4294950913,1,0
1,1,0,257,1,0
1,1,1,16641,1,0
1,1,63,1032449,1,0
1,1,64,1048833,1,0
1,1,255,4178177,1,0
1,1,4095,67092737,1,0
1,1,65535,1073725697,1,0
1,1,262143,4294951169,1,0
1,2,0,513,1,0
1,2,1,16897,1,0
1,2,63,1032705,1,0
1,2,64,1049089,1,0
1,2,255,4178433,1,0
1,2,4095,67092993,1,0
1,2,65535,1073725953,1,0
1,2,262143,4294951425,1,0
1,3,0,769,1,0
1,3,1,17153,1,0
1,3,63,1032961,1,0
1,3,64,1049345,1,0
1,3,255,4178689,1,0
1,3,4095,67093249,1,0
1,3,65535,1073726209,1,0
1,3,262143,4294951681,1,0
1,4,0,1025,1,0
1,4,1,17409,1,0
1,4,63,1033217,1,0
1,4,64,1049601,1,0
1,4,255,4178945,1,0
1,4,4095,67093505,1,0
1,4,65535,1073726465,1,0
1,4,262143,4294951937,1,0
1,5,0,1281,1,0
1,5,1,17665,1,0
1,5,63,1033473,1,0
1,5,64,1049857,1,0
1,5,255,4179201,1,0
1,5,4095,67093761,1,0
1,5,65535,1073726721,1,0
1,5,262143,4294952193,1,0
1,6,0,1537,1,0
1,6,1,17921,1,0
1,6,63,1033729,1,0
1,6,64,1050113,1,0
1,6,255,4179457,1,0
1,6,4095,67094017,1,0
1,6,65535,1073726977,1,0
1,6,262143,4294952449,1,0
1,31,0,7937,1,1
1,31,1,24321,1,1
1,31,63,1040129,1,1
1,31,64,1056513,1,1
1,31,255,4185857,1,1
1,31,4095,67100417,1,1
1,31,65535,1073733377,1,1
1,31,262143,4294958849,1,1
2,0,0,2,2,0
2,0,1,16386,2,0
2,0,63,1032194,2,0
2,0,64,1048578,2,0
2,0,255,4177922,2,0
2,0,4095,67092482,2,0
2,0,65535,1073725442,2,0
2,0,262143,4294950914,2,0
2,1,0,258,2,0
2,1,1,16642,2,0
2,1,63,1032450,2,0
2,1,64,1048834,2,0
2,1,255,4178178,2,0
2,1,4095,67092738,2,0
2,1,65535,1073725698,2,0
2,1,262143,4294951170,2,0
2,2,0,514,2,0
2,2,1,16898,2,0
2,2,63,1032706,2,0
2,2,64,1049090,2,0
2,2,255,4178434,2,0
2,2,4095,67092994,2,0
2,2,65535,1073725954,2,0
2,2,262143,4294951426,2,0
2,3,0,770,2,0
2,3,1,17154,2,0
2,3,63,1032962,2,0
2,3,64,1049346,2,0
2,3,255,4178690,2,0
2,3,4095,67093250,2,0
2,3,65535,1073726210,2,0
2,3,262143,4294951682,2,0
2,4,0,1026,2,0
2,4,1,17410,2,0
2,4,63,1033218,2,0
2,4,64,1049602,2,0
2,4,255,4178946,2,0
2,4,4095,67093506,2,0
2,4,65535,1073726466,2,0
2,4,262143,4294951938,2,0
2,5,0,1282,2,0
2,5,1,17666,2,0
2,5,63,1033474,2,0
2,5,64,1049858,2,0
2,5,255,4179202,2,0
2,5,4095,67093762,2,0
2,5,65535,1073726722,2,0
2,5,262143,4294952194,2,0
2,6,0,1538,2,0
2,6,1,17922,2,0
2,6,63,1033730,2,0
2,6,64,1050114,2,0
2,6,255,4179458,2,0
2,6,4095,67094018,2,0
2,6,65535,1073726978,2,0
2,6,262143,4294952450,2,0
2,31,0,7938,2,1
2,31,1,24322,2,1
2,31,63,1040130,2,1
2,31,64,1056514,2,1
2,31,255,4185858,2,1
2,31,4095,67100418,2,1
2,31,65535,1073733378,2,1
2,31,262143,4294958850,2,1
127,0,0,127,127,0
127,0,1,16511,127,0
127,0,63,1032319,127,0
127,0,64,1048703,127,0
127,0,255,4178047,127,0
127,0,4095,67092607,127,0
127,0,65535,1073725567,127,0
127,0,262143,4294951039,127,0
127,1,0,383,127,0
127,1,1,16767,127,0
127,1,63,1032575,127,0
127,1,64,1048959,127,0
127,1,255,4178303,127,0
127,1,4095,67092863,127,0
127,1,65535,1073725823,127,0
127,1,262143,4294951295,127,0
127,2,0,639,127,0
127,2,1,17023,127,0
127,2,63,1032831,127,0
127,2,64,1049215,127,0
127,2,255,4178559,127,0
127,2,4095,67093119,127,0
127,2,65535,1073726079,127,0
127,2,262143,4294951551,127,0
127,3,0,895,127,0
127,3,1,17279,127,0
127,3,63,1033087,127,0
127,3,64,1049471,127,0
127,3,255,4178815,127,0
127,3,4095,67093375,127,0
127,3,65535,1073726335,127,0
127,3,262143,4294951807,127,0
127,4,0,1151,127,0
127,4,1,17535,127,0
127,4,63,1033343,127,0
127,4,64,1049727,127,0
127,4,255,4179071,127,0
127,4,4095,67093631,127,0
127,4,65535,1073726591,127,0
127,4,262143,4294952063,127,0
127,5,0,1407,127,0
127,5,1,17791,127,0
127,5,63,1033599,127,0
127,5,64,1049983,127,0
127,5,255,4179327,127,0
127,5,4095,67093887,127,0
127,5,65535,1073726847,127,0
127,5,262143,4294952319,127,0
127,6,0,1663,127,0
127,6,1,18047,127,0
127,6,63,1033855,127,0
127,6,64,1050239,127,0
127,6,255,4179583,127,0
127,6,4095,67094143,127,0
127,6,65535,1073727103,127,0
127,6,262143,4294952575,127,0
127,31,0,8063,127,1
127,31,1,24447,127,1
127,31,63,1040255,127,1
127,31,64,1056639,127,1
127,31,255,4185983,127,1
127,31,4095,67100543,127,1
127,31,65535,1073733503,127,1
127,31,262143,4294958975,127,1
128,0,0,128,128,0
128,0,1,16512,128,0
128,0,63,1032320,128,0
128,0,64,1048704,128,0
128,0,255,4178048,128,0
128,0,4095,67092608,128,0
128,0,65535,1073725568,128,0
128,0,262143,4294951040,128,0
128,1,0,384,128,0
128,1,1,16768,128,0
128,1,63,1032576,128,0
128,1,64,1048960,128,0
128,1,255,4178304,128,0
128,1,4095,67092864,128,0
128,1,65535,1073725824,128,0
128,1,262143,4294951296,128,0
128,2,0,640,128,0
128,2,1,17024,128,0
128,2,63,1032832,128,0
128,2,64,1049216,128,0
128,2,255,4178560,128,0
128,2,4095,67093120,128,0
128,2,65535,1073726080,128,0
128,2,262143,4294951552,128,0
128,3,0,896,128,0
128,3,1,17280,128,0
128,3,63,1033088,128,0
128,3,64,1049472,128,0
128,3,255,4178816,128,0
128,3,4095,67093376,128,0
128,3,65535,1073726336,128,0
128,3,262143,4294951808,128,0
128,4,0,1152,128,0
128,4,1,17536,128,0
