parent_path,pos,key,idx,type,flags,name
,0,0,0,2,0,FORMAT_VERSION
,1,61,0,1,0,AUTOTUNE_LEVEL
,2,264,0,3,0,AUTOTUNE_OPTIONS
,3,94,0,2,0,GCS_PID_MASK
,4,201,0,4,0,KFF_RDDRMIX
,5,203,0,4,0,KFF_THR2PTCH
,6,76,0,4,0,STAB_PITCH_DOWN
,7,75,0,2,0,ALT_SLOPE_MIN
,8,91,0,4,0,ALT_SLOPE_MAXHGT
,9,25,0,1,0,STICK_MIXING
,10,34,0,4,0,TKOFF_THR_MINSPD
,11,35,0,4,0,TKOFF_THR_MINACC
,12,46,0,1,0,TKOFF_THR_DELAY
,13,263,0,4,0,TKOFF_THR_MAX_T
,14,265,0,1,0,TKOFF_THR_MIN
,15,267,0,1,0,TKOFF_THR_IDLE
,16,266,0,3,0,TKOFF_OPTIONS
,17,66,0,1,0,TKOFF_TDRAG_ELEV
,18,67,0,4,0,TKOFF_TDRAG_SPD1
,19,68,0,4,0,TKOFF_ROTATE_SPD
,20,69,0,1,0,TKOFF_THR_SLEW
,21,109,0,4,0,TKOFF_PLIM_SEC
,22,81,0,1,0,TKOFF_FLAP_PCNT
,23,37,0,1,0,LEVEL_ROLL_LIMIT
,24,129,0,3,0,USE_REV_THRUST
,25,32,0,2,0,ALT_OFFSET
,26,223,0,2,0,WP_RADIUS
,27,49,0,2,0,WP_MAX_RADIUS
,28,224,0,2,0,WP_LOITER_RAD
,29,206,0,2,0,RTL_RADIUS
,30,85,0,1,0,STALL_PREVENTION
,31,155,0,4,0,AIRSPEED_CRUISE
,32,120,0,2,0,AIRSPEED_MIN
,33,121,0,2,0,AIRSPEED_MAX
,34,250,0,4,0,AIRSPEED_STALL
,35,123,0,1,0,FBWB_ELEV_REV
,36,73,0,3,0,TERRAIN_FOLLOW
,37,77,0,2,0,TERRAIN_LOOKAHD
,38,125,0,1,0,FBWB_CLIMB_RATE
,39,181,0,1,0,THR_MIN
,40,182,0,1,0,THR_MAX
,41,70,0,1,0,TKOFF_THR_MAX
,42,189,0,1,0,THR_SLEWRATE
,43,82,0,1,0,FLAP_SLEWRATE
,44,190,0,1,0,THR_SUPP_MAN
,45,191,0,1,0,THR_PASS_STAB
,46,183,0,1,0,THR_FAILSAFE
,47,184,0,2,0,THR_FS_VALUE
,48,185,0,1,0,TRIM_THROTTLE
,49,31,0,1,0,THROTTLE_NUDGE
,50,186,0,1,0,FS_SHORT_ACTN
,51,187,0,1,0,FS_LONG_ACTN
,52,196,0,4,0,FS_LONG_TIMEOUT
,53,188,0,1,0,FS_GCS_ENABL
,54,210,0,1,0,FLTMODE_CH
,55,211,0,1,0,FLTMODE1
,56,212,0,1,0,FLTMODE2
,57,213,0,1,0,FLTMODE3
,58,214,0,1,0,FLTMODE4
,59,215,0,1,0,FLTMODE5
,60,216,0,1,0,FLTMODE6
,61,217,0,1,0,INITIAL_MODE
,62,152,0,4,0,ROLL_LIMIT_DEG
,63,153,0,4,0,PTCH_LIM_MAX_DEG
,64,154,0,4,0,PTCH_LIM_MIN_DEG
,65,126,0,2,0,ACRO_ROLL_RATE
,66,127,0,2,0,ACRO_PITCH_RATE
,67,262,0,2,0,ACRO_YAW_RATE
,68,128,0,1,0,ACRO_LOCKING
,69,50,0,4,0,GROUND_STEER_ALT
,70,51,0,2,0,GROUND_STEER_DPS
,71,43,0,4,0,MIXING_GAIN
,72,92,0,1,0,RUDDER_ONLY
,73,248,0,2,0,MIXING_OFFSET
