#throttle
idx,control,mid_stick,thr_hover,out
0,-200,482,1040187392,0
1,-200,482,1040187392,0
2,-200,482,1051931443,0
3,-200,482,1056964608,0
4,-200,482,1060110336,0
5,-200,482,1060110336,0
6,-200,489,1040187392,0
7,-200,489,1040187392,0
8,-200,489,1051931443,0
9,-200,489,1056964608,0
10,-200,489,1060110336,0
11,-200,489,1060110336,0
12,-200,492,1040187392,0
13,-200,492,1040187392,0
14,-200,492,1051931443,0
15,-200,492,1056964608,0
16,-200,492,1060110336,0
17,-200,492,1060110336,0
18,0,482,1040187392,0
19,0,482,1040187392,0
20,0,482,1051931443,0
21,0,482,1056964608,0
22,0,482,1060110336,0
23,0,482,1060110336,0
24,0,489,1040187392,0
25,0,489,1040187392,0
26,0,489,1051931443,0
27,0,489,1056964608,0
28,0,489,1060110336,0
29,0,489,1060110336,0
30,0,492,1040187392,0
31,0,492,1040187392,0
32,0,492,1051931443,0
33,0,492,1056964608,0
34,0,492,1060110336,0
35,0,492,1060110336,0
36,1,482,1040187392,815360828
37,1,482,1040187392,815360828
38,1,482,1051931443,975382794
39,1,482,1056964608,981989249
40,1,482,1060110336,986444605
41,1,482,1060110336,986444605
42,1,489,1040187392,814935191
43,1,489,1040187392,814935191
44,1,489,1051931443,975229724
45,1,489,1056964608,981861692
46,1,489,1060110336,986253269
47,1,489,1060110336,986253269
48,1,492,1040187392,814760125
49,1,492,1040187392,814760125
50,1,492,1051931443,975165457
51,1,492,1056964608,981808136
52,1,492,1060110336,986172935
53,1,492,1060110336,986172935
54,250,482,1040187392,1015996906
55,250,482,1040187392,1015996906
56,250,482,1051931443,1042709233
57,250,482,1056964608,1048889268
58,250,482,1060110336,1052947583
59,250,482,1060110336,1052947583
60,250,489,1040187392,1015600501
61,250,489,1040187392,1015600501
62,250,489,1051931443,1042539932
63,250,489,1056964608,1048764701
64,250,489,1060110336,1052773120
65,250,489,1060110336,1052773120
66,250,492,1040187392,1015437458
67,250,492,1040187392,1015437458
68,250,492,1051931443,1042469019
69,250,492,1056964608,1048712400
70,250,492,1060110336,1052699763
71,250,492,1060110336,1052699763
72,499,482,1040187392,1041040700
73,499,482,1040187392,1041040700
74,499,482,1051931443,1052432467
75,499,482,1056964608,1057239910
76,499,482,1060110336,1060416626
77,499,482,1060110336,1060416626
78,499,489,1040187392,1040689576
79,499,489,1040187392,1040689576
80,499,489,1051931443,1052228873
81,499,489,1056964608,1057128769
82,499,489,1060110336,1060293805
83,499,489,1060110336,1060293805
84,499,492,1040187392,1040538966
85,499,492,1040187392,1040538966
86,499,492,1051931443,1052140467
87,499,492,1056964608,1057080199
88,499,492,1060110336,1060239775
89,499,492,1060110336,1060239775
90,500,482,1040187392,1041092619
91,500,482,1040187392,1041092619
92,500,482,1051931443,1052462284
93,500,482,1056964608,1057256104
94,500,482,1060110336,1060434427
95,500,482,1060110336,1060434427
96,500,489,1040187392,1040740868
97,500,489,1040187392,1040740868
98,500,489,1051931443,1052258831
99,500,489,1056964608,1057145185
100,500,489,1060110336,1060312018
101,500,489,1060110336,1060312018
102,500,492,1040187392,1040589978
103,500,492,1040187392,1040589978
104,500,492,1051931443,1052170486
105,500,492,1056964608,1057096712
106,500,492,1060110336,1060258169
107,500,492,1060110336,1060258169
108,501,482,1040187392,1041144734
109,501,482,1040187392,1041144734
110,501,482,1051931443,1052492140
111,501,482,1056964608,1057272298
112,501,482,1060110336,1060452203
113,501,482,1060110336,1060452203
114,501,489,1040187392,1040792358
115,501,489,1040187392,1040792358
116,501,489,1051931443,1052288829
117,501,489,1056964608,1057161601
118,501,489,1060110336,1060330205
119,501,489,1060110336,1060330205
120,501,492,1040187392,1040641189
121,501,492,1040187392,1040641189
122,501,492,1051931443,1052200543
123,501,492,1056964608,1057113225
124,501,492,1060110336,1060276537
125,501,492,1060110336,1060276537
126,750,482,1040187392,1054840787
127,750,482,1040187392,1054840787
128,750,482,1051931443,1059143876
129,750,482,1056964608,1061304660
130,750,482,1060110336,1064005641
131,750,482,1060110336,1064005641
132,750,489,1040187392,1054650082
133,750,489,1040187392,1054650082
134,750,489,1051931443,1059072458
135,750,489,1056964608,1061249200
136,750,489,1060110336,1063970128
137,750,489,1060110336,1063970128
138,750,492,1040187392,1054567266
139,750,492,1040187392,1054567266
140,750,492,1051931443,1059041353
141,750,492,1056964608,1061224964
142,750,492,1060110336,1063954478
143,750,492,1060110336,1063954478
144,1000,482,1040187392,1065353216
145,1000,482,1040187392,1065353216
146,1000,482,1051931443,1065353216
147,1000,482,1056964608,1065353216
148,1000,482,1060110336,1065353216
149,1000,482,1060110336,1065353216
150,1000,489,1040187392,1065353216
151,1000,489,1040187392,1065353216
152,1000,489,1051931443,1065353216
153,1000,489,1056964608,1065353216
154,1000,489,1060110336,1065353216
155,1000,489,1060110336,1065353216
156,1000,492,1040187392,1065353216
157,1000,492,1040187392,1065353216
158,1000,492,1051931443,1065353216
159,1000,492,1056964608,1065353216
160,1000,492,1060110336,1065353216
161,1000,492,1060110336,1065353216
162,1200,482,1040187392,1065353216
163,1200,482,1040187392,1065353216
164,1200,482,1051931443,1065353216
165,1200,482,1056964608,1065353216
166,1200,482,1060110336,1065353216
167,1200,482,1060110336,1065353216
168,1200,489,1040187392,1065353216
169,1200,489,1040187392,1065353216
170,1200,489,1051931443,1065353216
171,1200,489,1056964608,1065353216
172,1200,489,1060110336,1065353216
173,1200,489,1060110336,1065353216
174,1200,492,1040187392,1065353216
175,1200,492,1040187392,1065353216
176,1200,492,1051931443,1065353216
177,1200,492,1056964608,1065353216
178,1200,492,1060110336,1065353216
179,1200,492,1060110336,1065353216
#throttle_degenerate
idx,control,mid_stick,thr_hover,out
0,0,1000,1048576000,0
1,0,1000,1056964608,0
2,0,1000,1060110336,0
3,500,1000,1048576000,1035993087
4,500,1000,1056964608,1048576000
