#fence_recovery
idx,control_reason,previous_reason,out
0,0,0,0
1,0,10,0
2,0,2,0
3,0,40,0
4,0,39,0
5,0,44,0
6,0,49,0
7,0,26,0
8,10,0,1
9,10,10,1
10,10,2,1
11,10,40,1
12,10,39,1
13,10,44,1
14,10,49,1
15,10,26,1
16,2,0,0
17,2,10,0
18,2,2,0
19,2,40,0
20,2,39,0
21,2,44,0
22,2,49,0
23,2,26,0
24,40,0,0
25,40,10,1
26,40,2,0
27,40,40,0
28,40,39,0
29,40,44,0
30,40,49,0
31,40,26,0
32,39,0,0
33,39,10,1
34,39,2,0
35,39,40,0
36,39,39,0
37,39,44,0
38,39,49,0
39,39,26,0
40,44,0,0
41,44,10,1
42,44,2,0
43,44,40,0
44,44,39,0
45,44,44,0
46,44,49,0
47,44,26,0
48,49,0,0
49,49,10,1
50,49,2,0
51,49,40,0
52,49,39,0
53,49,44,0
54,49,49,0
55,49,26,0
56,26,0,0
57,26,10,0
58,26,2,0
59,26,40,0
60,26,39,0
61,26,44,0
62,26,49,0
63,26,26,0
#set_mode
idx,target,reason,gcs_enabled,is_vtol,soft_armed,fence_enabled,fence_option,fence_breached,in_fence_recovery,before_control,before_previous,before_control_reason,before_previous_reason,ok,after_control,after_previous,after_control_reason,after_previous_reason,message
0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
1,0,1,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
2,0,1,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
3,0,1,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
4,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
5,0,1,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
6,0,1,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
7,0,1,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
8,0,1,1,0,0,0,0,0,0,5,0,1,0,1,0,5,1,1,-
9,0,1,1,0,0,0,0,0,0,5,0,1,10,1,0,5,1,1,-
10,0,1,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
11,0,1,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
12,0,1,1,0,0,0,0,0,0,5,0,1,0,1,0,5,1,1,-
13,0,1,1,0,0,0,0,0,0,5,0,1,10,1,0,5,1,1,-
14,0,1,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
15,0,1,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
16,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
17,0,2,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
18,0,2,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
19,0,2,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
20,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-
21,0,2,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,10,-
22,0,2,1,0,1,1,1,1,1,0,0,10,0,1,0,0,10,0,-
23,0,2,1,0,1,1,1,1,1,0,0,10,10,1,0,0,10,10,-
24,0,2,1,0,0,0,0,0,0,5,0,1,0,1,0,5,2,1,-
25,0,2,1,0,0,0,0,0,0,5,0,1,10,1,0,5,2,1,-
26,0,2,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
27,0,2,1,0,1,1,1,1,1,5,0,10,10,0,5,0,10,10,in fence recovery
28,0,2,1,0,0,0,0,0,0,5,0,1,0,1,0,5,2,1,-
29,0,2,1,0,0,0,0,0,0,5,0,1,10,1,0,5,2,1,-
30,0,2,1,0,1,1,1,1,1,5,0,10,0,0,5,0,10,0,in fence recovery
