#entry
idx,mode,pitch_cd,is_vtol,ok,inverted_flight,waiting_rudder,next_wp_crosstrack,checked_for_autoland,locked_course,locked_course_err,is_crashed,impact_detected,highest_airspeed,initial_pitch_cd,fbwa_tdrag,rotation_complete,loiter_start_ms,vtol_mode,vtol_loiter,new_airspeed_cm,long_fs_pending,idle_mode,throttle_suppressed,does_auto_throttle
0,0,-4500,0,1,0,0,0,0,0,0,0,0,0,-4500,0,0,0,0,0,-1,0,0,0,0
1,0,-137,0,1,0,0,0,0,0,0,0,0,0,-137,0,0,0,0,0,-1,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
3,0,250,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,-1,0,0,0,0
4,0,8999,0,1,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,0,-1,0,0,0,0
5,5,-4500,0,1,0,0,0,0,0,0,0,0,0,-4500,0,0,0,0,0,-1,0,0,0,0
6,5,-137,0,1,0,0,0,0,0,0,0,0,0,-137,0,0,0,0,0,-1,0,0,0,0
7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
8,5,250,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,-1,0,0,0,0
9,5,8999,0,1,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,0,-1,0,0,0,0
10,7,-4500,0,1,0,0,0,0,0,0,0,0,0,-4500,0,0,0,0,0,-1,0,0,1,1
11,7,-137,0,1,0,0,0,0,0,0,0,0,0,-137,0,0,0,0,0,-1,0,0,1,1
12,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1
13,7,250,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,-1,0,0,1,1
14,7,8999,0,1,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,0,-1,0,0,1,1
15,3,-4500,0,1,0,0,0,0,0,0,0,0,0,-4500,0,0,0,0,0,-1,0,0,0,0
16,3,-137,0,1,0,0,0,0,0,0,0,0,0,-137,0,0,0,0,0,-1,0,0,0,0
17,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
18,3,250,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,-1,0,0,0,0
19,3,8999,0,1,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,0,-1,0,0,0,0
20,4,-4500,0,1,0,0,0,0,0,0,0,0,0,-4500,0,0,0,0,0,-1,0,0,0,0
21,4,-137,0,1,0,0,0,0,0,0,0,0,0,-137,0,0,0,0,0,-1,0,0,0,0
22,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
23,4,250,0,1,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,-1,0,0,0,0
24,4,8999,0,1,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,0,-1,0,0,0,0
