#target_altitude
idx,flaring,on_approach,landing_target,soaring,loiter_reached,terrain_alt,terrain_ok,offset_cm,past_finish,glide_slope,reset_offset,set_location,set_proportion,constrain,terrain_calls,set_location_alt
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7700
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7700
2,0,0,0,0,0,0,0,-1500,0,0,0,0,1,1,0,-1
3,0,0,0,0,0,0,0,-1500,1,0,0,1,0,0,0,7700
4,0,0,0,0,0,0,0,2500,0,0,0,0,1,1,0,-1
5,0,0,0,0,0,0,0,2500,1,0,0,1,0,0,0,7700
6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7700
7,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,7700
8,0,0,0,0,0,0,1,-1500,0,0,0,0,1,1,0,-1
9,0,0,0,0,0,0,1,-1500,1,0,0,1,0,0,0,7700
10,0,0,0,0,0,0,1,2500,0,0,0,0,1,1,0,-1
11,0,0,0,0,0,0,1,2500,1,0,0,1,0,0,0,7700
12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,7700
13,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,7700
14,0,0,0,0,0,1,0,-1500,0,0,0,0,1,1,1,-1
15,0,0,0,0,0,1,0,-1500,1,0,0,1,0,0,1,7700
16,0,0,0,0,0,1,0,2500,0,0,0,0,1,1,1,-1
17,0,0,0,0,0,1,0,2500,1,0,0,1,0,0,1,7700
18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1
19,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,-1
20,0,0,0,0,0,1,1,-1500,0,0,0,0,0,0,1,-1
21,0,0,0,0,0,1,1,-1500,1,0,0,0,0,0,1,-1
22,0,0,0,0,0,1,1,2500,0,0,0,0,0,0,1,-1
23,0,0,0,0,0,1,1,2500,1,0,0,0,0,0,1,-1
24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7700
25,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,7700
26,0,0,0,0,1,0,0,-1500,0,0,0,1,0,0,0,7700
27,0,0,0,0,1,0,0,-1500,1,0,0,1,0,0,0,7700
28,0,0,0,0,1,0,0,2500,0,0,0,1,0,0,0,7700
29,0,0,0,0,1,0,0,2500,1,0,0,1,0,0,0,7700
30,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7700
31,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,7700
32,0,0,0,0,1,0,1,-1500,0,0,0,1,0,0,0,7700
33,0,0,0,0,1,0,1,-1500,1,0,0,1,0,0,0,7700
34,0,0,0,0,1,0,1,2500,0,0,0,1,0,0,0,7700
35,0,0,0,0,1,0,1,2500,1,0,0,1,0,0,0,7700
36,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7700
37,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,7700
38,0,0,0,0,1,1,0,-1500,0,0,0,1,0,0,0,7700
39,0,0,0,0,1,1,0,-1500,1,0,0,1,0,0,0,7700
40,0,0,0,0,1,1,0,2500,0,0,0,1,0,0,0,7700
41,0,0,0,0,1,1,0,2500,1,0,0,1,0,0,0,7700
42,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,7700
43,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,7700
44,0,0,0,0,1,1,1,-1500,0,0,0,1,0,0,0,7700
45,0,0,0,0,1,1,1,-1500,1,0,0,1,0,0,0,7700
46,0,0,0,0,1,1,1,2500,0,0,0,1,0,0,0,7700
47,0,0,0,0,1,1,1,2500,1,0,0,1,0,0,0,7700
48,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4242
49,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4242
50,0,0,1,0,0,0,0,-1500,0,0,0,1,0,0,0,4242
51,0,0,1,0,0,0,0,-1500,1,0,0,1,0,0,0,4242
52,0,0,1,0,0,0,0,2500,0,0,0,1,0,0,0,4242
53,0,0,1,0,0,0,0,2500,1,0,0,1,0,0,0,4242
54,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4242
55,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,4242
56,0,0,1,0,0,0,1,-1500,0,0,0,1,0,0,0,4242
57,0,0,1,0,0,0,1,-1500,1,0,0,1,0,0,0,4242
58,0,0,1,0,0,0,1,2500,0,0,0,1,0,0,0,4242
59,0,0,1,0,0,0,1,2500,1,0,0,1,0,0,0,4242
60,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4242
61,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,4242
62,0,0,1,0,0,1,0,-1500,0,0,0,1,0,0,0,4242
63,0,0,1,0,0,1,0,-1500,1,0,0,1,0,0,0,4242
64,0,0,1,0,0,1,0,2500,0,0,0,1,0,0,0,4242
65,0,0,1,0,0,1,0,2500,1,0,0,1,0,0,0,4242
66,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,4242
67,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,4242
68,0,0,1,0,0,1,1,-1500,0,0,0,1,0,0,0,4242
69,0,0,1,0,0,1,1,-1500,1,0,0,1,0,0,0,4242
70,0,0,1,0,0,1,1,2500,0,0,0,1,0,0,0,4242
71,0,0,1,0,0,1,1,2500,1,0,0,1,0,0,0,4242
72,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4242
73,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,4242
74,0,0,1,0,1,0,0,-1500,0,0,0,1,0,0,0,4242
75,0,0,1,0,1,0,0,-1500,1,0,0,1,0,0,0,4242
76,0,0,1,0,1,0,0,2500,0,0,0,1,0,0,0,4242
77,0,0,1,0,1,0,0,2500,1,0,0,1,0,0,0,4242
78,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,4242
79,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,4242
80,0,0,1,0,1,0,1,-1500,0,0,0,1,0,0,0,4242
81,0,0,1,0,1,0,1,-1500,1,0,0,1,0,0,0,4242
82,0,0,1,0,1,0,1,2500,0,0,0,1,0,0,0,4242
83,0,0,1,0,1,0,1,2500,1,0,0,1,0,0,0,4242
84,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,4242
85,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,4242
86,0,0,1,0,1,1,0,-1500,0,0,0,1,0,0,0,4242
87,0,0,1,0,1,1,0,-1500,1,0,0,1,0,0,0,4242
88,0,0,1,0,1,1,0,2500,0,0,0,1,0,0,0,4242
89,0,0,1,0,1,1,0,2500,1,0,0,1,0,0,0,4242
90,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,4242
91,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,4242
92,0,0,1,0,1,1,1,-1500,0,0,0,1,0,0,0,4242
93,0,0,1,0,1,1,1,-1500,1,0,0,1,0,0,0,4242
94,0,0,1,0,1,1,1,2500,0,0,0,1,0,0,0,4242
95,0,0,1,0,1,1,1,2500,1,0,0,1,0,0,0,4242
96,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
