#throttle_rules
idx,mode,is_guided,thr_pass_stab,guided_passthru,use_limits,use_battery_comp
0,0,0,0,0,0,0
1,0,0,0,1,0,0
2,0,0,1,0,0,0
3,0,0,1,1,0,0
4,1,0,0,0,1,1
5,1,0,0,1,1,1
6,1,0,1,0,1,1
7,1,0,1,1,1,1
8,2,0,0,0,1,0
9,2,0,0,1,1,0
10,2,0,1,0,0,0
11,2,0,1,1,0,0
12,3,0,0,0,1,0
13,3,0,0,1,1,0
14,3,0,1,0,0,0
15,3,0,1,1,0,0
16,4,0,0,0,1,0
17,4,0,0,1,1,0
18,4,0,1,0,0,0
19,4,0,1,1,0,0
20,5,0,0,0,1,0
21,5,0,0,1,1,0
22,5,0,1,0,0,0
23,5,0,1,1,0,0
24,6,0,0,0,1,1
25,6,0,0,1,1,1
26,6,0,1,0,1,1
27,6,0,1,1,1,1
28,7,0,0,0,1,1
29,7,0,0,1,1,1
30,7,0,1,0,1,1
31,7,0,1,1,1,1
32,8,0,0,0,1,0
33,8,0,0,1,1,0
34,8,0,1,0,0,0
35,8,0,1,1,0,0
36,10,0,0,0,1,1
37,10,0,0,1,1,1
38,10,0,1,0,1,1
39,10,0,1,1,1,1
40,11,0,0,0,1,1
41,11,0,0,1,1,1
42,11,0,1,0,1,1
43,11,0,1,1,1,1
44,12,0,0,0,1,1
45,12,0,0,1,1,1
46,12,0,1,0,1,1
47,12,0,1,1,1,1
48,13,0,0,0,1,1
49,13,0,0,1,1,1
50,13,0,1,0,1,1
51,13,0,1,1,1,1
52,15,1,0,0,1,1
53,15,1,0,1,0,0
54,15,1,1,0,1,1
55,15,1,1,1,0,0
