#rot
rotation,probe,rejected,x,y,z
0,0,0,1065353216,0,0
0,1,0,0,1065353216,0
0,2,0,0,0,1065353216
0,3,0,1065353216,1073741824,1077936128
0,4,0,3227516928,1088946176,3241279488
0,5,0,1621981420,1065353216,3212836864
0,6,0,1123477881,3292872901,981467136
1,0,0,1060439283,1060439283,0
1,1,0,3207922931,1060439283,0
1,2,0,0,0,1065353216
1,3,0,3207922931,1074250678,1077936128
1,4,0,3237166759,1076475044,3241279488
1,5,0,1618301875,1618301875,3212836864
1,6,0,1143033239,3286978369,981467136
2,0,0,2147483648,1065353216,0
2,1,0,3212836864,0,0
2,2,0,2147483648,0,1065353216
2,3,0,3221225472,1065353216,1077936128
2,4,0,3236429824,3227516928,3241279488
2,5,0,3212836864,1621981420,3212836864
2,6,0,1145389253,1123477881,981467136
3,0,0,3207922931,1060439283,0
3,1,0,3207922931,3207922931,0
3,2,0,2147483648,0,1065353216
3,3,0,3221734326,3207922931,1077936128
3,4,0,3223958692,3237166759,3241279488
3,5,0,3765785523,1618301875,3212836864
3,6,0,1139494721,1143033239,981467136
4,0,0,3212836864,2147483648,0
4,1,0,2147483648,3212836864,0
4,2,0,2147483648,2147483648,1065353216
4,3,0,3212836864,3221225472,1077936128
4,4,0,1080033280,3236429824,3241279488
4,5,0,3769465068,3212836864,3212836864
4,6,0,3270961529,1145389253,981467136
5,0,0,3207922931,3207922931,0
5,1,0,1060439283,3207922931,0
5,2,0,0,2147483648,1065353216
5,3,0,1060439283,3221734326,1077936128
5,4,0,1089683111,3223958692,3241279488
5,5,0,3765785523,3765785523,3212836864
5,6,0,3290516887,1139494721,981467136
6,0,0,0,3212836864,0
6,1,0,1065353216,2147483648,0
6,2,0,0,2147483648,1065353216
6,3,0,1073741824,3212836864,1077936128
6,4,0,1088946176,1080033280,3241279488
6,5,0,1065353216,3769465068,3212836864
6,6,0,3292872901,3270961529,981467136
7,0,0,1060439283,3207922931,0
7,1,0,1060439283,1060439283,0
7,2,0,0,0,1065353216
7,3,0,1074250678,1060439283,1077936128
7,4,0,1076475044,1089683111,3241279488
7,5,0,1618301875,3765785523,3212836864
7,6,0,3286978369,3290516887,981467136
8,0,0,1065353216,2147483648,2147483648
8,1,0,0,3212836864,2147483648
8,2,0,0,2147483648,3212836864
8,3,0,1065353216,3221225472,3225419776
8,4,0,3227516928,3236429824,1093795840
8,5,0,1621981420,3212836864,1065353216
8,6,0,1123477881,1145389253,3128950784
9,0,0,1060439283,1060439283,2147483648
9,1,0,1060439283,3207922931,2147483648
9,2,0,0,0,3212836864
9,3,0,1074250678,3207922931,3225419776
9,4,0,1076475044,3237166759,1093795840
9,5,0,1618301875,1618301875,1065353216
9,6,0,3286978369,1143033239,3128950784
10,0,0,0,1065353216,2147483648
10,1,0,1065353216,0,2147483648
10,2,0,0,0,3212836864
10,3,0,1073741824,1065353216,3225419776
10,4,0,1088946176,3227516928,1093795840
10,5,0,1065353216,1621981420,1065353216
10,6,0,3292872901,1123477881,3128950784
11,0,0,3207922931,1060439283,2147483648
11,1,0,1060439283,1060439283,2147483648
11,2,0,0,0,3212836864
11,3,0,1060439283,1074250678,3225419776
11,4,0,1089683111,1076475044,1093795840
11,5,0,3765785523,1618301875,1065353216
11,6,0,3290516887,3286978369,3128950784
12,0,0,3212836864,0,2147483648
12,1,0,2147483648,1065353216,2147483648
12,2,0,2147483648,0,3212836864
12,3,0,3212836864,1073741824,3225419776
12,4,0,1080033280,1088946176,1093795840
12,5,0,3769465068,1065353216,1065353216
12,6,0,3270961529,3292872901,3128950784
13,0,0,3207922931,3207922931,2147483648
13,1,0,3207922931,1060439283,2147483648
13,2,0,2147483648,0,3212836864
13,3,0,3221734326,1060439283,3225419776
13,4,0,3223958692,1089683111,1093795840
13,5,0,3765785523,3765785523,1065353216
13,6,0,1139494721,3290516887,3128950784
14,0,0,2147483648,3212836864,2147483648
14,1,0,3212836864,2147483648,2147483648
14,2,0,2147483648,2147483648,3212836864
14,3,0,3221225472,3212836864,3225419776
14,4,0,3236429824,1080033280,1093795840
14,5,0,3212836864,3769465068,1065353216
14,6,0,1145389253,3270961529,3128950784
15,0,0,1060439283,3207922931,2147483648
15,1,0,3207922931,3207922931,2147483648
15,2,0,0,2147483648,3212836864
15,3,0,3207922931,3221734326,3225419776
15,4,0,3237166759,3223958692,1093795840
15,5,0,1618301875,3765785523,1065353216
15,6,0,1143033239,1139494721,3128950784
16,0,0,1065353216,2147483648,0
16,1,0,0,2147483648,1065353216
16,2,0,0,3212836864,0
16,3,0,1065353216,3225419776,1073741824
16,4,0,3227516928,1093795840,1088946176
16,5,0,1621981420,1065353216,1065353216
16,6,0,1123477881,3128950784,3292872901
17,0,0,1060439283,1060439283,0
17,1,0,0,0,1065353216
17,2,0,1060439283,3207922931,0
17,3,0,1077216499,3216311539,1073741824
17,4,0,3240457862,1085049016,1088946176
17,5,0,1618301875,1618301875,1065353216
17,6,0,1118738483,1118738302,3292872901
18,0,0,0,1065353216,0
18,1,0,0,0,1065353216
18,2,0,1065353216,0,0
18,3,0,1077936128,1065353216,1073741824
18,4,0,3241279488,3227516928,1088946176
18,5,0,3212836864,1621981420,1065353216
18,6,0,981467136,1123477881,3292872901
19,0,0,3207922931,1060439283,0
19,1,0,2147483648,0,1065353216
19,2,0,1060439283,1060439283,0
19,3,0,1068827891,1077216499,1073741824
19,4,0,3232532664,3240457862,1088946176
19,5,0,3765785523,1618301875,1065353216
19,6,0,3266221950,1118738483,3292872901
20,0,0,1065353216,0,2147483648
20,1,0,0,0,3212836864
20,2,0,0,1065353216,2147483648
20,3,0,1065353216,1077936128,3221225472
20,4,0,3227516928,3241279488,3236429824
20,5,0,1621981420,3212836864,3212836864
20,6,0,1123477881,981467136,1145389253
21,0,0,1060439283,1060439283,2147483648
21,1,0,0,0,3212836864
21,2,0,3207922931,1060439283,2147483648
21,3,0,3216311539,1077216499,3221225472
21,4,0,1085049016,3240457862,3236429824
21,5,0,1618301875,1618301875,3212836864
21,6,0,1118738302,1118738483,1145389253
22,0,0,2147483648,1065353216,2147483648
22,1,0,2147483648,0,3212836864
22,2,0,3212836864,0,2147483648
22,3,0,3225419776,1065353216,3221225472
22,4,0,1093795840,3227516928,3236429824
22,5,0,1065353216,1621981420,3212836864
22,6,0,3128950784,1123477881,1145389253
23,0,0,3207922931,1060439283,2147483648
23,1,0,2147483648,0,3212836864
23,2,0,3207922931,3207922931,2147483648
23,3,0,3224700147,3216311539,3221225472
23,4,0,1092974214,1085049016,3236429824
23,5,0,3765785523,1618301875,3212836864
23,6,0,3266222131,1118738302,1145389253
24,0,0,0,0,3212836864
24,1,0,0,1065353216,2147483648
24,2,0,1065353216,0,2147483648
24,3,0,1077936128,1073741824,3212836864
24,4,0,3241279488,1088946176,1080033280
24,5,0,3212836864,1065353216,3769465068
24,6,0,981467136,3292872901,3270961529
25,0,0,2147483648,0,1065353216
25,1,0,2147483648,1065353216,0
25,2,0,3212836864,0,0
25,3,0,3225419776,1073741824,1065353216
25,4,0,1093795840,1088946176,3227516928
25,5,0,1065353216,1065353216,1621981420
25,6,0,3128950784,3292872901,1123477881
26,0,0,2147483648,3212836864,2147483648
26,1,0,3212836864,2147483648,2147483648
26,2,0,2147483648,2147483648,3212836864
26,3,0,3221225472,3212836864,3225419776
26,4,0,3236429824,1080033280,1093795840
26,5,0,3212836864,3769465068,1065353216
26,6,0,1145389253,3270961529,3128950784
27,0,0,0,1065353216,2147483648
27,1,0,1065353216,0,2147483648
27,2,0,0,0,3212836864
27,3,0,1073741824,1065353216,3225419776
27,4,0,1088946176,3227516928,1093795840
27,5,0,1065353216,1621981420,1065353216
27,6,0,3292872901,1123477881,3128950784
28,0,0,0,2147483648,3212836864
28,1,0,1065353216,2147483648,2147483648
28,2,0,0,3212836864,2147483648
28,3,0,1073741824,3225419776,3212836864
28,4,0,1088946176,1093795840,1080033280
28,5,0,1065353216,1065353216,3769465068
28,6,0,3292872901,3128950784,3270961529
29,0,0,2147483648,2147483648,3212836864
29,1,0,2147483648,3212836864,2147483648
29,2,0,3212836864,2147483648,2147483648
29,3,0,3225419776,3221225472,3212836864
29,4,0,1093795840,3236429824,1080033280
29,5,0,1065353216,3212836864,3769465068
29,6,0,3128950784,1145389253,3270961529
30,0,0,2147483648,0,3212836864
30,1,0,3212836864,0,2147483648
30,2,0,2147483648,1065353216,2147483648
30,3,0,3221225472,1077936128,3212836864
30,4,0,3236429824,3241279488,1080033280
30,5,0,3212836864,3212836864,3769465068
30,6,0,1145389253,981467136,3270961529
31,0,0,3212836864,2147483648,2147483648
31,1,0,2147483648,2147483648,3212836864
31,2,0,2147483648,3212836864,2147483648
31,3,0,3212836864,3225419776,3221225472
31,4,0,1080033280,1093795840,3236429824
31,5,0,3769465068,1065353216,3212836864
31,6,0,3270961529,3128950784,1145389253
32,0,0,3212836864,0,0
32,1,0,2147483648,0,1065353216
32,2,0,2147483648,1065353216,0
32,3,0,3212836864,1077936128,1073741824
32,4,0,1080033280,3241279488,1088946176
32,5,0,3769465068,3212836864,1065353216
32,6,0,3270961529,981467136,3292872901
33,0,0,2147483648,2147483648,1065353216
33,1,0,3212836864,2147483648,0
33,2,0,2147483648,3212836864,0
33,3,0,3221225472,3225419776,1065353216
33,4,0,3236429824,1093795840,3227516928
33,5,0,3212836864,1065353216,1621981420
33,6,0,1145389253,3128950784,1123477881
34,0,0,0,2147483648,1065353216
34,1,0,0,3212836864,0
34,2,0,1065353216,2147483648,0
34,3,0,1077936128,3221225472,1065353216
34,4,0,3241279488,3236429824,3227516928
34,5,0,3212836864,3212836864,1621981420
34,6,0,981467136,1145389253,1123477881
35,0,0,0,0,1065353216
35,1,0,1065353216,0,0
35,2,0,0,1065353216,0
35,3,0,1073741824,1077936128,1065353216
35,4,0,1088946176,3241279488,3227516928
35,5,0,1065353216,3212836864,1621981420
35,6,0,3292872901,981467136,1123477881
36,0,0,0,3212836864,2147483648
36,1,0,0,2147483648,3212836864
36,2,0,1065353216,2147483648,2147483648
36,3,0,1077936128,3212836864,3221225472
36,4,0,3241279488,1080033280,3236429824
36,5,0,3212836864,3769465068,3212836864
36,6,0,981467136,3270961529,1145389253
37,0,0,2147483648,3212836864,0
37,1,0,2147483648,2147483648,1065353216
37,2,0,3212836864,2147483648,0
37,3,0,3225419776,3212836864,1073741824
37,4,0,1093795840,1080033280,1088946176
37,5,0,1065353216,3769465068,1065353216
37,6,0,3128950784,3270961529,3292872901
38,0,0,1041397967,3198815567,3211701446
38,1,0,1052561478,3210425801,1052321499
38,2,0,3211468621,3200943345,600587254
38,3,0,3220174775,3226390120,3193313196
38,4,0,1095123032,3206884136,1086083378
38,5,0,1598456231,3756422819,3768695679
38,6,0,3280512973,1142859670,3284678316
39,0,0,1060439283,0,1060439283
39,1,0,0,1065353216,0
39,2,0,3207922931,0,1060439283
39,3,0,3216311539,1073741824,1077216499
39,4,0,1085049016,1088946176,3240457862
39,5,0,1618301875,1065353216,1618301875
39,6,0,1118738302,3292872901,1118738483
40,0,0,1060439283,2147483648,1060439283
40,1,0,3207922931,2147483648,1060439283
40,2,0,0,3212836864,0
40,3,0,3207922931,3225419776,1074250678
40,4,0,3237166759,1093795840,1076475044
40,5,0,1618301875,1065353216,1618301875
40,6,0,1143033239,3128950784,3286978369
41,0,0,1065228161,0,3187250850
41,1,0,0,1065353216,0
41,2,0,1039767202,0,1065228161
41,3,0,1068357631,1073741824,1077331180
41,4,0,3231354104,1088946176,3240745274
41,5,0,1621896679,1065353216,3744014512
41,6,0,1123357281,3292872901,3245389416
42,0,0,1065353216,0,0
42,1,0,0,1060439283,1060439283
42,2,0,0,3207922931,1060439283
42,3,0,1065353216,3207922931,1080182320
42,4,0,3227516928,1095754671,3224329419
42,5,0,1621981420,1068827891,0
42,6,0,1123477881,3289086631,3289086608
43,0,0,1065353216,0,0
43,1,0,0,1060439283,3207922931
43,2,0,0,1060439283,1060439283
43,3,0,1065353216,1080182320,1060439283
43,4,0,3227516928,3224329419,3243238319
43,5,0,1621981420,0,3216311539
43,6,0,1123477881,3289086608,1141602983
44,0,1,1065353216,0,0
44,1,1,0,1065353216,0
44,2,1,0,0,1065353216
44,3,1,1065353216,1073741824,1077936128
44,4,1,3227516928,1088946176,3241279488
44,5,1,1621981420,1065353216,3212836864
44,6,1,1123477881,3292872901,981467136
45,0,1,1065353216,0,0
45,1,1,0,1065353216,0
45,2,1,0,0,1065353216
45,3,1,1065353216,1073741824,1077936128
45,4,1,3227516928,1088946176,3241279488
45,5,1,1621981420,1065353216,3212836864
45,6,1,1123477881,3292872901,981467136
46,0,1,1065353216,0,0
46,1,1,0,1065353216,0
46,2,1,0,0,1065353216
46,3,1,1065353216,1073741824,1077936128
46,4,1,3227516928,1088946176,3241279488
46,5,1,1621981420,1065353216,3212836864
46,6,1,1123477881,3292872901,981467136
47,0,1,1065353216,0,0
47,1,1,0,1065353216,0
47,2,1,0,0,1065353216
