#wrap
fn,in,out
wrap_360,0,0
wrap_180,0,0
wrap_360,2147483648,2147483648
wrap_180,2147483648,2147483648
wrap_360,1065353216,1065353216
wrap_180,1065353216,1065353216
wrap_360,3212836864,1135837184
wrap_180,3212836864,3212836864
wrap_360,1127474790,1127474790
wrap_180,1127474790,1127474790
wrap_360,1127481344,1127481344
wrap_180,1127481344,1127481344
wrap_360,1127487898,1127487898
wrap_180,1127487898,3274958438
wrap_360,1135866675,1135866675
wrap_180,1135866675,3184316416
wrap_360,1135869952,0
wrap_180,1135869952,0
wrap_360,1135873229,1036832768
wrap_180,1135873229,1036832768
wrap_360,3274958438,1127487898
wrap_180,3274958438,3274958438
wrap_360,3274964992,1127481344
wrap_180,3274964992,1127481344
wrap_360,3274971546,1127474790
wrap_180,3274971546,1127474790
wrap_360,3283350323,1036832768
wrap_180,3283350323,1036832768
wrap_360,3283353600,2147483648
wrap_180,3283353600,2147483648
wrap_360,3283356877,1135866675
wrap_180,3283356877,3184316416
wrap_360,1144258560,0
wrap_180,1144258560,0
wrap_360,3291742208,2147483648
wrap_180,3291742208,2147483648
wrap_360,1232348160,1133248512
wrap_180,1232348160,3265265664
wrap_360,3379831808,1117782016
wrap_180,3379831808,1117782016
wrap_360,981668463,981668463
wrap_180,981668463,981668463
wrap_360,3129152111,1135869919
wrap_180,3129152111,3129212928
wrap_360,1110835200,1110835200
wrap_180,1110835200,1110835200
wrap_360,3258318848,1134379008
wrap_180,3258318848,3258318848
wrap_360,841731191,841731191
wrap_180,841731191,841731191
wrap_360,1206984805,1135109376
wrap_180,1206984805,3250171904
wrap_2PI,0,0
wrap_PI,0,0
wrap_2PI,1065353216,1065353216
wrap_PI,1065353216,1065353216
wrap_2PI,3212836864,1084821467
wrap_PI,3212836864,3212836864
wrap_2PI,1078530011,1078530011
wrap_PI,1078530011,1078530011
wrap_2PI,3226013659,1078530011
wrap_PI,3226013659,1078530011
wrap_2PI,1078774989,1078774989
wrap_PI,1078774989,3225768681
wrap_2PI,3226258637,1078285033
wrap_PI,3226258637,1078285033
wrap_2PI,1086918619,0
wrap_PI,1086918619,0
wrap_2PI,3234402267,2147483648
wrap_PI,3234402267,2147483648
wrap_2PI,1086953882,1015660288
wrap_PI,1086953882,1015660288
wrap_2PI,3234437530,1086883356
wrap_PI,3234437530,3163143936
wrap_2PI,1095237632,1086779429
wrap_PI,1095237632,3179801984
wrap_2PI,3242721280,1032318336
wrap_PI,3242721280,1032318336
wrap_2PI,841731191,841731191
wrap_PI,841731191,841731191
wrap_2PI,1232348160,1086110394
wrap_PI,1232348160,3200602640
#unary
fn,in,out
safe_sqrt,0,0
safe_asin,0,0
sq,0,0
degrees,0,0
radians,0,0
safe_sqrt,2147483648,2147483648
safe_asin,2147483648,2147483648
sq,2147483648,0
degrees,2147483648,2147483648
radians,2147483648,2147483648
safe_sqrt,1065353216,1065353216
safe_asin,1065353216,1070141403
sq,1065353216,1065353216
degrees,1065353216,1113927392
radians,1065353216,1016003125
safe_sqrt,3212836864,0
safe_asin,3212836864,3217625051
sq,3212836864,1065353216
degrees,3212836864,3261411040
radians,3212836864,3163486773
safe_sqrt,1056964608,1060439283
safe_asin,1056964608,1057360530
sq,1056964608,1048576000
degrees,1056964608,1105538784
radians,1056964608,1007614517
safe_sqrt,3204448256,0
safe_asin,3204448256,3204844178
sq,3204448256,1048576000
degrees,3204448256,3253022432
radians,3204448256,3155098165
safe_sqrt,1073741824,1068827891
safe_asin,1073741824,1070141403
sq,1073741824,1082130432
degrees,1073741824,1122316000
radians,1073741824,1024391733
safe_sqrt,3221225472,0
safe_asin,3221225472,3217625051
sq,3221225472,1082130432
degrees,3221225472,3269799648
radians,3221225472,3171875381
safe_sqrt,841731191,953267991
safe_asin,841731191,841731191
sq,841731191,619091349
degrees,841731191,890883420
radians,841731191,792716966
safe_sqrt,2989214839,0
safe_asin,2989214839,2989214839
sq,2989214839,619091349
degrees,2989214839,3038367068
radians,2989214839,2940200614
safe_sqrt,1621981420,1343554297
safe_asin,1621981420,1070141403
sq,1621981420,2139095040
degrees,1621981420,1671122159
radians,1621981420,1572980030
safe_sqrt,3769465068,0
safe_asin,3769465068,3217625051
sq,3769465068,2139095040
degrees,3769465068,3818605807
radians,3769465068,3720463678
safe_sqrt,1065353214,1065353215
safe_asin,1065353214,1070137307
sq,1065353214,1065353212
degrees,1065353214,1113927390
radians,1065353214,1016003124
safe_sqrt,3212836862,0
safe_asin,3212836862,3217620955
sq,3212836862,1065353212
degrees,3212836862,3261411038
radians,3212836862,3163486772
safe_sqrt,1065353217,1065353216
safe_asin,1065353217,1070141403
sq,1065353217,1065353218
degrees,1065353217,1113927394
radians,1065353217,1016003126
safe_sqrt,3212836865,0
safe_asin,3212836865,3217625051
sq,3212836865,1065353218
degrees,3212836865,3261411042
radians,3212836865,3163486774
safe_sqrt,1077936128,1071494103
safe_asin,1077936128,1070141403
sq,1077936128,1091567616
