#scurve
kind,t,tj,jm,a0,v0,p0,jt,at,vt,pt
const,3192704205,0,3238002688,0,0,0,3238002688,1070386381,3190019851,1009697599
const,3189348762,0,3238002688,0,0,0,3238002688,1067030938,3182973420,999519422
const,3184315597,0,3238002688,0,0,0,3238002688,1061997773,3173242635,984531775
const,3175926989,0,3238002688,0,0,0,3238002688,1053609165,3156465419,959365951
const,0,0,3238002688,0,0,0,3238002688,0,0,0
const,1028443341,0,3238002688,0,0,0,3238002688,3201092813,3156465419,3106849599
const,1036831949,0,3238002688,0,0,0,3238002688,3209481421,3173242635,3132015423
const,1041865114,0,3238002688,0,0,0,3238002688,3214514586,3182973420,3147003070
const,1045220557,0,3238002688,0,0,0,3238002688,3217870029,3190019851,3157181247
const,1048576000,0,3238002688,0,0,0,3238002688,3221225472,3196059648,3165301419
const,1050253722,0,3238002688,0,0,0,3238002688,3222903194,3199750636,3172168894
const,1051931443,0,3238002688,0,0,0,3238002688,3224580915,3204112711,3177850776
const,1053609165,0,3238002688,0,0,0,3238002688,3226258637,3206797067,3182347071
const,1055286887,0,3238002688,0,0,0,3238002688,3227936359,3209649194,3187201280
const,1056964608,0,3238002688,0,0,0,3238002688,3229614080,3212836864,3190467243
const,1057803469,0,3238002688,0,0,0,3238002688,3230452941,3214598472,3194169416
const,1058642330,0,3238002688,0,0,0,3238002688,3231291802,3216527852,3197334718
const,1059481191,0,3238002688,0,0,0,3238002688,3232130663,3218625005,3199957556
const,1060320051,0,3238002688,0,0,0,3238002688,3232969523,3220889927,3203016600
const,1061158912,0,3238002688,0,0,0,3238002688,3233808384,3222274048,3205496832
const,1061997773,0,3238002688,0,0,0,3238002688,3234647245,3223574283,3207512895
const,1062836634,0,3238002688,0,0,0,3238002688,3235486106,3224958403,3209797392
const,1063675495,0,3238002688,0,0,0,3238002688,3236324967,3226426410,3212367104
const,1064514355,0,3238002688,0,0,0,3238002688,3237163827,3227978301,3214037833
const,1065353216,0,3238002688,0,0,0,3238002688,3238002688,3229614080,3215633067
const,1065772647,0,3238002688,0,0,0,3238002688,3238422119,3230473914,3217396076
const,1066192077,0,3238002688,0,0,0,3238002688,3238841549,3231375688,3219335240
const,1066611507,0,3238002688,0,0,0,3238002688,3239260979,3232319406,3221342214
const,1067030938,0,3238002688,0,0,0,3238002688,3239680410,3233305068,3222500542
const,1067450368,0,3238002688,0,0,0,3238002688,3240099840,3234332672,3223759531
const,1067869799,0,3238002688,0,0,0,3238002688,3240519271,3235402221,3225123380
const,1068289229,0,3238002688,0,0,0,3238002688,3240938701,3236513711,3226596280
const,1068708659,0,3238002688,0,0,0,3238002688,3241358131,3237667143,3228182424
const,1069128090,0,3238002688,0,0,0,3238002688,3241777562,3238432605,3229750047
const,1069547520,0,3238002688,0,0,0,3238002688,3242196992,3239051264,3230662656
const,1069966951,0,3238002688,0,0,0,3238002688,3242616423,3239690896,3231638183
const,1070386381,0,3238002688,0,0,0,3238002688,3243035853,3240351499,3232678719
const,1070805811,0,3238002688,0,0,0,3238002688,3243455283,3241033072,3233786363
const,1071225242,0,3238002688,0,0,0,3238002688,3243874714,3241735619,3234963216
const,1071644672,0,3238002688,0,0,0,3238002688,3244294144,3242459136,3236211371
const,1072064103,0,3238002688,0,0,0,3238002688,3244713575,3243203626,3237532928
const,1072483533,0,3238002688,0,0,0,3238002688,3245133005,3243969086,3238466334
const,1072902963,0,3238002688,0,0,0,3238002688,3245552435,3244755517,3239203657
const,1073322394,0,3238002688,0,0,0,3238002688,3245971866,3245562922,3239980828
const,1073741824,0,3238002688,0,0,0,3238002688,3246391296,3246391296,3240798891
incr,3184315597,0,3238002688,0,0,0,0,0,0,0
decr,3184315597,0,3238002688,0,0,0,0,0,0,0
incr,3175926989,0,3238002688,0,0,0,0,0,0,0
decr,3175926989,0,3238002688,0,0,0,0,0,0,0
incr,0,0,3238002688,0,0,0,0,0,0,0
decr,0,0,3238002688,0,0,0,0,0,0,0
incr,1028443341,0,3238002688,0,0,0,0,0,0,0
decr,1028443341,0,3238002688,0,0,0,0,0,0,0
incr,1036831949,0,3238002688,0,0,0,0,0,0,0
decr,1036831949,0,3238002688,0,0,0,0,0,0,0
incr,1041865114,0,3238002688,0,0,0,0,0,0,0
decr,1041865114,0,3238002688,0,0,0,0,0,0,0
incr,1045220557,0,3238002688,0,0,0,0,0,0,0
decr,1045220557,0,3238002688,0,0,0,0,0,0,0
incr,1048576000,0,3238002688,0,0,0,0,0,0,0
decr,1048576000,0,3238002688,0,0,0,0,0,0,0
incr,1050253722,0,3238002688,0,0,0,0,0,0,0
decr,1050253722,0,3238002688,0,0,0,0,0,0,0
incr,1051931443,0,3238002688,0,0,0,0,0,0,0
decr,1051931443,0,3238002688,0,0,0,0,0,0,0
incr,1053609165,0,3238002688,0,0,0,0,0,0,0
decr,1053609165,0,3238002688,0,0,0,0,0,0,0
incr,1055286887,0,3238002688,0,0,0,0,0,0,0
decr,1055286887,0,3238002688,0,0,0,0,0,0,0
incr,1056964608,0,3238002688,0,0,0,0,0,0,0
decr,1056964608,0,3238002688,0,0,0,0,0,0,0
incr,1057803469,0,3238002688,0,0,0,0,0,0,0
decr,1057803469,0,3238002688,0,0,0,0,0,0,0
incr,1058642330,0,3238002688,0,0,0,0,0,0,0
decr,1058642330,0,3238002688,0,0,0,0,0,0,0
incr,1059481191,0,3238002688,0,0,0,0,0,0,0
decr,1059481191,0,3238002688,0,0,0,0,0,0,0
incr,1060320051,0,3238002688,0,0,0,0,0,0,0
decr,1060320051,0,3238002688,0,0,0,0,0,0,0
incr,1061158912,0,3238002688,0,0,0,0,0,0,0
decr,1061158912,0,3238002688,0,0,0,0,0,0,0
incr,1061997773,0,3238002688,0,0,0,0,0,0,0
decr,1061997773,0,3238002688,0,0,0,0,0,0,0
incr,1062836634,0,3238002688,0,0,0,0,0,0,0
decr,1062836634,0,3238002688,0,0,0,0,0,0,0
incr,1063675495,0,3238002688,0,0,0,0,0,0,0
decr,1063675495,0,3238002688,0,0,0,0,0,0,0
incr,1064514355,0,3238002688,0,0,0,0,0,0,0
decr,1064514355,0,3238002688,0,0,0,0,0,0,0
incr,1065353216,0,3238002688,0,0,0,0,0,0,0
decr,1065353216,0,3238002688,0,0,0,0,0,0,0
incr,1065772647,0,3238002688,0,0,0,0,0,0,0
decr,1065772647,0,3238002688,0,0,0,0,0,0,0
incr,1066192077,0,3238002688,0,0,0,0,0,0,0
decr,1066192077,0,3238002688,0,0,0,0,0,0,0
incr,1066611507,0,3238002688,0,0,0,0,0,0,0
decr,1066611507,0,3238002688,0,0,0,0,0,0,0
incr,1067030938,0,3238002688,0,0,0,0,0,0,0
decr,1067030938,0,3238002688,0,0,0,0,0,0,0
incr,1067450368,0,3238002688,0,0,0,0,0,0,0
decr,1067450368,0,3238002688,0,0,0,0,0,0,0
incr,1067869799,0,3238002688,0,0,0,0,0,0,0
decr,1067869799,0,3238002688,0,0,0,0,0,0,0
incr,1068289229,0,3238002688,0,0,0,0,0,0,0
decr,1068289229,0,3238002688,0,0,0,0,0,0,0
incr,1068708659,0,3238002688,0,0,0,0,0,0,0
decr,1068708659,0,3238002688,0,0,0,0,0,0,0
incr,1069128090,0,3238002688,0,0,0,0,0,0,0
decr,1069128090,0,3238002688,0,0,0,0,0,0,0
incr,1069547520,0,3238002688,0,0,0,0,0,0,0
decr,1069547520,0,3238002688,0,0,0,0,0,0,0
incr,3184315597,3184315597,3238002688,0,0,0,0,0,0,0
decr,3184315597,3184315597,3238002688,0,0,0,0,0,0,0
incr,3175926989,3184315597,3238002688,0,0,0,0,0,0,0
decr,3175926989,3184315597,3238002688,0,0,0,0,0,0,0
incr,0,3184315597,3238002688,0,0,0,0,0,0,0
decr,0,3184315597,3238002688,0,0,0,0,0,0,0
incr,1028443341,3184315597,3238002688,0,0,0,0,0,0,0
decr,1028443341,3184315597,3238002688,0,0,0,0,0,0,0
incr,1036831949,3184315597,3238002688,0,0,0,0,0,0,0
decr,1036831949,3184315597,3238002688,0,0,0,0,0,0,0
incr,1041865114,3184315597,3238002688,0,0,0,0,0,0,0
decr,1041865114,3184315597,3238002688,0,0,0,0,0,0,0
incr,1045220557,3184315597,3238002688,0,0,0,0,0,0,0
decr,1045220557,3184315597,3238002688,0,0,0,0,0,0,0
incr,1048576000,3184315597,3238002688,0,0,0,0,0,0,0
decr,1048576000,3184315597,3238002688,0,0,0,0,0,0,0
incr,1050253722,3184315597,3238002688,0,0,0,0,0,0,0
decr,1050253722,3184315597,3238002688,0,0,0,0,0,0,0
incr,1051931443,3184315597,3238002688,0,0,0,0,0,0,0
decr,1051931443,3184315597,3238002688,0,0,0,0,0,0,0
incr,1053609165,3184315597,3238002688,0,0,0,0,0,0,0
decr,1053609165,3184315597,3238002688,0,0,0,0,0,0,0
incr,1055286887,3184315597,3238002688,0,0,0,0,0,0,0
decr,1055286887,3184315597,3238002688,0,0,0,0,0,0,0
incr,1056964608,3184315597,3238002688,0,0,0,0,0,0,0
decr,1056964608,3184315597,3238002688,0,0,0,0,0,0,0
incr,1057803469,3184315597,3238002688,0,0,0,0,0,0,0
decr,1057803469,3184315597,3238002688,0,0,0,0,0,0,0
incr,1058642330,3184315597,3238002688,0,0,0,0,0,0,0
decr,1058642330,3184315597,3238002688,0,0,0,0,0,0,0
incr,1059481191,3184315597,3238002688,0,0,0,0,0,0,0
decr,1059481191,3184315597,3238002688,0,0,0,0,0,0,0
incr,1060320051,3184315597,3238002688,0,0,0,0,0,0,0
decr,1060320051,3184315597,3238002688,0,0,0,0,0,0,0
incr,1061158912,3184315597,3238002688,0,0,0,0,0,0,0
decr,1061158912,3184315597,3238002688,0,0,0,0,0,0,0
incr,1061997773,3184315597,3238002688,0,0,0,0,0,0,0
decr,1061997773,3184315597,3238002688,0,0,0,0,0,0,0
incr,1062836634,3184315597,3238002688,0,0,0,0,0,0,0
decr,1062836634,3184315597,3238002688,0,0,0,0,0,0,0
incr,1063675495,3184315597,3238002688,0,0,0,0,0,0,0
decr,1063675495,3184315597,3238002688,0,0,0,0,0,0,0
incr,1064514355,3184315597,3238002688,0,0,0,0,0,0,0
decr,1064514355,3184315597,3238002688,0,0,0,0,0,0,0
incr,1065353216,3184315597,3238002688,0,0,0,0,0,0,0
decr,1065353216,3184315597,3238002688,0,0,0,0,0,0,0
incr,1065772647,3184315597,3238002688,0,0,0,0,0,0,0
decr,1065772647,3184315597,3238002688,0,0,0,0,0,0,0
incr,1066192077,3184315597,3238002688,0,0,0,0,0,0,0
decr,1066192077,3184315597,3238002688,0,0,0,0,0,0,0
incr,1066611507,3184315597,3238002688,0,0,0,0,0,0,0
decr,1066611507,3184315597,3238002688,0,0,0,0,0,0,0
incr,1067030938,3184315597,3238002688,0,0,0,0,0,0,0
decr,1067030938,3184315597,3238002688,0,0,0,0,0,0,0
incr,1067450368,3184315597,3238002688,0,0,0,0,0,0,0
decr,1067450368,3184315597,3238002688,0,0,0,0,0,0,0
incr,1067869799,3184315597,3238002688,0,0,0,0,0,0,0
decr,1067869799,3184315597,3238002688,0,0,0,0,0,0,0
incr,1068289229,3184315597,3238002688,0,0,0,0,0,0,0
decr,1068289229,3184315597,3238002688,0,0,0,0,0,0,0
incr,1068708659,3184315597,3238002688,0,0,0,0,0,0,0
decr,1068708659,3184315597,3238002688,0,0,0,0,0,0,0
incr,1069128090,3184315597,3238002688,0,0,0,0,0,0,0
decr,1069128090,3184315597,3238002688,0,0,0,0,0,0,0
incr,1069547520,3184315597,3238002688,0,0,0,0,0,0,0
decr,1069547520,3184315597,3238002688,0,0,0,0,0,0,0
incr,3184315597,1028443341,3238002688,0,0,0,2147483648,1053609165,3164854027,974402482
decr,3184315597,1028443341,3238002688,0,0,0,3238002688,1053609165,3164854027,977883852
incr,3175926989,1028443341,3238002688,0,0,0,3238002688,1045220557,3141722198,940116505
decr,3175926989,1028443341,3238002688,0,0,0,2147483648,1045220557,3152428522,957120696
incr,0,1028443341,3238002688,0,0,0,2147483648,0,0,0
decr,0,1028443341,3238002688,0,0,0,3238002688,2982099639,0,734423023
incr,1028443341,1028443341,3238002688,0,0,0,3238002688,3192704205,3141722198,3087600153
decr,1028443341,1028443341,3238002688,0,0,0,2147483648,3192704204,3152428522,3104604344
incr,1036831949,1028443341,3238002688,0,0,0,2147483648,3201092813,3164854027,3121886130
decr,1036831949,1028443341,3238002688,0,0,0,3238002688,3201092816,3164854026,3125367504
incr,1041865114,1028443341,3238002688,0,0,0,3238002688,3206125979,3174040848,3137961704
decr,1041865114,1028443341,3238002688,0,0,0,2147483648,3206125978,3175128777,3139267218
incr,1045220557,1028443341,3238002688,0,0,0,2147483648,3209481421,3181631243,3148357468
decr,1045220557,1028443341,3238002688,0,0,0,3238002688,3209481422,3181631242,3149227809
incr,1048576000,1028443341,3238002688,0,0,0,3238002688,3212836864,3187399058,3156640829
decr,1048576000,1028443341,3238002688,0,0,0,2147483648,3212836862,3187807032,3157184796
incr,1050253722,1028443341,3238002688,0,0,0,2147483648,3214514585,3191362028,3163617096
decr,1050253722,1028443341,3238002688,0,0,0,3238002688,3214514588,3191362030,3163943476
incr,1051931443,1028443341,3238002688,0,0,0,3238002688,3216192308,3195588113,3169271781
decr,1051931443,1028443341,3238002688,0,0,0,2147483648,3216192307,3195860096,3169652558
incr,1053609165,1028443341,3238002688,0,0,0,2147483648,3217870029,3198408459,3173849670
decr,1053609165,1028443341,3238002688,0,0,0,3238002688,3217870030,3198408458,3174067256
incr,1055286887,1028443341,3238002688,0,0,0,3238002688,3219547752,3201192590,3178690280
decr,1055286887,1028443341,3238002688,0,0,0,2147483648,3219547749,3201328580,3178935062
incr,1056964608,1028443341,3238002688,0,0,0,2147483648,3221225471,3204448256,3182010640
decr,1056964608,1028443341,3238002688,0,0,0,3238002688,3221225473,3204448256,3182146630
incr,1057803469,1028443341,3238002688,0,0,0,3238002688,3222064334,3206175866,3185706013
decr,1057803469,1028443341,3238002688,0,0,0,2147483648,3222064332,3206243862,3185855605
incr,1058642330,1028443341,3238002688,0,0,0,2147483648,3222903193,3208139244,3188905312
decr,1058642330,1028443341,3238002688,0,0,0,3238002688,3222903195,3208139245,3188986907
incr,1059481191,1028443341,3238002688,0,0,0,3238002688,3223742056,3210202399,3191524751
decr,1059481191,1028443341,3238002688,0,0,0,2147483648,3223742053,3210270396,3191613146
incr,1060320051,1028443341,3238002688,0,0,0,2147483648,3224580914,3212501319,3194580395
decr,1060320051,1028443341,3238002688,0,0,0,3238002688,3224580916,3212501320,3194675589
incr,1061158912,1028443341,3238002688,0,0,0,3238002688,3225419777,3213868442,3197082726
decr,1061158912,1028443341,3238002688,0,0,0,2147483648,3225419776,3213902440,3197133723
incr,1061997773,1028443341,3238002688,0,0,0,2147483648,3226258637,3215185675,3199097089
decr,1061997773,1028443341,3238002688,0,0,0,3238002688,3226258638,3215185676,3199151486
