servo_min,servo_trim,servo_max,high_out,reversed,scaled,pwm_angle,pwm_range
1000,1500,2000,4500,0,0,1500,1000
1000,1500,2000,4500,0,1,1500,1000
1000,1500,2000,4500,0,-1,1500,1000
1000,1500,2000,4500,0,0.5,1500,1000
1000,1500,2000,4500,0,-0.5,1500,1000
1000,1500,2000,4500,0,45,1505,1010
1000,1500,2000,4500,0,-45,1495,1000
1000,1500,2000,4500,0,100,1511,1022
1000,1500,2000,4500,0,-100,1489,1000
1000,1500,2000,4500,0,4500,2000,2000
1000,1500,2000,4500,0,-4500,1000,1000
1000,1500,2000,4500,0,9000,2000,2000
1000,1500,2000,4500,0,-9000,1000,1000
1000,1500,2000,4500,0,0.499900013,1500,1000
1000,1500,2000,4500,0,-0.499900013,1500,1000
1000,1500,2000,4500,0,2249.8999,1749,1499
1000,1500,2000,4500,0,-2249.8999,1251,1000
1000,1500,2000,4500,1,0,1500,2000
1000,1500,2000,4500,1,1,1500,1999
1000,1500,2000,4500,1,-1,1500,2000
1000,1500,2000,4500,1,0.5,1500,1999
1000,1500,2000,4500,1,-0.5,1500,2000
1000,1500,2000,4500,1,45,1495,1990
1000,1500,2000,4500,1,-45,1505,2000
1000,1500,2000,4500,1,100,1489,1977
1000,1500,2000,4500,1,-100,1511,2000
1000,1500,2000,4500,1,4500,1000,1000
1000,1500,2000,4500,1,-4500,2000,2000
1000,1500,2000,4500,1,9000,1000,1000
1000,1500,2000,4500,1,-9000,2000,2000
1000,1500,2000,4500,1,0.499900013,1500,1999
1000,1500,2000,4500,1,-0.499900013,1500,2000
1000,1500,2000,4500,1,2249.8999,1251,1500
1000,1500,2000,4500,1,-2249.8999,1749,2000
1000,1500,2000,100,0,0,1500,1000
1000,1500,2000,100,0,1,1505,1010
1000,1500,2000,100,0,-1,1495,1000
1000,1500,2000,100,0,0.5,1502,1005
1000,1500,2000,100,0,-0.5,1498,1000
1000,1500,2000,100,0,45,1725,1450
1000,1500,2000,100,0,-45,1275,1000
1000,1500,2000,100,0,100,2000,2000
1000,1500,2000,100,0,-100,1000,1000
1000,1500,2000,100,0,4500,2000,2000
1000,1500,2000,100,0,-4500,1000,1000
1000,1500,2000,100,0,9000,2000,2000
1000,1500,2000,100,0,-9000,1000,1000
1000,1500,2000,100,0,0.499900013,1502,1004
1000,1500,2000,100,0,-0.499900013,1498,1000
1000,1500,2000,100,0,2249.8999,2000,2000
1000,1500,2000,100,0,-2249.8999,1000,1000
1000,1500,2000,100,1,0,1500,2000
1000,1500,2000,100,1,1,1495,1990
1000,1500,2000,100,1,-1,1505,2000
1000,1500,2000,100,1,0.5,1498,1995
1000,1500,2000,100,1,-0.5,1502,2000
1000,1500,2000,100,1,45,1275,1550
1000,1500,2000,100,1,-45,1725,2000
1000,1500,2000,100,1,100,1000,1000
1000,1500,2000,100,1,-100,2000,2000
1000,1500,2000,100,1,4500,1000,1000
1000,1500,2000,100,1,-4500,2000,2000
1000,1500,2000,100,1,9000,1000,1000
1000,1500,2000,100,1,-9000,2000,2000
1000,1500,2000,100,1,0.499900013,1498,1995
1000,1500,2000,100,1,-0.499900013,1502,2000
1000,1500,2000,100,1,2249.8999,1000,1000
1000,1500,2000,100,1,-2249.8999,2000,2000
1000,1500,2000,1,0,0,1500,1000
1000,1500,2000,1,0,1,2000,2000
1000,1500,2000,1,0,-1,1000,1000
1000,1500,2000,1,0,0.5,1750,1500
1000,1500,2000,1,0,-0.5,1250,1000
1000,1500,2000,1,0,45,2000,2000
1000,1500,2000,1,0,-45,1000,1000
1000,1500,2000,1,0,100,2000,2000
1000,1500,2000,1,0,-100,1000,1000
1000,1500,2000,1,0,4500,2000,2000
1000,1500,2000,1,0,-4500,1000,1000
1000,1500,2000,1,0,9000,2000,2000
1000,1500,2000,1,0,-9000,1000,1000
1000,1500,2000,1,0,0.499900013,1749,1499
1000,1500,2000,1,0,-0.499900013,1251,1000
1000,1500,2000,1,0,2249.8999,2000,2000
1000,1500,2000,1,0,-2249.8999,1000,1000
1000,1500,2000,1,1,0,1500,2000
1000,1500,2000,1,1,1,1000,1000
1000,1500,2000,1,1,-1,2000,2000
1000,1500,2000,1,1,0.5,1250,1500
1000,1500,2000,1,1,-0.5,1750,2000
1000,1500,2000,1,1,45,1000,1000
1000,1500,2000,1,1,-45,2000,2000
1000,1500,2000,1,1,100,1000,1000
1000,1500,2000,1,1,-100,2000,2000
1000,1500,2000,1,1,4500,1000,1000
1000,1500,2000,1,1,-4500,2000,2000
1000,1500,2000,1,1,9000,1000,1000
1000,1500,2000,1,1,-9000,2000,2000
1000,1500,2000,1,1,0.499900013,1251,1500
1000,1500,2000,1,1,-0.499900013,1749,2000
1000,1500,2000,1,1,2249.8999,1000,1000
1000,1500,2000,1,1,-2249.8999,2000,2000
1000,1500,2000,0,0,0,1500,1000
1000,1500,2000,0,0,1,1500,1000
1000,1500,2000,0,0,-1,1500,1000
1000,1500,2000,0,0,0.5,1500,1000
1000,1500,2000,0,0,-0.5,1500,1000
1000,1500,2000,0,0,45,1500,1000
1000,1500,2000,0,0,-45,1500,1000
1000,1500,2000,0,0,100,1500,1000
1000,1500,2000,0,0,-100,1500,1000
1000,1500,2000,0,0,4500,1500,1000
1000,1500,2000,0,0,-4500,1500,1000
1000,1500,2000,0,0,9000,1500,1000
1000,1500,2000,0,0,-9000,1500,1000
1000,1500,2000,0,0,0.499900013,1500,1000
1000,1500,2000,0,0,-0.499900013,1500,1000
1000,1500,2000,0,0,2249.8999,1500,1000
1000,1500,2000,0,0,-2249.8999,1500,1000
1000,1500,2000,0,1,0,1500,1000
1000,1500,2000,0,1,1,1500,1000
1000,1500,2000,0,1,-1,1500,1000
1000,1500,2000,0,1,0.5,1500,1000
1000,1500,2000,0,1,-0.5,1500,1000
1000,1500,2000,0,1,45,1500,1000
1000,1500,2000,0,1,-45,1500,1000
1000,1500,2000,0,1,100,1500,1000
1000,1500,2000,0,1,-100,1500,1000
1000,1500,2000,0,1,4500,1500,1000
1000,1500,2000,0,1,-4500,1500,1000
1000,1500,2000,0,1,9000,1500,1000
1000,1500,2000,0,1,-9000,1500,1000
1000,1500,2000,0,1,0.499900013,1500,1000
1000,1500,2000,0,1,-0.499900013,1500,1000
1000,1500,2000,0,1,2249.8999,1500,1000
1000,1500,2000,0,1,-2249.8999,1500,1000
1000,1200,2000,4500,0,0,1200,1000
1000,1200,2000,4500,0,1,1200,1000
1000,1200,2000,4500,0,-1,1200,1000
1000,1200,2000,4500,0,0.5,1200,1000
1000,1200,2000,4500,0,-0.5,1200,1000
1000,1200,2000,4500,0,45,1208,1010
1000,1200,2000,4500,0,-45,1198,1000
1000,1200,2000,4500,0,100,1217,1022
1000,1200,2000,4500,0,-100,1196,1000
1000,1200,2000,4500,0,4500,2000,2000
1000,1200,2000,4500,0,-4500,1000,1000
1000,1200,2000,4500,0,9000,2000,2000
1000,1200,2000,4500,0,-9000,1000,1000
1000,1200,2000,4500,0,0.499900013,1200,1000
1000,1200,2000,4500,0,-0.499900013,1200,1000
1000,1200,2000,4500,0,2249.8999,1599,1499
1000,1200,2000,4500,0,-2249.8999,1101,1000
1000,1200,2000,4500,1,0,1200,2000
1000,1200,2000,4500,1,1,1200,1999
1000,1200,2000,4500,1,-1,1200,2000
1000,1200,2000,4500,1,0.5,1200,1999
1000,1200,2000,4500,1,-0.5,1200,2000
1000,1200,2000,4500,1,45,1198,1990
1000,1200,2000,4500,1,-45,1208,2000
1000,1200,2000,4500,1,100,1196,1977
1000,1200,2000,4500,1,-100,1217,2000
1000,1200,2000,4500,1,4500,1000,1000
1000,1200,2000,4500,1,-4500,2000,2000
1000,1200,2000,4500,1,9000,1000,1000
1000,1200,2000,4500,1,-9000,2000,2000
1000,1200,2000,4500,1,0.499900013,1200,1999
1000,1200,2000,4500,1,-0.499900013,1200,2000
1000,1200,2000,4500,1,2249.8999,1101,1500
1000,1200,2000,4500,1,-2249.8999,1599,2000
1000,1200,2000,100,0,0,1200,1000
1000,1200,2000,100,0,1,1208,1010
1000,1200,2000,100,0,-1,1198,1000
1000,1200,2000,100,0,0.5,1204,1005
1000,1200,2000,100,0,-0.5,1199,1000
1000,1200,2000,100,0,45,1560,1450
1000,1200,2000,100,0,-45,1110,1000
1000,1200,2000,100,0,100,2000,2000
1000,1200,2000,100,0,-100,1000,1000
1000,1200,2000,100,0,4500,2000,2000
1000,1200,2000,100,0,-4500,1000,1000
1000,1200,2000,100,0,9000,2000,2000
1000,1200,2000,100,0,-9000,1000,1000
1000,1200,2000,100,0,0.499900013,1203,1004
1000,1200,2000,100,0,-0.499900013,1200,1000
1000,1200,2000,100,0,2249.8999,2000,2000
1000,1200,2000,100,0,-2249.8999,1000,1000
1000,1200,2000,100,1,0,1200,2000
1000,1200,2000,100,1,1,1198,1990
1000,1200,2000,100,1,-1,1208,2000
1000,1200,2000,100,1,0.5,1199,1995
1000,1200,2000,100,1,-0.5,1204,2000
1000,1200,2000,100,1,45,1110,1550
1000,1200,2000,100,1,-45,1560,2000
1000,1200,2000,100,1,100,1000,1000
1000,1200,2000,100,1,-100,2000,2000
1000,1200,2000,100,1,4500,1000,1000
1000,1200,2000,100,1,-4500,2000,2000
1000,1200,2000,100,1,9000,1000,1000
