#geometry
idx,flare_sec,flare_alt,flare_effect,groundspeed,land_sinkrate,prev_lat,prev_lng,prev_alt,next_lat,next_lng,next_alt,cur_lat,cur_lng,cur_alt,slope,offset_cm,aim_lat,aim_lng,aim_alt,alt_proportion
0,0,0,0,0,1048576000,-353635797,1491648480,4250,-353632621,1491652374,4000,-353633891,1491650817,4100,1028444478,-2751,-353600861,1491691319,1499,1064437944
1,0,0,0,0,1048576000,-353658029,1491621217,6000,-353632621,1491652374,4000,-353642784,1491639912,4800,1028443493,-4501,-353600861,1491691319,1499,1060879185
2,0,0,0,0,1048576000,-353759662,1491496578,14000,-353632621,1491652374,4000,-353683437,1491590059,8000,1028443388,-12501,-353600861,1491691319,1499,1057300102
3,0,0,0,0,1048576000,-353635797,1491648480,4250,-353632621,1491652374,4000,-353633891,1491650817,4100,1028444478,-2751,-353600861,1491691319,1499,1064437944
4,0,0,0,0,1048576000,-353658029,1491621217,6000,-353632621,1491652374,4000,-353642784,1491639912,4800,1028443493,-4501,-353600861,1491691319,1499,1060879185
5,0,0,0,0,1048576000,-353759662,1491496578,14000,-353632621,1491652374,4000,-353683437,1491590059,8000,1028443388,-12501,-353600861,1491691319,1499,1057300102
6,0,0,0,0,1048576000,-353635797,1491648480,4250,-353632621,1491652374,4000,-353633891,1491650817,4100,1028444478,-2751,-353600861,1491691319,1499,1064437944
7,0,0,0,0,1048576000,-353658029,1491621217,6000,-353632621,1491652374,4000,-353642784,1491639912,4800,1028443493,-4501,-353600861,1491691319,1499,1060879185
8,0,0,0,0,1048576000,-353759662,1491496578,14000,-353632621,1491652374,4000,-353683437,1491590059,8000,1028443388,-12501,-353600861,1491691319,1499,1057300102
9,0,0,0,0,1048576000,-353635797,1491648480,4250,-353632621,1491652374,4000,-353633891,1491650817,4100,1028444478,-2751,-353600861,1491691319,1499,1064437944
10,0,0,0,0,1048576000,-353658029,1491621217,6000,-353632621,1491652374,4000,-353642784,1491639912,4800,1028443493,-4501,-353600861,1491691319,1499,1060879185
11,0,0,0,0,1048576000,-353759662,1491496578,14000,-353632621,1491652374,4000,-353683437,1491590059,8000,1028443388,-12501,-353600861,1491691319,1499,1057300102
12,0,0,0,0,1048576000,-353635797,1491648480,4250,-353632621,1491652374,4000,-353633891,1491650817,4100,1028444478,-2751,-353600861,1491691319,1499,1064437944
13,0,0,0,0,1048576000,-353658029,1491621217,6000,-353632621,1491652374,4000,-353642784,1491639912,4800,1028443493,-4501,-353600861,1491691319,1499,1060879185
14,0,0,0,0,1048576000,-353759662,1491496578,14000,-353632621,1491652374,4000,-353683437,1491590059,8000,1028443388,-12501,-353600861,1491691319,1499,1057300102
15,0,0,0,0,1048576000,-353635797,1491648480,4250,-353632621,1491652374,4000,-353633891,1491650817,4100,1028444478,-2751,-353600861,1491691319,1499,1064437944
16,0,0,0,0,1048576000,-353658029,1491621217,6000,-353632621,1491652374,4000,-353642784,1491639912,4800,1028443493,-4501,-353600861,1491691319,1499,1060879185
17,0,0,0,0,1048576000,-353759662,1491496578,14000,-353632621,1491652374,4000,-353683437,1491590059,8000,1028443388,-12501,-353600861,1491691319,1499,1057300102
18,0,0,60,0,1048576000,-353635797,1491648480,4250,-353632621,1491652374,4000,-353633891,1491650817,4100,1028444478,-2751,-353600861,1491691319,1499,1064437944
19,0,0,60,0,1048576000,-353658029,1491621217,6000,-353632621,1491652374,4000,-353642784,1491639912,4800,1028443493,-4501,-353600861,1491691319,1499,1060879185
