#auxfn
case,kind,a,b
0,ch,0,33
0,ch,1,34
0,ch,2,35
0,ch,3,36
0,ch,4,0
0,ch,5,0
0,ch,6,0
0,ch,7,0
0,ch,8,82
0,ch,9,83
0,ch,10,84
0,ch,11,85
0,ch,12,0
0,ch,13,0
0,ch,14,0
0,ch,15,0
0,ch,16,-1
0,ch,17,-1
0,ch,18,-1
0,ch,19,-1
0,ch,20,-1
0,ch,21,-1
0,ch,22,-1
0,ch,23,-1
0,ch,24,-1
0,ch,25,-1
0,ch,26,-1
0,ch,27,-1
0,ch,28,-1
0,ch,29,-1
0,ch,30,-1
0,ch,31,-1
0,fn,33,1
0,fn,34,2
0,fn,35,4
0,fn,36,8
0,fn,37,0
0,fn,40,0
0,fn,82,256
0,fn,160,0
0,fn,250,4294901760
0,fn,251,4294901760
1,ch,0,33
1,ch,1,33
1,ch,2,34
1,ch,3,34
1,ch,4,0
1,ch,5,0
1,ch,6,0
1,ch,7,0
1,ch,8,82
1,ch,9,83
1,ch,10,84
1,ch,11,85
1,ch,12,0
1,ch,13,0
1,ch,14,0
1,ch,15,0
1,ch,16,-1
1,ch,17,-1
1,ch,18,-1
1,ch,19,-1
1,ch,20,-1
1,ch,21,-1
1,ch,22,-1
1,ch,23,-1
1,ch,24,-1
1,ch,25,-1
1,ch,26,-1
1,ch,27,-1
1,ch,28,-1
1,ch,29,-1
1,ch,30,-1
1,ch,31,-1
1,fn,33,3
1,fn,34,12
1,fn,35,0
1,fn,36,0
1,fn,37,0
1,fn,40,0
1,fn,82,256
1,fn,160,0
1,fn,250,4294901760
1,fn,251,4294901760
2,ch,0,33
2,ch,1,34
2,ch,2,35
2,ch,3,36
2,ch,4,37
2,ch,5,38
2,ch,6,39
2,ch,7,40
2,ch,8,82
2,ch,9,83
2,ch,10,84
2,ch,11,85
2,ch,12,0
2,ch,13,0
2,ch,14,0
2,ch,15,0
2,ch,16,-1
2,ch,17,-1
2,ch,18,-1
2,ch,19,-1
2,ch,20,-1
2,ch,21,-1
2,ch,22,-1
2,ch,23,-1
2,ch,24,-1
2,ch,25,-1
2,ch,26,-1
2,ch,27,-1
2,ch,28,-1
2,ch,29,-1
2,ch,30,-1
2,ch,31,-1
2,fn,33,1
2,fn,34,2
2,fn,35,4
2,fn,36,8
2,fn,37,16
2,fn,40,128
2,fn,82,256
2,fn,160,0
2,fn,250,4294901760
2,fn,251,4294901760
3,ch,0,0
3,ch,1,0
3,ch,2,0
3,ch,3,0
3,ch,4,0
3,ch,5,0
3,ch,6,0
3,ch,7,0
3,ch,8,82
3,ch,9,83
3,ch,10,84
3,ch,11,85
3,ch,12,0
3,ch,13,0
3,ch,14,0
3,ch,15,0
3,ch,16,-1
3,ch,17,-1
3,ch,18,-1
3,ch,19,-1
3,ch,20,-1
3,ch,21,-1
3,ch,22,-1
3,ch,23,-1
3,ch,24,-1
3,ch,25,-1
3,ch,26,-1
3,ch,27,-1
3,ch,28,-1
3,ch,29,-1
3,ch,30,-1
3,ch,31,-1
3,fn,33,0
3,fn,34,0
3,fn,35,0
3,fn,36,0
3,fn,37,0
3,fn,40,0
3,fn,82,256
3,fn,160,0
3,fn,250,4294901760
3,fn,251,4294901760
4,ch,0,82
4,ch,1,83
4,ch,2,84
4,ch,3,85
4,ch,4,0
4,ch,5,0
4,ch,6,0
4,ch,7,0
4,ch,8,82
4,ch,9,83
4,ch,10,84
4,ch,11,85
4,ch,12,0
4,ch,13,0
4,ch,14,0
4,ch,15,0
4,ch,16,-1
4,ch,17,-1
4,ch,18,-1
4,ch,19,-1
4,ch,20,-1
4,ch,21,-1
4,ch,22,-1
4,ch,23,-1
4,ch,24,-1
4,ch,25,-1
4,ch,26,-1
4,ch,27,-1
4,ch,28,-1
4,ch,29,-1
4,ch,30,-1
4,ch,31,-1
4,fn,33,0
4,fn,34,0
4,fn,35,0
4,fn,36,0
4,fn,37,0
4,fn,40,0
4,fn,82,257
4,fn,160,0
4,fn,250,4294901760
4,fn,251,4294901760
5,ch,0,160
5,ch,1,161
5,ch,2,162
5,ch,3,163
5,ch,4,0
5,ch,5,0
5,ch,6,0
5,ch,7,0
5,ch,8,82
5,ch,9,83
5,ch,10,84
5,ch,11,85
5,ch,12,0
5,ch,13,0
5,ch,14,0
5,ch,15,0
5,ch,16,-1
5,ch,17,-1
5,ch,18,-1
5,ch,19,-1
5,ch,20,-1
5,ch,21,-1
5,ch,22,-1
5,ch,23,-1
5,ch,24,-1
5,ch,25,-1
5,ch,26,-1
5,ch,27,-1
5,ch,28,-1
5,ch,29,-1
5,ch,30,-1
5,ch,31,-1
5,fn,33,0
5,fn,34,0
5,fn,35,0
5,fn,36,0
5,fn,37,0
5,fn,40,0
5,fn,82,256
5,fn,160,1
5,fn,250,4294901760
5,fn,251,4294901760
