#calcpwm
case,channel,estop,have_pwm,override,scaled,pwm
0,0,0,0,0,0,1000
0,1,0,1,0,0,1234
0,2,0,0,1,0,1777
0,3,0,1,1,0,1777
1,0,0,0,0,1132068864,1250
1,1,0,1,0,1132068864,1234
1,2,0,0,1,1132068864,1777
1,3,0,1,1,1132068864,1777
2,0,0,0,0,1140457472,1500
2,1,0,1,0,1140457472,1234
2,2,0,0,1,1140457472,1777
2,3,0,1,1,1140457472,1777
3,0,0,0,0,1148846080,2000
3,1,0,1,0,1148846080,1234
3,2,0,0,1,1148846080,1777
3,3,0,1,1,1148846080,1777
4,0,1,0,0,0,1000
4,1,1,1,0,0,1234
4,2,1,0,1,0,1000
4,3,1,1,1,0,1000
5,0,1,0,0,1132068864,1000
5,1,1,1,0,1132068864,1234
5,2,1,0,1,1132068864,1000
5,3,1,1,1,1132068864,1000
6,0,1,0,0,1140457472,1000
6,1,1,1,0,1140457472,1234
6,2,1,0,1,1140457472,1000
6,3,1,1,1,1140457472,1000
7,0,1,0,0,1148846080,1000
7,1,1,1,0,1148846080,1234
7,2,1,0,1,1148846080,1000
7,3,1,1,1,1148846080,1000
