#srvfn
#motorfn
channel,function
0,33
1,34
2,35
3,36
4,37
5,38
6,39
7,40
8,82
9,83
10,84
11,85
12,160
13,161
14,162
15,163
16,164
17,165
18,166
19,167
20,168
21,169
22,170
23,171
24,172
25,173
26,174
27,175
28,176
29,177
30,178
31,179
32,180
33,181
34,182
35,183
36,184
37,185
38,186
39,187
#digital
step,digital,mask,result
0,15,0,0
0,15,1,1
0,15,3,1
0,15,15,1
0,15,240,0
0,15,255,0
0,15,65536,0
0,15,4294967295,0
1,15,0,0
1,15,1,1
1,15,3,1
1,15,15,1
1,15,240,0
1,15,255,0
1,15,65536,0
1,15,4294967295,0
2,15,0,0
2,15,1,1
2,15,3,1
2,15,15,1
2,15,240,0
2,15,255,0
2,15,65536,0
2,15,4294967295,0
3,15,0,0
3,15,1,1
3,15,3,1
3,15,15,1
3,15,240,0
3,15,255,0
3,15,65536,0
3,15,4294967295,0
4,255,0,0
4,255,1,1
4,255,3,1
4,255,15,1
4,255,240,1
4,255,255,1
4,255,65536,0
4,255,4294967295,0
