function,scaled,pwm
184,0,1500
185,0,1500
186,0,1500
187,0,1500
188,0,1500
189,0,1500
4,0,1500
16,0,1500
2,0,1100
3,0,1100
31,0,1100
32,0,1100
0,0,1100
1,0,1100
5,0,1100
6,0,1100
7,0,1100
8,0,1100
9,0,1100
10,0,1100
12,0,1100
13,0,1100
14,0,1100
15,0,1100
22,0,1100
23,0,1100
27,0,1100
28,0,1100
29,0,1100
30,0,1100
33,0,1100
34,0,1100
184,1103626240,1900
185,1103626240,1900
186,1103626240,1900
187,1103626240,1900
188,1103626240,1900
189,1103626240,1900
4,1103626240,1502
16,1103626240,1502
2,1103626240,1300
3,1103626240,1300
31,1103626240,1120
32,1103626240,1120
0,1103626240,1100
1,1103626240,1100
5,1103626240,1100
6,1103626240,1100
7,1103626240,1100
8,1103626240,1100
9,1103626240,1100
10,1103626240,1100
12,1103626240,1100
13,1103626240,1100
14,1103626240,1100
15,1103626240,1100
22,1103626240,1100
23,1103626240,1100
27,1103626240,1100
28,1103626240,1100
29,1103626240,1100
30,1103626240,1100
33,1103626240,1100
34,1103626240,1100
184,1112014848,1900
185,1112014848,1900
186,1112014848,1900
187,1112014848,1900
188,1112014848,1900
189,1112014848,1900
4,1112014848,1504
16,1112014848,1504
2,1112014848,1500
3,1112014848,1500
31,1112014848,1140
32,1112014848,1140
0,1112014848,1100
1,1112014848,1100
5,1112014848,1100
6,1112014848,1100
7,1112014848,1100
8,1112014848,1100
9,1112014848,1100
10,1112014848,1100
12,1112014848,1100
13,1112014848,1100
14,1112014848,1100
15,1112014848,1100
22,1112014848,1100
23,1112014848,1100
27,1112014848,1100
28,1112014848,1100
29,1112014848,1100
30,1112014848,1100
33,1112014848,1100
34,1112014848,1100
184,1140457472,1900
185,1140457472,1900
186,1140457472,1900
187,1140457472,1900
188,1140457472,1900
189,1140457472,1900
4,1140457472,1544
16,1140457472,1544
2,1140457472,1900
3,1140457472,1900
31,1140457472,1500
32,1140457472,1500
0,1140457472,1100
1,1140457472,1100
5,1140457472,1100
6,1140457472,1100
7,1140457472,1100
8,1140457472,1100
9,1140457472,1100
10,1140457472,1100
12,1140457472,1100
13,1140457472,1100
14,1140457472,1100
15,1140457472,1100
22,1140457472,1100
23,1140457472,1100
27,1140457472,1100
28,1140457472,1100
29,1140457472,1100
30,1140457472,1100
33,1140457472,1100
34,1140457472,1100
184,1148846080,1900
185,1148846080,1900
186,1148846080,1900
187,1148846080,1900
188,1148846080,1900
189,1148846080,1900
4,1148846080,1588
16,1148846080,1588
2,1148846080,1900
3,1148846080,1900
31,1148846080,1900
32,1148846080,1900
0,1148846080,1100
1,1148846080,1100
5,1148846080,1100
6,1148846080,1100
7,1148846080,1100
8,1148846080,1100
9,1148846080,1100
10,1148846080,1100
12,1148846080,1100
13,1148846080,1100
14,1148846080,1100
15,1148846080,1100
22,1148846080,1100
23,1148846080,1100
27,1148846080,1100
28,1148846080,1100
29,1148846080,1100
30,1148846080,1100
33,1148846080,1100
34,1148846080,1100
