#functions
throttle,flap,elevator
70,2,19
#slew
step,rate,demand,peek_thr,after_thr,peek_flap,after_flap,peek_elev,after_elev
0,1114636288,0,0,0,0,0,0,0
1,1114636288,0,0,0,0,0,0,0
2,1114636288,0,0,0,0,0,0,0
3,1114636288,0,0,0,0,0,0,0
4,1114636288,0,0,0,0,0,0,0
5,1114636288,0,0,0,0,0,0,0
6,1114636288,0,0,0,0,0,0,0
7,1114636288,0,0,0,0,0,0,0
8,1114636288,0,0,0,0,0,0,0
9,1114636288,0,0,0,0,0,0,0
10,1114636288,0,0,0,0,0,0,0
11,1114636288,0,0,0,0,0,0,0
12,1114636288,0,0,0,0,0,0,0
13,1114636288,0,0,0,0,0,0,0
14,1114636288,0,0,0,0,0,0,0
15,1114636288,0,0,0,0,0,0,0
16,1114636288,0,0,0,0,0,0,0
17,1114636288,0,0,0,0,0,0,0
18,1114636288,0,0,0,0,0,0,0
19,1114636288,0,0,0,0,0,0,0
20,1114636288,0,0,0,0,0,0,0
21,1114636288,0,0,0,0,0,0,0
22,1114636288,0,0,0,0,0,0,0
23,1114636288,0,0,0,0,0,0,0
24,1114636288,0,0,0,0,0,0,0
25,1114636288,0,0,0,0,0,0,0
26,1114636288,0,0,0,0,0,0,0
27,1114636288,0,0,0,0,0,0,0
28,1114636288,0,0,0,0,0,0,0
29,1114636288,0,0,0,0,0,0,0
30,1114636288,0,0,0,0,0,0,0
31,1114636288,0,0,0,0,0,0,0
32,1114636288,0,0,0,0,0,0,0
33,1114636288,0,0,0,0,0,0,0
34,1114636288,0,0,0,0,0,0,0
35,1114636288,0,0,0,0,0,0,0
36,1114636288,0,0,0,0,0,0,0
37,1114636288,0,0,0,0,0,0,0
38,1114636288,0,0,0,0,0,0,0
39,1114636288,0,0,0,0,0,0,0
40,1114636288,1119092736,1067030937,1067030937,1119092736,1119092736,1119092736,1119092736
41,1114636288,1119092736,1075419545,1075419545,1119092736,1119092736,1119092736,1119092736
42,1114636288,1119092736,1080452710,1080452710,1119092736,1119092736,1119092736,1119092736
43,1114636288,1119092736,1083808153,1083808153,1119092736,1119092736,1119092736,1119092736
44,1114636288,1119092736,1086324735,1086324735,1119092736,1119092736,1119092736,1119092736
45,1114636288,1119092736,1088841317,1088841317,1119092736,1119092736,1119092736,1119092736
46,1114636288,1119092736,1090938470,1090938470,1119092736,1119092736,1119092736,1119092736
47,1114636288,1119092736,1092196761,1092196761,1119092736,1119092736,1119092736,1119092736
