time_us,in_ms,in_dr,in_gs,in_yr,in_rv,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F
97024508,97024,-2.41333318,27.7958755,-0.0204794053,0,0,-8,-2.41333318,-1.17338347,-0.0840453506,0,-0.000892182405,-0
97044500,97044,-2.41333318,27.7988262,-0.0223947763,0,0,-8,-2.41333318,-1.28312612,-0.0840364322,-0.000197441695,-0.00081313285,-0
97064492,97064,-2.41333318,27.7994576,-0.0176658779,0,-0.000197441695,-8,-2.41333318,-1.01218021,-0.0840345249,-0.000442205259,-0.0010080433,-0
97084484,97084,-2.41333318,27.8011494,-0.0101769436,0,-0.000442205259,-8,-2.41333318,-0.583095908,-0.0840294063,-0.000761885429,-0.00131666299,-0
97104476,97104,-2.41333318,27.7996902,-0.00666121207,0,-0.000761885429,-8,-2.41333318,-0.381659329,-0.0840338171,-0.00111678697,-0.00146165222,-0
97124468,97124,-1.55999994,27.7944508,-0.00741955824,0,-0.00111678697,-5,-1.55999994,-0.425109357,-0.0543304458,-0.00131510932,-0.000816631014,-0
97144460,97144,-1.55999994,27.7858925,-0.00821522251,0,-0.00131510932,-5,-1.55999994,-0.470697552,-0.0543471836,-0.00150558236,-0.000784068659,-0
97164452,97164,-1.55999994,27.7741261,-0.00954804383,0,-0.00150558236,-5,-1.55999994,-0.547062576,-0.0543702058,-0.00168285251,-0.000729410734,-0
97184444,97184,-1.55999994,27.7605171,-0.00996464118,0,-0.00168285251,-5,-1.55999994,-0.570931852,-0.0543968603,-0.00185611518,-0.000712571782,-0
97204436,97204,-1.55999994,27.7421474,-0.0111330859,0,-0.00185611518,-5,-1.55999994,-0.637878776,-0.0544328801,-0.00201786426,-0.000664779975,-0
97224428,97224,-0.786666632,27.7183743,-0.0111672562,0,-0.00201786426,-2,-0.786666632,-0.639836609,-0.0274725985,-0.00204366376,-0.000105944178,-0
97244420,97244,-0.786666632,27.6924572,-0.0110450946,0,-0.00204366376,-2,-0.786666632,-0.632837296,-0.0274983086,-0.00207074382,-0.000111098365,-0
97264412,97264,-0.786666632,27.6616859,-0.0107891969,0,-0.00207074382,-2,-0.786666632,-0.618175387,-0.0275288988,-0.00210047094,-0.000121822821,-0
97284404,97284,-0.786666632,27.6236134,-0.0108259134,0,-0.00210047094,-2,-0.786666632,-0.620279133,-0.0275668409,-0.00212990795,-0.000120467579,-0
97304396,97304,-0.786666632,27.5818844,-0.0097681433,0,-0.00212990795,-2,-0.786666632,-0.559673369,-0.0276085474,-0.00217018882,-0.000164595898,-0
97324388,97324,-0.133333325,27.5346565,-0.00340355001,0,-0.00217018882,0,-0.133333325,-0.195009038,-0.00468744105,-0.00215920666,4.47986022e-05,-0
