#lean
idx,roll_norm,pitch_norm,angle_max,angle_limit,roll_out,pitch_out
0,3212836864,3212836864,1050253722,1043509281,3187415820,3187542444
1,3212836864,3212836864,1050253722,1057360550,3193409909,3193733803
2,3212836864,3212836864,1050253722,1070141433,3193409909,3193733803
3,3212836864,3212836864,1057360550,1043509281,3187415818,3187542442
4,3212836864,3212836864,1057360550,1057360550,3199796535,3200676659
5,3212836864,3212836864,1057360550,1070141433,3199796535,3200676659
6,3212836864,3212836864,1065749158,1043509281,3187415818,3187542442
7,3212836864,3212836864,1065749158,1057360550,3199796535,3200676659
8,3212836864,3212836864,1065749158,1070141433,3207116825,3210925601
9,3212836864,3200253952,1050253722,1043509281,3190277691,3178723304
10,3212836864,3200253952,1050253722,1057360550,3197109252,3185084015
11,3212836864,3200253952,1050253722,1070141433,3197109252,3185084015
12,3212836864,3200253952,1057360550,1043509281,3190350305,3177906165
13,3212836864,3200253952,1057360550,1057360550,3204192832,3191757501
14,3212836864,3200253952,1057360550,1070141433,3204192832,3191757501
15,3212836864,3200253952,1065749158,1043509281,3190670759,3173507961
16,3212836864,3200253952,1065749158,1057360550,3204579747,3188240532
17,3212836864,3200253952,1065749158,1070141433,3212849382,3200521220
18,3212836864,0,1050253722,1043509281,3190995137,0
19,3212836864,0,1050253722,1057360550,3197737370,0
20,3212836864,0,1050253722,1070141433,3197737370,0
21,3212836864,0,1057360550,1043509281,3190995138,0
22,3212836864,0,1057360550,1057360550,3204844198,0
23,3212836864,0,1057360550,1070141433,3204844198,0
24,3212836864,0,1065749158,1043509281,3190995138,0
25,3212836864,0,1065749158,1057360550,3204844198,0
26,3212836864,0,1065749158,1070141433,3213232806,0
27,3212836864,0,1050253722,1043509281,3190995137,0
28,3212836864,0,1050253722,1057360550,3197737370,0
29,3212836864,0,1050253722,1070141433,3197737370,0
30,3212836864,0,1057360550,1043509281,3190995138,0
31,3212836864,0,1057360550,1057360550,3204844198,0
32,3212836864,0,1057360550,1070141433,3204844198,0
33,3212836864,0,1065749158,1043509281,3190995138,0
34,3212836864,0,1065749158,1057360550,3204844198,0
35,3212836864,0,1065749158,1070141433,3213232806,0
36,3212836864,0,1050253722,1043509281,3190995137,0
37,3212836864,0,1050253722,1057360550,3197737370,0
38,3212836864,0,1050253722,1070141433,3197737370,0
39,3212836864,0,1057360550,1043509281,3190995138,0
40,3212836864,0,1057360550,1057360550,3204844198,0
41,3212836864,0,1057360550,1070141433,3204844198,0
42,3212836864,0,1065749158,1043509281,3190995138,0
43,3212836864,0,1065749158,1057360550,3204844198,0
44,3212836864,0,1065749158,1070141433,3213232806,0
45,3212836864,1052770304,1050253722,1043509281,3190277691,1031239656
46,3212836864,1052770304,1050253722,1057360550,3197109252,1037600367
47,3212836864,1052770304,1050253722,1070141433,3197109252,1037600367
48,3212836864,1052770304,1057360550,1043509281,3190350305,1030422517
49,3212836864,1052770304,1057360550,1057360550,3204192832,1044273853
50,3212836864,1052770304,1057360550,1070141433,3204192832,1044273853
51,3212836864,1052770304,1065749158,1043509281,3190670759,1026024313
52,3212836864,1052770304,1065749158,1057360550,3204579747,1040756884
53,3212836864,1052770304,1065749158,1070141433,3212849382,1053037572
54,3212836864,1065353216,1050253722,1043509281,3187415820,1040058796
55,3212836864,1065353216,1050253722,1057360550,3193409909,1046250155
56,3212836864,1065353216,1050253722,1070141433,3193409909,1046250155
57,3212836864,1065353216,1057360550,1043509281,3187415818,1040058794
58,3212836864,1065353216,1057360550,1057360550,3199796535,1053193011
59,3212836864,1065353216,1057360550,1070141433,3199796535,1053193011
60,3212836864,1065353216,1065749158,1043509281,3187415818,1040058794
61,3212836864,1065353216,1065749158,1057360550,3199796535,1053193011
62,3212836864,1065353216,1065749158,1070141433,3207116825,1063441953
63,3200253952,3212836864,1050253722,1043509281,3178505850,3190297431
64,3200253952,3212836864,1050253722,1057360550,3184524386,3197159474
65,3200253952,3212836864,1050253722,1070141433,3184524386,3197159474
66,3200253952,3212836864,1057360550,1043509281,3177696962,3190368216
67,3200253952,3212836864,1057360550,1057360550,3190261248,3204436910
68,3200253952,3212836864,1057360550,1070141433,3190261248,3204436910
69,3200253952,3212836864,1065749158,1043509281,3173349827,3190680149
70,3200253952,3212836864,1065749158,1057360550,3186537915,3204643600
71,3200253952,3212836864,1065749158,1070141433,3192893062,3213131104
72,3200253952,3200253952,1050253722,1043509281,3185898664,3185993319
73,3200253952,3200253952,1050253722,1057360550,3185898664,3185993319
74,3200253952,3200253952,1050253722,1070141433,3185898664,3185993319
75,3200253952,3200253952,1057360550,1043509281,3187415818,3187542442
76,3200253952,3200253952,1057360550,1057360550,3192212345,3192459257
77,3200253952,3200253952,1057360550,1070141433,3192212345,3192459257
78,3200253952,3200253952,1065749158,1043509281,3187415819,3187542443
79,3200253952,3200253952,1065749158,1057360550,3199796535,3200676660
80,3200253952,3200253952,1065749158,1070141433,3199934865,3200847865
81,3200253952,0,1050253722,1043509281,3185993319,0
82,3200253952,0,1050253722,1057360550,3185993319,0
83,3200253952,0,1050253722,1070141433,3185993319,0
84,3200253952,0,1057360550,1043509281,3190995138,0
85,3200253952,0,1057360550,1057360550,3192459257,0
86,3200253952,0,1057360550,1070141433,3192459257,0
87,3200253952,0,1065749158,1043509281,3190995138,0
88,3200253952,0,1065749158,1057360550,3200847865,0
89,3200253952,0,1065749158,1070141433,3200847865,0
90,3200253952,0,1050253722,1043509281,3185993319,0
91,3200253952,0,1050253722,1057360550,3185993319,0
92,3200253952,0,1050253722,1070141433,3185993319,0
93,3200253952,0,1057360550,1043509281,3190995138,0
94,3200253952,0,1057360550,1057360550,3192459257,0
95,3200253952,0,1057360550,1070141433,3192459257,0
96,3200253952,0,1065749158,1043509281,3190995138,0
97,3200253952,0,1065749158,1057360550,3200847865,0
98,3200253952,0,1065749158,1070141433,3200847865,0
99,3200253952,0,1050253722,1043509281,3185993319,0
100,3200253952,0,1050253722,1057360550,3185993319,0
101,3200253952,0,1050253722,1070141433,3185993319,0
102,3200253952,0,1057360550,1043509281,3190995138,0
103,3200253952,0,1057360550,1057360550,3192459257,0
104,3200253952,0,1057360550,1070141433,3192459257,0
105,3200253952,0,1065749158,1043509281,3190995138,0
106,3200253952,0,1065749158,1057360550,3200847865,0
107,3200253952,0,1065749158,1070141433,3200847865,0
108,3200253952,1052770304,1050253722,1043509281,3185898664,1038509671
109,3200253952,1052770304,1050253722,1057360550,3185898664,1038509671
110,3200253952,1052770304,1050253722,1070141433,3185898664,1038509671
111,3200253952,1052770304,1057360550,1043509281,3187415818,1040058794
112,3200253952,1052770304,1057360550,1057360550,3192212345,1044975609
113,3200253952,1052770304,1057360550,1070141433,3192212345,1044975609
114,3200253952,1052770304,1065749158,1043509281,3187415819,1040058795
115,3200253952,1052770304,1065749158,1057360550,3199796535,1053193012
116,3200253952,1052770304,1065749158,1070141433,3199934865,1053364217
117,3200253952,1065353216,1050253722,1043509281,3178505850,1042813783
118,3200253952,1065353216,1050253722,1057360550,3184524386,1049675826
119,3200253952,1065353216,1050253722,1070141433,3184524386,1049675826
120,3200253952,1065353216,1057360550,1043509281,3177696962,1042884568
121,3200253952,1065353216,1057360550,1057360550,3190261248,1056953262
122,3200253952,1065353216,1057360550,1070141433,3190261248,1056953262
123,3200253952,1065353216,1065749158,1043509281,3173349827,1043196501
124,3200253952,1065353216,1065749158,1057360550,3186537915,1057159952
125,3200253952,1065353216,1065749158,1070141433,3192893062,1065647456
126,0,3212836864,1050253722,1043509281,0,3190995137
127,0,3212836864,1050253722,1057360550,0,3197737370
128,0,3212836864,1050253722,1070141433,0,3197737370
129,0,3212836864,1057360550,1043509281,0,3190995138
130,0,3212836864,1057360550,1057360550,0,3204844198
131,0,3212836864,1057360550,1070141433,0,3204844198
132,0,3212836864,1065749158,1043509281,0,3190995138
133,0,3212836864,1065749158,1057360550,0,3204844198
134,0,3212836864,1065749158,1070141433,0,3213232806
135,0,3200253952,1050253722,1043509281,0,3185993319
136,0,3200253952,1050253722,1057360550,0,3185993319
137,0,3200253952,1050253722,1070141433,0,3185993319
138,0,3200253952,1057360550,1043509281,0,3190995138
139,0,3200253952,1057360550,1057360550,0,3192459257
140,0,3200253952,1057360550,1070141433,0,3192459257
141,0,3200253952,1065749158,1043509281,0,3190995138
142,0,3200253952,1065749158,1057360550,0,3200847865
143,0,3200253952,1065749158,1070141433,0,3200847865
144,0,0,1050253722,1043509281,0,0
145,0,0,1050253722,1057360550,0,0
146,0,0,1050253722,1070141433,0,0
147,0,0,1057360550,1043509281,0,0
148,0,0,1057360550,1057360550,0,0
149,0,0,1057360550,1070141433,0,0
150,0,0,1065749158,1043509281,0,0
151,0,0,1065749158,1057360550,0,0
152,0,0,1065749158,1070141433,0,0
153,0,0,1050253722,1043509281,0,0
154,0,0,1050253722,1057360550,0,0
155,0,0,1050253722,1070141433,0,0
156,0,0,1057360550,1043509281,0,0
157,0,0,1057360550,1057360550,0,0
158,0,0,1057360550,1070141433,0,0
159,0,0,1065749158,1043509281,0,0
160,0,0,1065749158,1057360550,0,0
161,0,0,1065749158,1070141433,0,0
162,0,0,1050253722,1043509281,0,0
163,0,0,1050253722,1057360550,0,0
164,0,0,1050253722,1070141433,0,0
165,0,0,1057360550,1043509281,0,0
166,0,0,1057360550,1057360550,0,0
167,0,0,1057360550,1070141433,0,0
168,0,0,1065749158,1043509281,0,0
169,0,0,1065749158,1057360550,0,0
170,0,0,1065749158,1070141433,0,0
171,0,1052770304,1050253722,1043509281,0,1038509671
172,0,1052770304,1050253722,1057360550,0,1038509671
173,0,1052770304,1050253722,1070141433,0,1038509671
174,0,1052770304,1057360550,1043509281,0,1043511490
175,0,1052770304,1057360550,1057360550,0,1044975609
176,0,1052770304,1057360550,1070141433,0,1044975609
177,0,1052770304,1065749158,1043509281,0,1043511490
178,0,1052770304,1065749158,1057360550,0,1053364217
179,0,1052770304,1065749158,1070141433,0,1053364217
180,0,1065353216,1050253722,1043509281,0,1043511489
181,0,1065353216,1050253722,1057360550,0,1050253722
182,0,1065353216,1050253722,1070141433,0,1050253722
183,0,1065353216,1057360550,1043509281,0,1043511490
184,0,1065353216,1057360550,1057360550,0,1057360550
185,0,1065353216,1057360550,1070141433,0,1057360550
186,0,1065353216,1065749158,1043509281,0,1043511490
187,0,1065353216,1065749158,1057360550,0,1057360550
188,0,1065353216,1065749158,1070141433,0,1065749158
189,0,3212836864,1050253722,1043509281,0,3190995137
190,0,3212836864,1050253722,1057360550,0,3197737370
191,0,3212836864,1050253722,1070141433,0,3197737370
192,0,3212836864,1057360550,1043509281,0,3190995138
193,0,3212836864,1057360550,1057360550,0,3204844198
194,0,3212836864,1057360550,1070141433,0,3204844198
195,0,3212836864,1065749158,1043509281,0,3190995138
196,0,3212836864,1065749158,1057360550,0,3204844198
197,0,3212836864,1065749158,1070141433,0,3213232806
198,0,3200253952,1050253722,1043509281,0,3185993319
199,0,3200253952,1050253722,1057360550,0,3185993319
200,0,3200253952,1050253722,1070141433,0,3185993319
201,0,3200253952,1057360550,1043509281,0,3190995138
202,0,3200253952,1057360550,1057360550,0,3192459257
203,0,3200253952,1057360550,1070141433,0,3192459257
204,0,3200253952,1065749158,1043509281,0,3190995138
205,0,3200253952,1065749158,1057360550,0,3200847865
206,0,3200253952,1065749158,1070141433,0,3200847865
207,0,0,1050253722,1043509281,0,0
208,0,0,1050253722,1057360550,0,0
209,0,0,1050253722,1070141433,0,0
210,0,0,1057360550,1043509281,0,0
211,0,0,1057360550,1057360550,0,0
212,0,0,1057360550,1070141433,0,0
213,0,0,1065749158,1043509281,0,0
214,0,0,1065749158,1057360550,0,0
215,0,0,1065749158,1070141433,0,0
216,0,0,1050253722,1043509281,0,0
217,0,0,1050253722,1057360550,0,0
218,0,0,1050253722,1070141433,0,0
219,0,0,1057360550,1043509281,0,0
220,0,0,1057360550,1057360550,0,0
221,0,0,1057360550,1070141433,0,0
222,0,0,1065749158,1043509281,0,0
223,0,0,1065749158,1057360550,0,0
224,0,0,1065749158,1070141433,0,0
225,0,0,1050253722,1043509281,0,0
226,0,0,1050253722,1057360550,0,0
227,0,0,1050253722,1070141433,0,0
228,0,0,1057360550,1043509281,0,0
229,0,0,1057360550,1057360550,0,0
230,0,0,1057360550,1070141433,0,0
231,0,0,1065749158,1043509281,0,0
232,0,0,1065749158,1057360550,0,0
233,0,0,1065749158,1070141433,0,0
234,0,1052770304,1050253722,1043509281,0,1038509671
235,0,1052770304,1050253722,1057360550,0,1038509671
236,0,1052770304,1050253722,1070141433,0,1038509671
237,0,1052770304,1057360550,1043509281,0,1043511490
238,0,1052770304,1057360550,1057360550,0,1044975609
239,0,1052770304,1057360550,1070141433,0,1044975609
240,0,1052770304,1065749158,1043509281,0,1043511490
241,0,1052770304,1065749158,1057360550,0,1053364217
242,0,1052770304,1065749158,1070141433,0,1053364217
243,0,1065353216,1050253722,1043509281,0,1043511489
244,0,1065353216,1050253722,1057360550,0,1050253722
245,0,1065353216,1050253722,1070141433,0,1050253722
246,0,1065353216,1057360550,1043509281,0,1043511490
247,0,1065353216,1057360550,1057360550,0,1057360550
248,0,1065353216,1057360550,1070141433,0,1057360550
249,0,1065353216,1065749158,1043509281,0,1043511490
250,0,1065353216,1065749158,1057360550,0,1057360550
251,0,1065353216,1065749158,1070141433,0,1065749158
252,0,3212836864,1050253722,1043509281,0,3190995137
253,0,3212836864,1050253722,1057360550,0,3197737370
254,0,3212836864,1050253722,1070141433,0,3197737370
255,0,3212836864,1057360550,1043509281,0,3190995138
256,0,3212836864,1057360550,1057360550,0,3204844198
257,0,3212836864,1057360550,1070141433,0,3204844198
258,0,3212836864,1065749158,1043509281,0,3190995138
259,0,3212836864,1065749158,1057360550,0,3204844198
260,0,3212836864,1065749158,1070141433,0,3213232806
261,0,3200253952,1050253722,1043509281,0,3185993319
262,0,3200253952,1050253722,1057360550,0,3185993319
263,0,3200253952,1050253722,1070141433,0,3185993319
264,0,3200253952,1057360550,1043509281,0,3190995138
265,0,3200253952,1057360550,1057360550,0,3192459257
266,0,3200253952,1057360550,1070141433,0,3192459257
267,0,3200253952,1065749158,1043509281,0,3190995138
268,0,3200253952,1065749158,1057360550,0,3200847865
269,0,3200253952,1065749158,1070141433,0,3200847865
270,0,0,1050253722,1043509281,0,0
271,0,0,1050253722,1057360550,0,0
272,0,0,1050253722,1070141433,0,0
273,0,0,1057360550,1043509281,0,0
274,0,0,1057360550,1057360550,0,0
275,0,0,1057360550,1070141433,0,0
276,0,0,1065749158,1043509281,0,0
277,0,0,1065749158,1057360550,0,0
278,0,0,1065749158,1070141433,0,0
279,0,0,1050253722,1043509281,0,0
280,0,0,1050253722,1057360550,0,0
281,0,0,1050253722,1070141433,0,0
282,0,0,1057360550,1043509281,0,0
283,0,0,1057360550,1057360550,0,0
284,0,0,1057360550,1070141433,0,0
285,0,0,1065749158,1043509281,0,0
286,0,0,1065749158,1057360550,0,0
287,0,0,1065749158,1070141433,0,0
288,0,0,1050253722,1043509281,0,0
289,0,0,1050253722,1057360550,0,0
290,0,0,1050253722,1070141433,0,0
291,0,0,1057360550,1043509281,0,0
292,0,0,1057360550,1057360550,0,0
293,0,0,1057360550,1070141433,0,0
294,0,0,1065749158,1043509281,0,0
295,0,0,1065749158,1057360550,0,0
296,0,0,1065749158,1070141433,0,0
297,0,1052770304,1050253722,1043509281,0,1038509671
298,0,1052770304,1050253722,1057360550,0,1038509671
299,0,1052770304,1050253722,1070141433,0,1038509671
300,0,1052770304,1057360550,1043509281,0,1043511490
301,0,1052770304,1057360550,1057360550,0,1044975609
302,0,1052770304,1057360550,1070141433,0,1044975609
303,0,1052770304,1065749158,1043509281,0,1043511490
304,0,1052770304,1065749158,1057360550,0,1053364217
305,0,1052770304,1065749158,1070141433,0,1053364217
306,0,1065353216,1050253722,1043509281,0,1043511489
307,0,1065353216,1050253722,1057360550,0,1050253722
308,0,1065353216,1050253722,1070141433,0,1050253722
309,0,1065353216,1057360550,1043509281,0,1043511490
310,0,1065353216,1057360550,1057360550,0,1057360550
311,0,1065353216,1057360550,1070141433,0,1057360550
312,0,1065353216,1065749158,1043509281,0,1043511490
313,0,1065353216,1065749158,1057360550,0,1057360550
314,0,1065353216,1065749158,1070141433,0,1065749158
315,1052770304,3212836864,1050253722,1043509281,1031022202,3190297431
316,1052770304,3212836864,1050253722,1057360550,1037040738,3197159474
317,1052770304,3212836864,1050253722,1070141433,1037040738,3197159474
318,1052770304,3212836864,1057360550,1043509281,1030213314,3190368216
319,1052770304,3212836864,1057360550,1057360550,1042777600,3204436910
320,1052770304,3212836864,1057360550,1070141433,1042777600,3204436910
321,1052770304,3212836864,1065749158,1043509281,1025866179,3190680149
322,1052770304,3212836864,1065749158,1057360550,1039054267,3204643600
323,1052770304,3212836864,1065749158,1070141433,1045409414,3213131104
324,1052770304,3200253952,1050253722,1043509281,1038415016,3185993319
325,1052770304,3200253952,1050253722,1057360550,1038415016,3185993319
326,1052770304,3200253952,1050253722,1070141433,1038415016,3185993319
327,1052770304,3200253952,1057360550,1043509281,1039932170,3187542442
328,1052770304,3200253952,1057360550,1057360550,1044728697,3192459257
329,1052770304,3200253952,1057360550,1070141433,1044728697,3192459257
330,1052770304,3200253952,1065749158,1043509281,1039932171,3187542443
331,1052770304,3200253952,1065749158,1057360550,1052312887,3200676660
332,1052770304,3200253952,1065749158,1070141433,1052451217,3200847865
333,1052770304,0,1050253722,1043509281,1038509671,0
334,1052770304,0,1050253722,1057360550,1038509671,0
335,1052770304,0,1050253722,1070141433,1038509671,0
336,1052770304,0,1057360550,1043509281,1043511490,0
337,1052770304,0,1057360550,1057360550,1044975609,0
338,1052770304,0,1057360550,1070141433,1044975609,0
339,1052770304,0,1065749158,1043509281,1043511490,0
340,1052770304,0,1065749158,1057360550,1053364217,0
341,1052770304,0,1065749158,1070141433,1053364217,0
342,1052770304,0,1050253722,1043509281,1038509671,0
343,1052770304,0,1050253722,1057360550,1038509671,0
344,1052770304,0,1050253722,1070141433,1038509671,0
345,1052770304,0,1057360550,1043509281,1043511490,0
346,1052770304,0,1057360550,1057360550,1044975609,0
347,1052770304,0,1057360550,1070141433,1044975609,0
348,1052770304,0,1065749158,1043509281,1043511490,0
349,1052770304,0,1065749158,1057360550,1053364217,0
350,1052770304,0,1065749158,1070141433,1053364217,0
351,1052770304,0,1050253722,1043509281,1038509671,0
352,1052770304,0,1050253722,1057360550,1038509671,0
353,1052770304,0,1050253722,1070141433,1038509671,0
354,1052770304,0,1057360550,1043509281,1043511490,0
355,1052770304,0,1057360550,1057360550,1044975609,0
356,1052770304,0,1057360550,1070141433,1044975609,0
357,1052770304,0,1065749158,1043509281,1043511490,0
358,1052770304,0,1065749158,1057360550,1053364217,0
359,1052770304,0,1065749158,1070141433,1053364217,0
360,1052770304,1052770304,1050253722,1043509281,1038415016,1038509671
361,1052770304,1052770304,1050253722,1057360550,1038415016,1038509671
362,1052770304,1052770304,1050253722,1070141433,1038415016,1038509671
363,1052770304,1052770304,1057360550,1043509281,1039932170,1040058794
364,1052770304,1052770304,1057360550,1057360550,1044728697,1044975609
365,1052770304,1052770304,1057360550,1070141433,1044728697,1044975609
366,1052770304,1052770304,1065749158,1043509281,1039932171,1040058795
367,1052770304,1052770304,1065749158,1057360550,1052312887,1053193012
368,1052770304,1052770304,1065749158,1070141433,1052451217,1053364217
369,1052770304,1065353216,1050253722,1043509281,1031022202,1042813783
370,1052770304,1065353216,1050253722,1057360550,1037040738,1049675826
371,1052770304,1065353216,1050253722,1070141433,1037040738,1049675826
372,1052770304,1065353216,1057360550,1043509281,1030213314,1042884568
373,1052770304,1065353216,1057360550,1057360550,1042777600,1056953262
374,1052770304,1065353216,1057360550,1070141433,1042777600,1056953262
375,1052770304,1065353216,1065749158,1043509281,1025866179,1043196501
376,1052770304,1065353216,1065749158,1057360550,1039054267,1057159952
377,1052770304,1065353216,1065749158,1070141433,1045409414,1065647456
378,1065353216,3212836864,1050253722,1043509281,1039932172,3187542444
379,1065353216,3212836864,1050253722,1057360550,1045926261,3193733803
380,1065353216,3212836864,1050253722,1070141433,1045926261,3193733803
381,1065353216,3212836864,1057360550,1043509281,1039932170,3187542442
382,1065353216,3212836864,1057360550,1057360550,1052312887,3200676659
383,1065353216,3212836864,1057360550,1070141433,1052312887,3200676659
384,1065353216,3212836864,1065749158,1043509281,1039932170,3187542442
385,1065353216,3212836864,1065749158,1057360550,1052312887,3200676659
386,1065353216,3212836864,1065749158,1070141433,1059633177,3210925601
387,1065353216,3200253952,1050253722,1043509281,1042794043,3178723304
388,1065353216,3200253952,1050253722,1057360550,1049625604,3185084015
389,1065353216,3200253952,1050253722,1070141433,1049625604,3185084015
390,1065353216,3200253952,1057360550,1043509281,1042866657,3177906165
391,1065353216,3200253952,1057360550,1057360550,1056709184,3191757501
392,1065353216,3200253952,1057360550,1070141433,1056709184,3191757501
393,1065353216,3200253952,1065749158,1043509281,1043187111,3173507961
394,1065353216,3200253952,1065749158,1057360550,1057096099,3188240532
395,1065353216,3200253952,1065749158,1070141433,1065365734,3200521220
396,1065353216,0,1050253722,1043509281,1043511489,0
397,1065353216,0,1050253722,1057360550,1050253722,0
398,1065353216,0,1050253722,1070141433,1050253722,0
399,1065353216,0,1057360550,1043509281,1043511490,0
400,1065353216,0,1057360550,1057360550,1057360550,0
401,1065353216,0,1057360550,1070141433,1057360550,0
402,1065353216,0,1065749158,1043509281,1043511490,0
403,1065353216,0,1065749158,1057360550,1057360550,0
404,1065353216,0,1065749158,1070141433,1065749158,0
405,1065353216,0,1050253722,1043509281,1043511489,0
406,1065353216,0,1050253722,1057360550,1050253722,0
407,1065353216,0,1050253722,1070141433,1050253722,0
408,1065353216,0,1057360550,1043509281,1043511490,0
409,1065353216,0,1057360550,1057360550,1057360550,0
410,1065353216,0,1057360550,1070141433,1057360550,0
411,1065353216,0,1065749158,1043509281,1043511490,0
412,1065353216,0,1065749158,1057360550,1057360550,0
413,1065353216,0,1065749158,1070141433,1065749158,0
414,1065353216,0,1050253722,1043509281,1043511489,0
415,1065353216,0,1050253722,1057360550,1050253722,0
416,1065353216,0,1050253722,1070141433,1050253722,0
417,1065353216,0,1057360550,1043509281,1043511490,0
418,1065353216,0,1057360550,1057360550,1057360550,0
419,1065353216,0,1057360550,1070141433,1057360550,0
420,1065353216,0,1065749158,1043509281,1043511490,0
421,1065353216,0,1065749158,1057360550,1057360550,0
422,1065353216,0,1065749158,1070141433,1065749158,0
423,1065353216,1052770304,1050253722,1043509281,1042794043,1031239656
424,1065353216,1052770304,1050253722,1057360550,1049625604,1037600367
425,1065353216,1052770304,1050253722,1070141433,1049625604,1037600367
426,1065353216,1052770304,1057360550,1043509281,1042866657,1030422517
427,1065353216,1052770304,1057360550,1057360550,1056709184,1044273853
428,1065353216,1052770304,1057360550,1070141433,1056709184,1044273853
429,1065353216,1052770304,1065749158,1043509281,1043187111,1026024313
430,1065353216,1052770304,1065749158,1057360550,1057096099,1040756884
431,1065353216,1052770304,1065749158,1070141433,1065365734,1053037572
432,1065353216,1065353216,1050253722,1043509281,1039932172,1040058796
433,1065353216,1065353216,1050253722,1057360550,1045926261,1046250155
434,1065353216,1065353216,1050253722,1070141433,1045926261,1046250155
435,1065353216,1065353216,1057360550,1043509281,1039932170,1040058794
436,1065353216,1065353216,1057360550,1057360550,1052312887,1053193011
437,1065353216,1065353216,1057360550,1070141433,1052312887,1053193011
438,1065353216,1065353216,1065749158,1043509281,1039932170,1040058794
439,1065353216,1065353216,1065749158,1057360550,1052312887,1053193011
440,1065353216,1065353216,1065749158,1070141433,1059633177,1063441953
#velocity
idx,roll_norm,pitch_norm,vel_max,cos_yaw,sin_yaw,vel_n,vel_e
0,3212836864,3212836864,1065353216,1065353216,0,1060439283,3207922931
1,3212836864,3212836864,1084227584,1065353216,0,1080182320,3227665968
2,3212836864,3212836864,1095237632,1065353216,0,1091398622,3238882270
3,3212836864,3212836864,1065353216,1060439283,1060439283,1068827891,0
4,3212836864,3212836864,1084227584,1060439283,1060439283,1088570928,0
5,3212836864,3212836864,1095237632,1060439283,1060439283,1099787230,0
6,3212836864,3212836864,1065353216,866263401,1065353216,1060439285,1060439283
7,3212836864,3212836864,1084227584,866263401,1065353216,1080182324,1080182321
8,3212836864,3212836864,1095237632,866263401,1065353216,1091398624,1091398622
9,3212836864,3212836864,1065353216,3207922931,1060439283,0,1068827891
10,3212836864,3212836864,1084227584,3207922931,1060439283,0,1088570928
11,3212836864,3212836864,1095237632,3207922931,1060439283,0,1099787230
12,3212836864,3212836864,1065353216,3212836864,3015425326,3207922933,1060439283
13,3212836864,3212836864,1084227584,3212836864,3015425326,3227665972,1080182321
14,3212836864,3212836864,1095237632,3212836864,3015425326,3238882272,1091398622
15,3212836864,3212836864,1065353216,1060439283,3207922931,0,3216311539
16,3212836864,3212836864,1084227584,1060439283,3207922931,0,3236054576
17,3212836864,3212836864,1095237632,1060439283,3207922931,0,3247270878
18,3212836864,3212836864,1065353216,3201634611,3211315127,3214868979,3203179758
19,3212836864,3212836864,1084227584,3201634611,3211315127,3234251376,3222529813
20,3212836864,3212836864,1095237632,3201634611,3211315127,3245896460,3233341659
21,3212836864,3200253952,1065353216,1065353216,0,1051969140,3211768645
22,3212836864,3200253952,1084227584,1065353216,0,1071691792,3231043595
23,3212836864,3200253952,1095237632,1065353216,0,1082946314,3241886734
24,3212836864,3200253952,1065353216,1060439283,1060439283,1063425910,3201170958
25,3212836864,3200253952,1084227584,1060439283,1060439283,1083023018,3221274313
26,3212836864,3200253952,1095237632,1060439283,1060439283,1093731924,3231772283
27,3212836864,3200253952,1065353216,866263401,1065353216,1064284997,1051969137
28,3212836864,3200253952,1084227584,866263401,1065353216,1083559947,1071691789
29,3212836864,3200253952,1095237632,866263401,1065353216,1094403086,1082946312
30,3212836864,3200253952,1065353216,3207922931,1060439283,1053687310,1063425910
31,3212836864,3200253952,1084227584,3207922931,1060439283,1073790665,1083023018
32,3212836864,3200253952,1095237632,3207922931,1060439283,1084288635,1093731924
33,3212836864,3200253952,1065353216,3212836864,3015425326,3199452790,1064284995
34,3212836864,3200253952,1084227584,3212836864,3015425326,3219175443,1083559945
