time_us,in_h,in_dh,in_hin,in_hdem,in_dhdem,in_spdem,in_sp,in_dsp,in_pmin,in_pmax,in_dspdem,in_f,out_th,out_ph
35105119,15.0413094,3.13098669,14.8499994,15.0406761,-0.0318851471,26.9777794,26.9777794,2.11754799,-0.34906584,0.261799395,0,128,0.482063025,0.0452245772
35205079,15.3941927,3.58716702,14.8499994,15.0345278,-0.0635588989,27.0677853,27.2282333,1.77905869,-0.34906584,0.261799395,0.900411844,0,0.581334293,0.0195262507
35305039,15.7701712,3.74514914,14.8499994,15.0285769,-0.061509449,27.1571121,27.4347115,0.842249036,-0.34906584,0.261799395,0.893635213,0,0.679996789,-0.00597866625
35504959,16.5237846,3.57109213,14.8499994,15.0172453,-0.0576063804,27.3346825,27.6419296,-0.87044394,-0.34906584,0.261799395,0.886936069,0,0.697298586,-0.0566786602
35604919,16.8611965,3.11943126,14.8499994,15.0118523,-0.0557486229,27.4231033,27.7163773,-0.848088145,-0.34906584,0.261799395,0.88455373,0,0.676863909,-0.0819243863
35704879,17.1285019,2.40486073,14.8499994,15.0066328,-0.0539509468,27.5112667,27.7971497,-0.696826458,-0.34906584,0.261799395,0.881983399,0,0.658844411,-0.0833652094
35804839,17.3154583,1.54056704,14.8499994,15.0015821,-0.0522111244,27.5991745,27.878046,-0.454378307,-0.34906584,0.261799395,0.879424036,0,0.64434886,-0.0709075481
35904799,17.4133396,0.669873238,14.8499994,14.9966936,-0.0505275726,27.6868706,27.9452591,-0.335613191,-0.34906584,0.261799395,0.877308905,0,0.636433303,-0.0606240928
36004759,17.4310913,-0.0139040034,14.8499994,14.9919634,-0.0488980599,27.7744331,27.9880276,-0.372963846,-0.34906584,0.261799395,0.875968277,0,0.636359036,-0.0565966293
36104719,17.3987446,-0.357707441,14.8499994,14.9873857,-0.0473213196,27.8619995,27.9868374,-0.593254685,-0.34906584,0.261799395,0.87600553,0,0.644542277,-0.0630133376
36204679,17.3517704,-0.345574856,14.8499994,14.982955,-0.0457954407,27.9497318,27.9339199,-0.789988756,-0.34906584,0.261799395,0.877665043,0,0.658262551,-0.0746634081
36304639,17.3245277,-0.0761218295,14.8499994,14.9786673,-0.0443185158,28.0377026,27.8578587,-0.939712405,-0.34906584,0.261799395,0.880061328,0,0.672078431,-0.0895488039
36404599,17.3313046,0.264421672,14.8499994,14.9745178,-0.0428892784,28.1259594,27.7678719,-0.94882822,-0.34906584,0.261799395,0.882913351,0,0.683287859,-0.102474622
36504559,17.3686142,0.473570108,14.8499994,14.9705029,-0.0415061302,28.2144547,27.6931019,-0.678827941,-0.34906584,0.261799395,0.885297179,0,0.68820399,-0.105263911
36604519,17.4158325,0.442493826,14.8499994,14.9666166,-0.0401678085,28.3031464,27.6311722,-0.417964637,-0.34906584,0.261799395,0.887281358,0,0.689735234,-0.105223544
36704479,17.4452419,0.185415119,14.8499994,14.9628563,-0.0388724022,28.3919697,27.5904617,-0.0463043451,-0.34906584,0.261799395,0.888590574,0,0.689000726,-0.0977169126
36804439,17.4419384,-0.193996057,14.8499994,14.9592171,-0.0376189537,28.4808807,27.5635395,0.235384032,-0.34906584,0.261799395,0.889458477,0,0.689002275,-0.090170905
