time_us,in_hdem,in_easd,in_stg,in_dbey,in_pmin,in_thnu,in_hafe,in_ldf,in_ptrm,in_vdlpf,in_tasd,in_tasmn,in_tasmx,in_tascr,in_cosr,in_ptchm,in_prop,in_appr,in_flar,in_glid,in_uas,in_lpcd,in_pmne,in_pmxe,in_tmne,in_tmxe,in_pfai,in_h,in_dh,in_sp,in_dsp,out_th,out_ph,out_hdem,out_spdem,out_dhdem,out_dspdem,out_pmin,out_pmax,out_PEW,out_KEW,out_EBD,out_EBE,out_EBDD,out_EBDE,out_EBDDT,out_Imin,out_Imax,out_I,out_KI,out_tmin,out_tmax,out_hdin,out_hdip,out_hrtl,out_hlpf,out_mcs,out_mss,out_crl,out_srl,out_pto,out_tcs,out_scs,out_pdu,out_dt,out_P,out_K,out_Pdem,out_Kdem
35105119,1470,3000,3,0,0,0,14.9008446,1,0,0.0169729032,0,0,30.8812981,22.646286,0.99999094,0.0528703853,0,0,0,0,1,100,-90,90,0,1,0,14.9008446,3.24445796,27.0257988,2.11589479,0.481818885,0.0476901494,14.9001827,27.0257988,-0.0333334617,0,-0.34906584,0.261799395,1,1,-219.076019,-219.069534,-0.328186601,-24.9077721,7.04568958,-122.687958,85.4681244,0.147477522,0,0,1,14.6999998,14.6999998,14.8008442,14.9001827,1,1,5,5,0,0,0,0.0271406919,0.0199999996,146.127365,365.196899,146.12088,365.196899
35205079,1470,3000,3,0,0,0,15.2593317,1,0,0.0556481108,30.882267,10.2940893,30.8812981,22.6469955,0.999994874,0.058652889,0,0,0,0,1,100,-90,90,0,1,0,15.2593317,3.60475755,27.2759495,1.80615115,0.581084728,0.0220367797,14.8937273,27.1156464,-0.0667276382,0.898836672,-0.34906584,0.261799395,1,1,-221.571579,-222.345779,-0.499534518,-12.3960342,3.06941533,-119.782051,90.300705,0.504229784,0.0871562809,0,1,14.6999998,14.6999998,14.6999998,14.8937273,1,1,5,5,0,0,0,0.0136859715,0.0999599993,149.642929,371.988708,146.057571,367.62915
35305039,1470,3000,3,0,0,0,15.6317511,1,0,0.0801431611,30.8826103,10.2942038,30.8826103,22.6472473,0.99999249,0.0602585673,0,0,0,0,1,100,-90,90,0,1,0,15.6317511,3.70063996,27.4824696,0.877302349,0.679743648,-0.00342381559,14.8874798,27.2048187,-0.0645758286,0.892082274,-0.34906584,0.261799395,1,1,-224.054779,-224.347946,-0.574639142,14.3829784,-5.06192493,-112.534401,99.1389923,0.055680722,0.238935143,0,1,14.6999998,14.6999998,14.6999998,14.8874798,1,1,5,5,0,0,0,-0.01768874,0.0999599993,153.29512,377.643066,145.996307,370.051086
35404999,1470,3000,3,0,0,0,16.0075207,1,0,0.0825246423,30.8829975,10.2943325,30.8829975,22.6475315,0.999995768,0.0589677952,0,0,0,0,1,100,-90,90,0,1,0,16.0075207,3.70972133,27.6081753,-0.234466642,0.719055831,-0.0287684835,14.8814335,27.2935848,-0.0624933243,0.888020456,-0.34906584,0.261799395,1,1,-226.532867,-224.125534,-1.09431684,45.1314926,-14.96206,-103.172165,109.469444,-1.33053887,0.411582112,0,1,14.6999998,14.6999998,14.6999998,14.8814335,1,1,5,5,0,0,0,-0.0586570092,0.0999599993,156.980148,381.105682,145.937012,372.469879
35504959,1470,3000,3,0,0,0,16.3723507,1,0,0.0673268661,30.883852,10.2946177,30.883852,22.648159,0.999999046,0.0499360673,0,0,0,0,1,100,-90,90,0,1,0,16.3723507,3.5354557,27.681551,-0.889620006,0.698549509,-0.0540459678,14.8755827,27.3821163,-0.0604778938,0.885666549,-0.34906584,0.261799395,1,1,-229.010498,-222.576202,-1.87994468,61.1607513,-20.7921524,-97.656044,115.550713,-3.22100306,0.576395929,0,1,14.6999998,14.6999998,14.6999998,14.8755827,1,1,5,5,0,0,0,-0.086334914,0.0999599993,160.557922,383.134125,145.879639,374.890137
35604919,1470,3000,3,0,0,0,16.7076721,1,0,0.0476923436,30.8839245,10.2946415,30.8839245,22.6482105,1,0.0328251645,0,0,0,0,1,100,-90,90,0,1,0,16.7076721,3.12745905,27.7486172,-0.891029954,0.679192245,-0.0792623609,14.8699207,27.4704342,-0.0585276298,0.883525968,-0.34906584,0.261799395,1,1,-231.488266,-221.146591,-2.64229512,56.7181435,-20.450428,-98.2847443,115.438568,-5.00110388,0.729944706,0,1,14.6999998,14.6999998,14.6999998,14.8699207,1,1,5,5,0,0,0,-0.0908477902,0.0999599993,163.846298,384.992889,145.824112,377.312378
35704879,1470,3000,3,0,0,0,16.9784374,1,0,0.0308353435,30.8844452,10.2948151,30.8844452,22.6485939,0.999999225,0.00669849152,0,0,0,0,1,100,-90,90,0,1,0,16.9784374,2.4592185,27.8218441,-0.751546264,0.661853135,-0.0864254311,14.8644409,27.5585194,-0.0566403084,0.881200552,-0.34906584,0.261799395,1,1,-233.965622,-220.525894,-3.24339724,45.8839951,-17.9816151,-101.066887,113.220413,-6.47433615,0.875716448,0,1,14.6999998,14.6999998,14.6999998,14.8644409,1,1,5,5,0,0,0,-0.0864254311,0.0999599993,166.501602,387.027496,145.77037,379.735992
35804839,1470,3000,3,0,0,0,17.1731987,1.00000024,0,0.0180921312,30.8853645,10.2951221,30.8853645,22.6492672,0.999999285,-0.0235101059,0.00289870077,0,0,0,1,100,-90,90,0,1,0,17.1731987,1.63097835,27.8969841,-0.500878572,0.647429049,-0.0746220723,14.8591375,27.6463661,-0.0548137017,0.878827035,-0.34906584,0.261799395,1,1,-236.442398,-220.709305,-3.68415737,30.4721527,-13.9310513,-105.438972,109.427078,-7.49861574,1.01486242,0,1,14.6999998,14.6999998,14.6999998,14.8591375,1,1,5,5,0,0,0,-0.0746220723,0.0999599993,168.411545,389.12085,145.718369,382.160767
35904799,1470,3000,3,0,0,0,17.2811832,1.00000012,0,0.00970134977,30.8853073,10.295104,30.8853073,22.6492252,0.999999046,-0.0528408177,0.00575951161,0,0,0,1,100,-90,90,0,1,0,17.2811832,0.767813385,27.9614563,-0.35582608,0.638962567,-0.0640134439,14.8540058,27.7340107,-0.0530459099,0.876800716,-0.34906584,0.261799395,1,1,-238.919632,-221.450989,-4.01393127,17.7503567,-10.5432186,-109.102676,106.259941,-8.15128326,1.14148843,0,1,14.6999998,14.6999998,14.6999998,14.8540058,1,1,5,5,0,0,0,-0.0640134439,0.0999599993,169.47052,390.921509,145.668045,384.587677
36004759,1470,3000,3,0,0,0,17.3078823,1,0,0.00275900844,30.8855972,10.2951994,30.8855972,22.6494389,0.999998391,-0.0743663982,0.00859207194,0,0,0,1,100,-90,90,0,1,0,17.3078823,0.0538182221,28.0054054,-0.353388846,0.637877464,-0.0585890971,14.8490391,27.8215179,-0.0513353348,0.875424743,-0.34906584,0.261799395,1,1,-241.399094,-222.419022,-4.29944181,10.5018415,-8.7398262,-111.094131,104.606995,-8.59514427,1.24410605,0,1,14.6999998,14.6999998,14.6999998,14.8490391,1,1,5,5,0,0,0,-0.0585890971,0.0999599993,169.732346,392.151367,145.619339,387.018433
