#config
dt,angle_limit_tc,thr_mix_min,thr_mix_max,throttle_hover,throttle_thrust_max,cos_tilt,angle_boost_enabled,throttle_gain_boost
992204554,1065353216,1036831949,1056964608,1051931443,1064514355,1065353216,1,1058642330
#leanangle
step,throttle_in,lean_max
0,1028443341,997586215
1,1029517083,1005926472
2,1030590825,1010261190
3,1031664566,1014218598
4,1032268546,1016586781
5,1032805417,1018541500
6,1033342288,1020484266
7,1033879159,1022415105
8,1034416030,1023872110
9,1034952900,1024825641
10,1035489772,1025773247
11,1036026642,1026714941
12,1036563514,1027650735
13,1037100384,1028580641
14,1037637256,1029504671
15,1038174126,1030422838
16,1038710998,1031335153
17,1039247868,1032020206
18,1039784738,1032470529
19,1040254501,1032917944
20,1040522936,1033362456
21,1040791372,1033804070
22,1041059807,1034242793
23,1041328243,1034678629
24,1041596678,1035111584
25,1041865114,1035541664
26,1042133549,1035968873
27,1042401984,1036393217
28,1042670420,1036814700
29,1042938855,1037233328
30,1043207291,1037649106
31,1043475727,1038062039
32,1043744162,1038472131
33,1044012597,1038879387
34,1044281033,1039283812
35,1044549468,1039685410
36,1044817903,1040084186
37,1045086339,1040333768
38,1045354774,1040530340
39,1045623210,1040725508
40,1045891645,1040919273
41,1046160081,1041111638
42,1046428516,1041302605
43,1046696951,1041492175
44,1046965387,1041680351
45,1047233822,1041867134
46,1047502258,1042052526
47,1047770694,1042236529
48,1048039129,1042419145
49,1048307564,1042600376
50,1048576000,1042780223
51,1048710218,1042958688
52,1048844435,1043135772
53,1048978653,1043311477
54,1049112871,1043485805
55,1049247089,1043658757
56,1049381307,1043830334
57,1049515524,1044000538
58,1049649742,1044169370
59,1049783959,1044336832
60,1049918177,1044502924
61,1050052395,1044667648
62,1050186613,1044831005
63,1050320831,1044992996
64,1050455049,1045153622
65,1050589266,1045312884
66,1050723484,1045470783
67,1050857701,1045627319
68,1050991920,1045782494
69,1051126137,1045936308
70,1051260355,1046088762
71,1051394573,1046239857
72,1051528790,1046389593
73,1051663008,1046537971
74,1051797226,1046684991
75,1051931444,1046830653
76,1052065661,1046974958
77,1052199879,1047117907
78,1052334097,1047259499
79,1052468314,1047399734
80,1052602532,1047538613
81,1052736750,1047676136
82,1052870968,1047812302
83,1053005185,1047947112
84,1053139403,1048080565
85,1053273621,1048212660
86,1053407838,1048343398
87,1053542057,1048472778
88,1053676274,1048588400
89,1053810492,1048651731
90,1053944709,1048714382
91,1054078927,1048776353
92,1054213145,1048837643
93,1054347363,1048898252
94,1054481581,1048958179
95,1054615798,1049017424
96,1054750016,1049075986
97,1054884233,1049133864
98,1055018451,1049191057
99,1055152669,1049247565
100,1055286887,1049303387
101,1055421105,1049358522
102,1055555322,1049412969
103,1055689540,1049466727
104,1055823757,1049519795
105,1055957975,1049572171
106,1056092193,1049623855
107,1056226410,1049674845
108,1056360628,1049725140
109,1056494847,1049774738
110,1056629065,1049823638
111,1056763282,1049871838
112,1056897500,1049919337
113,1056998162,1049966133
114,1057065271,1050012224
115,1057132380,1050057607
116,1057199489,1050102281
117,1057266598,1050146244
118,1057333706,1050189494
