time_us,out_tpd,out_pmin,out_pmax,out_nav,out_trm,out_thr,out_kff,out_dem,out_ps,out_ae
24064537,0,-1999,2500,-200,0,0,0,-200,0,-200
24084529,0,-1999,2500,-200,0,0,0,-200,0,-200
24104521,0,-1999,2500,-200,0,0,0,-200,0,-200
24124513,0,-1999,2500,-200,0,0,0,-200,0,-200
24144505,0,-1999,2500,-200,0,0,0,-200,0,-200
24164497,0,-1999,2500,-200,0,0,0,-200,0,-200
24184489,0,-1999,2500,-200,0,0,0,-200,0,-200
24204481,0,-1999,2500,-200,0,0,0,-200,0,-200
24224473,0,-1999,2500,-200,0,0,0,-200,0,-200
24244465,0,-1999,2500,-200,0,0,0,-200,0,-200
24264457,0,-1999,2500,-200,0,0,0,-200,0,-200
24284449,0,-1999,2500,-200,0,0,0,-200,0,-200
24304441,0,-1999,2500,-200,0,0,0,-200,0,-200
24324433,0,-1999,2500,-200,0,0,0,-200,0,-200
24344425,0,-1999,2500,-200,0,0,0,-200,0,-200
24364417,0,-1999,2500,-200,0,0,0,-200,0,-200
24384409,0,-1999,2500,-200,0,0,0,-200,0,-200
24404401,0,-1999,2500,-200,0,0,0,-200,0,-200
24424393,0,-1999,2500,-200,0,0,0,-200,0,-200
24444385,0,-1999,2500,-200,0,0,0,-200,0,-200
24464377,0,-1999,2500,-200,0,0,0,-200,0,-200
24484369,0,-1999,2500,-200,0,0,0,-200,0,-200
24504361,0,-1999,2500,-200,0,0,0,-200,0,-200
24524353,0,-1999,2500,-200,0,0,0,-200,0,-200
24544345,0,-1999,2500,-200,0,0,0,-200,0,-200
24564337,0,-1999,2500,-200,0,0,0,-200,0,-200
24584329,0,-1999,2500,-200,0,0,0,-200,0,-200
24604321,0,-1999,2500,-200,0,0,0,-200,0,-200
24624313,0,-1999,2500,-200,0,0,0,-200,0,-200
24645138,0,-1999,2500,-200,0,0,0,-200,0,-200
24665130,0,-1999,2500,-200,0,0,0,-200,0,-200
24685122,0,-1999,2500,-200,0,0,0,-200,0,-200
24705114,0,-1999,2500,-200,0,0,0,-200,0,-200
24725106,0,-1999,2500,-200,0,0,0,-200,0,-200
24745098,0,-1999,2500,-200,0,0,0,-200,0,-200
24765090,0,-1999,2500,-200,0,0,0,-200,0,-200
24785082,0,-1999,2500,-200,0,0,0,-200,0,-200
24805074,0,-1999,2500,-200,0,0,0,-200,0,-200
24825066,0,-1999,2500,-200,0,0,0,-200,0,-200
24845058,0,-1999,2500,-200,0,0,0,-200,0,-200
24865050,0,-1999,2500,-200,0,0,0,-200,0,-200
24885042,0,-1999,2500,-200,0,0,0,-200,0,-200
24905034,0,-1999,2500,-200,0,0,0,-200,0,-200
24925026,0,-1999,2500,-200,0,0,0,-200,0,-200
24945018,0,-1999,2500,-200,0,0,0,-200,0,-200
24965010,0,-1999,2500,-200,0,0,0,-200,0,-200
24985002,0,-1999,2500,-200,0,0,0,-200,0,-200
25004994,0,-1999,2500,-200,0,0,0,-200,0,-200
25024986,0,-1999,2500,-200,0,0,0,-200,0,-200
25044978,0,-1999,2500,-200,0,0,0,-200,0,-200
25064970,0,-1999,2500,-200,0,0,0,-200,0,-200
25084962,0,-1999,2500,-200,0,0,0,-200,0,-200
25104954,0,-1999,2500,-200,0,0,0,-200,0,-200
25124946,0,-1999,2500,-200,0,0,0,-200,0,-200
25144938,0,-1999,2500,-200,0,0,0,-200,0,-200
25164930,0,-1999,2500,-200,0,0,0,-200,0,-200
25184922,0,-1999,2500,-200,0,0,0,-200,0,-200
25204914,0,-1999,2500,-200,0,0,0,-200,0,-200
25224906,0,-1999,2500,-200,0,0,0,-200,0,-200
25244898,0,-1999,2500,-200,0,0,0,-200,0,-200
25264890,0,-1999,2500,-200,0,0,0,-200,0,-200
25284882,0,-1999,2500,-200,0,0,0,-200,0,-200
25304874,0,-1999,2500,-200,0,0,0,-200,0,-200
25324866,0,-1999,2500,-200,0,0,0,-200,0,-200
25344858,0,-1999,2500,-200,0,0,0,-200,0,-200
25364850,0,-1999,2500,-200,0,0,0,-200,0,-200
25384842,0,-1999,2500,-200,0,0,0,-200,0,-200
25404834,0,-1999,2500,-200,0,0,0,-200,0,-200
25424826,0,-1999,2500,-200,0,0,0,-200,0,-200
25444818,0,-1999,2500,-200,0,0,0,-200,0,-200
25464810,0,-1999,2500,-200,0,0,0,-200,0,-200
25484802,0,-1999,2500,-200,0,0,0,-200,0,-200
25504794,0,-1999,2500,-200,0,0,0,-200,0,-200
25524786,0,-1999,2500,-200,0,0,0,-200,0,-200
25544778,0,-1999,2500,-200,0,0,0,-200,0,-200
25564770,0,-1999,2500,-200,0,0,0,-200,0,-200
25584762,0,-1999,2500,-200,0,0,0,-200,0,-200
25604754,0,-1999,2500,-200,0,0,0,-200,0,-200
25624746,0,-1999,2500,-200,0,0,0,-200,0,-200
25644738,0,-1999,2500,-200,0,0,0,-200,0,-200
25664730,0,-1999,2500,-200,0,0,0,-200,0,-200
25684722,0,-1999,2500,-200,0,0,0,-200,0,-200
25704714,0,-1999,2500,-200,0,0,0,-200,0,-200
25724706,0,-1999,2500,-200,0,0,0,-200,0,-200
25744698,0,-1999,2500,-200,0,0,0,-200,0,-200
25764690,0,-1999,2500,-200,0,0,0,-200,0,-200
25784682,0,-1999,2500,-200,0,0,0,-200,0,-200
25804674,0,-1999,2500,-200,0,0,0,-200,0,-200
25824666,0,-1999,2500,-200,0,0,0,-200,0,-200
25844658,0,-1999,2500,-200,0,0,0,-200,0,-200
25864650,0,-1999,2500,-200,0,0,0,-200,0,-200
25884642,0,-1999,2500,-200,0,0,0,-200,0,-200
25904634,0,-1999,2500,-200,0,0,0,-200,0,-200
25924626,0,-1999,2500,-200,0,0,0,-200,0,-200
25944618,0,-1999,2500,-200,0,0,0,-200,0,-200
25964610,0,-1999,2500,-200,0,0,0,-200,0,-200
25984602,0,-1999,2500,-200,0,0,0,-200,0,-200
26004594,0,-1999,2500,-200,0,0,0,-200,0,-200
26024586,0,-1999,2500,-200,0,0,0,-200,0,-200
26044578,0,-1999,2500,-200,0,0,0,-200,0,-200
26064570,0,-1999,2500,-200,0,0,0,-200,0,-200
26084562,0,-1999,2500,-200,0,0,0,-200,0,-200
26104554,0,-1999,2500,-200,0,0,0,-200,0,-200
26124546,0,-1999,2500,-200,0,0,0,-200,0,-200
26144538,0,-1999,2500,-200,0,0,0,-200,0,-200
26164530,0,-1999,2500,-200,0,0,0,-200,0,-200
26184522,0,-1999,2500,-200,0,0,0,-200,0,-200
26204514,0,-1999,2500,-200,0,0,0,-200,0,-200
26224506,0,-1999,2500,-200,0,0,0,-200,0,-200
26244498,0,-1999,2500,-200,0,0,0,-200,0,-200
26264490,0,-1999,2500,-200,0,0,0,-200,0,-200
26284482,0,-1999,2500,-200,0,0,0,-200,0,-200
26304474,0,-1999,2500,-200,0,0,0,-200,0,-200
26324466,0,-1999,2500,-200,0,0,0,-200,0,-200
26344458,0,-1999,2500,-200,0,0,0,-200,0,-200
26364450,0,-1999,2500,-200,0,0,0,-200,0,-200
26384442,0,-1999,2500,-200,0,0,0,-200,0,-200
26404434,0,-1999,2500,-200,0,0,0,-200,0,-200
26424426,0,-1999,2500,-200,0,0,0,-200,0,-200
26444418,0,-1999,2500,-200,0,0,0,-200,0,-200
26464410,0,-1999,2500,-200,0,0,0,-200,0,-200
26484402,0,-1999,2500,-200,0,0,0,-200,0,-200
26504394,0,-1999,2500,-200,0,0,0,-200,0,-200
26524386,0,-1999,2500,-200,0,0,0,-200,0,-200
26544378,0,-1999,2500,-200,0,0,0,-200,0,-200
26564370,0,-1999,2500,-200,0,0,0,-200,0,-200
26584362,0,-1999,2500,-200,0,0,0,-200,0,-200
26604354,0,-1999,2500,-200,0,0,0,-200,0,-200
26624346,0,-1999,2500,-200,0,0,0,-200,0,-200
26644338,0,-1999,2500,-200,0,0,0,-200,0,-200
26664330,0,-1999,2500,-200,0,0,0,-200,0,-200
26684322,0,-1999,2500,-200,0,0,0,-200,0,-200
26704314,0,-1999,2500,-200,0,0,0,-200,0,-200
26725139,0,-1999,2500,-200,0,0,0,-200,0,-200
26745131,0,-1999,2500,-200,0,0,0,-200,0,-200
26765123,0,-1999,2500,-200,0,0,0,-200,0,-200
26785115,0,-1999,2500,-200,0,0,0,-200,0,-200
26805107,0,-1999,2500,-200,0,0,0,-200,0,-200
26825099,0,-1999,2500,-200,0,0,0,-200,0,-200
26845091,0,-1999,2500,-200,0,0,0,-200,0,-200
26865083,0,-1999,2500,-200,0,0,0,-200,0,-200
26885075,0,-1999,2500,-200,0,0,0,-200,0,-200
26905067,0,-1999,2500,-200,0,0,0,-200,0,-200
26925059,0,-1999,2500,-200,0,0,0,-200,0,-200
26945051,0,-1999,2500,-200,0,0,0,-200,0,-200
26965043,0,-1999,2500,-200,0,0,0,-200,0,-200
26985035,0,-1999,2500,-200,0,0,0,-200,0,-200
27005027,0,-1999,2500,-200,0,0,0,-200,0,-200
