time_us,out_c1,out_c2,out_c3,out_c4,out_armed
1745135,1500,1500,1000,1500,0
1945055,1500,1500,1000,1500,0
2184959,1500,1500,1000,1500,0
2384879,1500,1500,1000,1500,0
2584799,1500,1500,1000,1500,0
2784719,1500,1500,1000,1500,0
2984639,1500,1500,1000,1500,0
3184559,1500,1500,1000,1500,0
3384479,1500,1500,1000,1500,0
3584399,1500,1500,1000,1500,0
3784319,1500,1500,1000,1500,0
3985072,1500,1500,1000,1500,0
4224976,1500,1500,1000,1500,0
4424896,1500,1500,1000,1500,0
4624816,1500,1500,1000,1500,0
4824736,1500,1500,1000,1500,0
5024656,1500,1500,1000,1500,0
5224576,1500,1500,1000,1500,0
5424496,1500,1500,1000,1500,0
5624416,1500,1500,1000,1500,0
5824336,1500,1500,1000,1500,0
6025089,1500,1500,1000,1500,0
6225009,1500,1500,1000,1500,0
6464913,1500,1500,1000,1500,0
6664833,1500,1500,1000,1500,0
6864753,1500,1500,1000,1500,0
7064673,1500,1500,1000,1500,0
7264593,1500,1500,1000,1500,0
7464513,1500,1500,1000,1500,0
7664433,1500,1500,1000,1500,0
7864353,1500,1500,1000,1500,0
8065106,1500,1500,1000,1500,0
8265026,1500,1500,1000,1500,0
8504930,1500,1500,1000,1500,0
8704850,1500,1500,1000,1500,0
8904770,1500,1500,1000,1500,0
9104690,1500,1500,1000,1500,0
9304610,1500,1500,1000,1500,0
9504530,1500,1500,1000,1500,0
9704450,1500,1500,1000,1500,0
9904370,1500,1500,1000,1500,0
10105123,1500,1500,1000,1500,0
10305043,1500,1500,1000,1500,0
10544947,1500,1500,1000,1500,0
10744867,1500,1500,1000,1500,0
10944787,1500,1500,1000,1500,0
11144707,1500,1500,1000,1500,0
11344627,1500,1500,1000,1500,0
11544547,1500,1500,1000,1500,0
11744467,1500,1500,1000,1500,0
11944387,1500,1500,1000,1500,0
12145140,1500,1500,1000,1500,0
12345060,1500,1500,1000,1500,0
12584964,1500,1500,1000,1500,0
12784884,1500,1500,1000,1500,0
12984804,1500,1500,1000,1500,0
13184724,1500,1500,1000,1500,0
13384644,1500,1500,1000,1500,0
13584564,1500,1500,1000,1500,0
13784484,1500,1500,1000,1500,0
13984404,1500,1500,1000,1500,0
14184324,1500,1500,1000,1500,0
14385077,1500,1500,1000,1500,0
14624981,1500,1500,1000,1500,0
14824901,1500,1500,1000,1500,0
15024821,1500,1500,1000,1500,0
15224741,1500,1500,1000,1500,0
15424661,1500,1500,1000,1500,0
15624581,1500,1500,1000,1500,0
15824501,1500,1500,1000,1500,0
16024421,1500,1500,1000,1500,0
16224341,1500,1500,1000,1500,0
16425094,1500,1500,1000,1500,0
