time_us,in_ms,in_sc,in_di,in_rr,in_as,in_yr,in_ay,in_ab,in_ig,out_out,out_I,out_D
24064537,24064,2.14285707,0,0.000311449461,0.867166996,7.73354113e-05,-0.000284146518,0,0,3,0,0.0300047081
24084529,24084,2.14285707,0,0.000311271579,0.867166996,0.00019983275,-0.000217915091,0,0,1,0,0.0137478923
24104521,24104,2.14285707,0,0.000311922282,0.867166996,0.000154161724,-0.00155991933,0,0,1,0,0.0197848137
24124513,24124,2.14285707,0,0.000313277065,0.453171611,0.000122639569,-0.000519038935,0,0,2,0,0.0240272284
24144505,24144,2.14285707,0,0.000313123106,0.453171611,0.00013761656,-0.00207290007,0,0,2,0,0.0219412819
24164497,24164,2.14285707,0,0.00031328862,0.453171611,0.000187576399,-0.000852053694,0,0,1,0,0.0153030017
24184489,24184,2.14285707,0,0.000313084078,0.453171611,0.000229872283,-0.000213653708,0,0,0,0,0.00965165254
24204481,24204,2.14285707,0,0.000313274126,0.453171611,0.000114879324,-0.000373774819,0,0,2,0,0.0247645546
24224473,24224,2.14285707,0,0.000312426564,0.557578564,0.000217464651,-0.00134725997,0,0,1,0,0.0110616218
24244465,24244,2.14285707,0,0.000312956719,0.557578564,0.000156048496,-0.00145770959,0,0,1,0,0.0191649329
24264457,24264,2.14285707,0,0.00031477015,0.557578564,0.000121011137,-0.00171203294,0,0,2,0,0.0239314027
24284449,24284,2.14285707,0,0.000314839592,0.557578564,0.000220999951,-0.000691859168,0,0,1,0,0.0106916577
24304441,24304,2.14285707,0,0.000314608391,0.557578564,0.000221343886,-0.00116573949,0,0,1,0,0.0105739078
24324433,24324,2.14285707,0,0.000314952864,0.267733008,0.000171861509,-0.00122417312,0,0,1,0,0.0170853622
24344425,24344,2.14285707,0,0.000315283076,0.267733008,0.000128142608,-0.000580842898,0,0,2,0,0.0228108168
24364417,24364,2.14285707,0,0.000316831312,0.267733008,0.000264099566,-0.00152707763,0,0,0,0,0.00503483368
24384409,24384,2.14285707,0,0.000318157574,0.267733008,0.000141415745,-0.00149643724,0,0,2,0,0.0213244427
24404401,24404,2.14285707,0,0.000318222505,0.267733008,0.000140627075,-0.000110526547,0,0,2,0,0.021351438
24424393,24424,2.14285707,0,0.000317787402,0.790928125,0.000151915883,-0.0015141035,0,0,1,0,0.019725075
24444385,24444,2.14285707,0,0.000319056649,0.790928125,0.000177630922,-0.00102393574,0,0,1,0,0.01642734
24464377,24464,2.14285707,0,0.000320479303,0.790928125,8.16743559e-05,-0.000995190348,0,0,2,0,0.0291680284
24484369,24484,2.14285707,0,0.000320738152,0.790928125,0.000157918796,-0.000207491568,0,0,1,0,0.0190552976
24504361,24504,2.14285707,0,0.000321713247,0.790928125,0.000158746756,-0.00118708296,0,0,1,0,0.0189961046
24524353,24524,2.14285707,0,0.000320050865,0.401664793,0.000211050647,-0.00135305081,0,0,1,0,0.0118254283
24544345,24544,2.14285707,0,0.000318850885,0.401664793,0.000125950901,-0.00114227168,0,0,2,0,0.0228179842
